country,latitude,longitude,scientific_name,vernacular_name,date,count
Angola,-17.8735,19.8324,Anastomus lamelligerus,African Openbill,2015-02-26,39
Angola,-17.8742,19.8319,Cinnyricinclus leucogaster,Violet-backed Starling,2015-02-26,1
Angola,-17.8736,19.8325,Laniarius bicolor,Swamp Boubou,2015-02-26,1
Angola,-17.8738,19.833,Turdoides hartlaubii,Hartlaub's Babbler,2015-02-26,4
Angola,-17.8735,19.8325,Bubulcus ibis,Western Cattle Egret,2015-02-26,30
Angola,-17.8735,19.8325,Anastomus lamelligerus,African Openbill,2015-02-26,1
Angola,-17.8736,19.8323,Tyto alba,Western Barn Owl,2015-02-25,1
Angola,-17.8736,19.8311,Bubulcus ibis,Western Cattle Egret,2015-02-25,5
Angola,-17.8737,19.832,Anastomus lamelligerus,African Openbill,2015-02-25,3
Angola,-17.8744,19.832,Anastomus lamelligerus,African Openbill,2015-02-25,2
