country,latitude,longitude,scientific_name,vernacular_name,date,count
Argentina,-54.8561640284,-67.5036622211,Aphrastura spinicauda,Thorn-tailed Rayadito,2014-11-06,1
Argentina,-54.8561640284,-67.5036622211,Passer domesticus,House Sparrow,2014-11-06,3
Argentina,-54.687380977,-67.8432655474,Cinclodes oustaleti,Grey-flanked Cinclodes,2014-11-06,2
Argentina,-54.687380977,-67.8432655474,Melanodera xanthogramma,Yellow-bridled Finch,2014-11-06,1
Argentina,-54.6854493173,-67.8504180769,Attagis malouinus,White-bellied Seedsnipe,2014-11-06,2
Argentina,-54.8539900491,-67.5005722116,Cinclodes patagonicus,Dark-bellied Cinclodes,2014-11-05,1
Argentina,-54.85399005,-67.50057221,Elaenia chilensis,Chilean Elaenia,2014-11-05,1
Argentina,-54.8537660563,-67.5025177142,Tachycineta leucopyga,Chilean Swallow,2014-11-05,2
Argentina,-54.9072248812,-67.5100708043,Spheniscus magellanicus,Magellanic Penguin,2014-11-05,100
Argentina,-54.911040651,-67.3741150042,Aptenodytes patagonicus,King Penguin,2014-11-05,1
Argentina,-54.907882795,-67.3775482317,Pygoscelis papua,Gentoo Penguin,2014-11-05,20
Argentina,-54.84800905,-68.49065408,Pygarrhichas albogularis,White-throated Treerunner,2015-02-21,2
Argentina,-54.84800747,-68.49065555,Aphrastura spinicauda,Thorn-tailed Rayadito,2015-02-21,3
Argentina,-54.8480357413189,-68.48956245929,Tachyeres pteneres,Fuegian Steamer Duck,2015-02-21,1
Argentina,-54.8575073983582,-68.5063215717673,Stercorarius chilensis,Chilean Skua,2015-02-21,11
Argentina,-54.8575073983582,-68.5063215717673,Tachyeres pteneres,Fuegian Steamer Duck,2015-02-21,2
Argentina,-54.8436240887546,-68.5169283673167,Aphrastura spinicauda,Thorn-tailed Rayadito,2015-02-21,3
Argentina,-54.8436240887546,-68.5169283673167,Elaenia chilensis,Chilean Elaenia,2015-02-21,1
Argentina,-54.8646344281895,-68.4912975132465,Thalassarche melanophris,Black-browed Albatross,2015-02-21,13
Argentina,-54.8243662790116,-68.5704012215138,Cygnus melancoryphus,Black-necked Swan,2015-02-21,2
Argentina,-54.8375481797515,-68.5646274313331,Milvago chimango,Chimango Caracara,2015-02-21,1
Argentina,-54.85529992,-68.57316226,Tachyeres pteneres,Fuegian Steamer Duck,2015-02-21,15
Argentina,-54.81762892,-68.32044434,Anas flavirostris,Yellow-billed Teal,2015-02-20,12
Argentina,-54.81754928,-68.32039063,Vanellus chilensis,Southern Lapwing,2015-02-20,1
Argentina,-54.81716976,-68.31983161,Chloephaga picta,Upland Goose,2015-02-20,26
Argentina,-54.80987946,-68.31209495,Chloephaga hybrida,Kelp Goose,2015-02-20,4
Argentina,-54.80999297,-68.31273817,Anas flavirostris,Yellow-billed Teal,2015-02-20,68
Argentina,-54.8099929708726,-68.3127381652594,Lophonetta specularioides,Crested Duck,2015-02-20,54
Argentina,-54.8099929708726,-68.3127381652594,Spatula platalea,Red Shoveler,2015-02-20,36
Argentina,-54.8539728444828,-68.3526266366243,Thalassarche melanophris,Black-browed Albatross,2015-02-20,26
Argentina,-54.8539728444828,-68.3526266366243,Macronectes giganteus,Southern Giant Petrel,2015-02-20,1
Argentina,-54.8539728444828,-68.3526266366243,Stercorarius chilensis,Chilean Skua,2015-02-20,50
Argentina,-54.8539728444828,-68.3526266366243,Chloephaga hybrida,Kelp Goose,2015-02-20,28
Argentina,-54.8390777654638,-68.3564424142242,Tachyeres pteneres,Fuegian Steamer Duck,2015-02-20,2
Argentina,-54.8384169,-68.3575574,Haematopus ater,Blackish Oystercatcher,2015-02-20,1
Argentina,-54.83837389,-68.35753921,Tachyeres patachonicus,Flying Steamer Duck,2015-02-20,6
