country,latitude,longitude,scientific_name,vernacular_name,date,count
Armenia,40.50576429329854,45.03616263221956,Cygnus columbianus bewickii,Bewick's Swan,2009-01-16,15
Armenia,39.75813639505,44.77128656726878,Larus armenicus,Armenian Gull,2013-01-18,19
Armenia,39.75813639505,44.77128656726878,Egretta garzetta,Little Egret,2013-01-18,17
Armenia,39.75813639505,44.77128656726878,Ardea cinerea,Grey Heron,2013-01-18,68
Armenia,39.7721964864,44.7669341415,Sylvia mystacea,Menetries's Warbler,2014-07-12,1
Armenia,39.7721964864,44.7669341415,Larus armenicus,Armenian Gull,2014-07-12,1
Armenia,39.7775067826,44.766054377,Merops persicus,Blue-cheeked Bee-eater,2014-07-12,10
Armenia,39.7775067826,44.766054377,Panurus biarmicus,Bearded Reedling,2014-07-12,30
Armenia,39.7752145,44.7685649246,Chlidonias leucopterus,White-winged Tern,2014-07-12,10
Armenia,39.7792712934,44.7660758346,Ixobrychus minutus,Little Bittern,2014-07-12,1
Armenia,39.7792712934,44.7660758346,Vanellus leucurus,White-tailed Lapwing,2014-07-12,3
Armenia,39.8066857404,44.7498357296,Merops persicus,Blue-cheeked Bee-eater,2014-07-06,1
