country,latitude,longitude,scientific_name,vernacular_name,date,count
Australia,-27.47427187,153.02996339,Burhinus grallarius,Bush Stone-curlew,2015-03-11,6
Australia,-38.0251,144.5663,Calidris ferruginea,Curlew Sandpiper,2015-03-07,10
Australia,-38.0251,144.5663,Pelecanus conspicillatus,Australian Pelican,2015-03-07,30
Australia,-38.0251,144.5663,Haematopus fuliginosus,Sooty Oystercatcher,2015-03-07,1
Australia,-38.0116,144.5696,Epthianura albifrons,White-fronted Chat,2015-03-07,5
Australia,-38.0116,144.5696,Poodytes gramineus,Little Grassbird,2015-03-07,1
Australia,-38.0116,144.5696,Calidris acuminata,Sharp-tailed Sandpiper,2015-03-07,12
Australia,-38.0116,144.5696,Malacorhynchus membranaceus,Pink-eared Duck,2015-03-07,300
Australia,-38.0116,144.5696,Falco berigora,Brown Falcon,2015-03-07,3
Australia,-38.0116,144.5696,Circus approximans,Swamp Harrier,2015-03-07,10
Australia,-38.0116,144.5696,Elanus axillaris,Black-shouldered Kite,2015-03-07,4
Australia,-38.0116,144.5696,Poliocephalus poliocephalus,Hoary-headed Grebe,2015-03-07,40
Australia,-38.0424,144.5122,Threskiornis spinicollis,Straw-necked Ibis,2015-03-07,20
Australia,-38.0424,144.5122,Hirundo neoxena,Welcome Swallow,2015-03-07,50
Australia,-38.0424,144.5122,Petrochelidon ariel,Fairy Martin,2015-03-07,6
Australia,-38.0424,144.5122,Calidris ruficollis,Red-necked Stint,2015-03-07,25
Australia,-38.0424,144.5122,Calidris ferruginea,Curlew Sandpiper,2015-03-07,6
Australia,-38.0424,144.5122,Tadorna tadornoides,Australian Shelduck,2015-03-07,60
Australia,-38.0424,144.5122,Cereopsis novaehollandiae,Cape Barren Goose,2015-03-07,12
Australia,-38.0424,144.5122,Malacorhynchus membranaceus,Pink-eared Duck,2015-03-07,80
Australia,-38.0426,144.5122,Calamanthus fuliginosus,Striated Fieldwren,2015-03-07,1
Australia,-38.0426,144.5122,Cisticola exilis,Golden-headed Cisticola,2015-03-07,3
Australia,-38.0426,144.5122,Calidris ruficollis,Red-necked Stint,2015-03-07,60
Australia,-38.0426,144.5122,Tringa nebularia,Common Greenshank,2015-03-07,5
Australia,-38.0426,144.5122,Tringa stagnatilis,Marsh Sandpiper,2015-03-07,10
Australia,-37.8285,144.983,Trichoglossus moluccanus,Rainbow Lorikeet,2015-03-08,8
Australia,-37.8285,144.983,Phalacrocorax sulcirostris,Little Black Cormorant,2015-03-08,10
Australia,-37.8285,144.9829,Porphyrio melanotus melanotus,Australasian Swamphen ssp melanotus,2015-03-08,6
Australia,-37.8285,144.983,Gallinula tenebrosa,Dusky Moorhen,2015-03-08,10
Australia,-37.8285,144.983,Nycticorax caledonicus,Nankeen Night Heron,2015-03-08,3
Australia,-37.8293,144.9825,Manorina melanophrys,Bell Miner,2015-03-08,4
Australia,-37.8293,144.9826,Anthochaera carunculata,Red Wattlebird,2015-03-08,2
Australia,-37.8293,144.9826,Anthochaera chrysoptera,Little Wattlebird,2015-03-08,1
Australia,-37.8293,144.9826,Nycticorax caledonicus,Nankeen Night Heron,2015-03-08,1
Australia,-38.025,144.5663,Porzana tabuensis,Spotless Crake,2015-03-07,2
Australia,-38.0116,144.5696,Stictonetta naevosa,Freckled Duck,2015-03-07,4
Australia,-38.0426,144.5122,Egretta garzetta,Little Egret,2015-03-07,3
Australia,-38.0426,144.5122,Cladorhynchus leucocephalus,Banded Stilt,2015-03-07,1
Australia,-38.0426,144.5122,Recurvirostra novaehollandiae,Red-necked Avocet,2015-03-07,70
Australia,-38.0425,144.5122,Antigone rubicunda,Brolga,2015-03-07,2
Australia,-38.484,145.2627,Colluricincla harmonica,Grey Shrikethrush,2015-03-05,2
Australia,-38.484,145.2627,Caligavis chrysops,Yellow-faced Honeyeater,2015-03-05,2
Australia,-38.484,145.2627,Melithreptus lunatus,White-naped Honeyeater,2015-03-05,4
Australia,-38.503,145.1508,Cereopsis novaehollandiae,Cape Barren Goose,2015-03-05,2
Australia,-38.5171,145.1179,Eudyptula minor,Little Penguin,2015-03-05,8
Australia,-38.5171,145.1179,Falco cenchroides,Nankeen Kestrel,2015-03-05,1
Australia,-38.4839,145.2627,Cereopsis novaehollandiae,Cape Barren Goose,2015-03-05,6
Australia,-38.484,145.2627,Nesoptilotis leucotis,White-eared Honeyeater,2015-03-05,2
Australia,-39.0291,146.3171,Zoothera lunulata,Bassian Thrush,2015-03-04,1
Australia,-38.8188,146.1706,Larus pacificus,Pacific Gull,2015-03-04,8
Australia,-38.8189,146.1708,Numenius madagascariensis,Far Eastern Curlew,2015-03-04,1
Australia,-39.0291,146.3169,Chenonetta jubata,Maned Duck,2015-03-04,4
Australia,-38.6689,143.8614,Dacelo novaeguineae,Laughing Kookaburra,2015-03-02,1
Australia,-38.6689,143.8614,Anthochaera carunculata,Red Wattlebird,2015-03-02,1
