country,latitude,longitude,scientific_name,vernacular_name,date,count
Austria,47.7380403394,13.4534956461,Euphrasia stricta s.l.,Rigid Eyebright s.l.,2014-08-24,1
Austria,47.5306694271,13.4973195061,Euphrasia salisburgensis,Irish Eyebright,2014-08-28,1
Austria,47.1376581884,9.79190826416,Hepatica nobilis,Liverleaf,2005-08-20,1
Austria,47.456215,12.0532866666667,Emberiza citrinella,Yellowhammer,2015-03-10,1
Austria,47.44976,12.0584433333333,Fringilla coelebs,Common Chaffinch,2015-03-10,1
Austria,47.4494316666667,12.05782,Motacilla alba,White Wagtail,2015-03-10,1
Austria,47.4492033333333,12.0554933333333,Emberiza citrinella,Yellowhammer,2015-03-10,1
Austria,47.4492033333333,12.0554933333333,Fringilla coelebs,Common Chaffinch,2015-03-10,1
Austria,47.3883116666667,11.96487,Fringilla coelebs,Common Chaffinch,2015-03-10,1
Austria,47.3917066666667,11.9859683333333,Periparus ater,Coal Tit,2015-03-10,2
Austria,47.40947,12.03785,Motacilla cinerea,Grey Wagtail,2015-03-10,1
Austria,47.4090816667,12.0373416667,Cinclus cinclus aquaticus,Red-bellied Dipper,2015-03-10,1
Austria,47.4090816666667,12.0373416666667,Motacilla alba,White Wagtail,2015-03-10,1
Austria,47.40642,12.0134133333333,Chloris chloris,European Greenfinch,2015-03-09,1
Austria,47.4420792477,10.67278862,Enallagma cyathigerum,Common Bluet,2010-07-16,10
Austria,47.6600113571,12.2979927063,Coenagrion pulchellum,Variable Bluet,2010-07-16,10
Austria,47.4497183333333,12.0541983333333,Fringilla coelebs,Common Chaffinch,2015-03-08,1
Austria,47.4335516666667,12.1077633333333,Loxia curvirostra,Red Crossbill,2015-03-08,1
Austria,47.4498166666667,12.0539466666667,Emberiza citrinella,Yellowhammer,2015-03-08,1
Austria,47.4494416666667,12.0532733333333,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-07,1
Austria,47.4494533333333,12.0532916666667,Emberiza citrinella,Yellowhammer,2015-03-07,1
Austria,47.4489183333333,12.051805,Periparus ater,Coal Tit,2015-03-07,1
Austria,47.44962,12.0548166666667,Emberiza citrinella,Yellowhammer,2015-03-07,1
Austria,47.44795,12.052605,Chloris chloris,European Greenfinch,2015-03-07,1
Austria,47.369305,11.921425,Periparus ater,Coal Tit,2015-03-07,2
Austria,47.4523833333333,12.0546683333333,Emberiza citrinella,Yellowhammer,2015-03-06,1
Austria,47.453035,12.052015,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-06,1
Austria,47.452705,12.0519683333333,Periparus ater,Coal Tit,2015-03-06,1
Austria,47.4495816666667,12.050055,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-06,1
Austria,47.44868,12.05044,Emberiza citrinella,Yellowhammer,2015-03-06,2
Austria,47.3918348607,12.641705275,Passer domesticus,House Sparrow,2015-02-27,4
Austria,47.3929181581,12.6429605501,Emberiza citrinella,Yellowhammer,2015-02-26,2
Austria,47.3943,12.645,Emberiza citrinella,Yellowhammer,2015-02-25,1
Austria,47.4903483333333,12.0708433333333,Buteo buteo,Common Buzzard,2015-03-06,3
Austria,47.4493296,12.0549058,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-04,1
Austria,47.3772516666667,11.958115,Chloris chloris,European Greenfinch,2015-03-03,1
Austria,47.3686916666667,11.9362733333333,Periparus ater,Coal Tit,2015-03-03,1
Austria,47.40993,12.0360116666667,Chloris chloris,European Greenfinch,2015-03-03,1
Austria,47.43737,12.111215,Loxia curvirostra,Red Crossbill,2015-03-04,1
Austria,47.4420816666667,12.1046466666667,Corvus corax,Northern Raven,2015-03-04,2
Austria,47.4485916666667,12.0874983333333,Chloris chloris,European Greenfinch,2015-03-04,1
Austria,47.2144651973,10.1437228918,Pyrrhocorax graculus,Alpine Chough,2015-02-26,1
Austria,47.2144651973,10.1437228918,Pyrrhocorax graculus,Alpine Chough,2015-02-25,8
Austria,47.2143194445,10.1435807347,Pyrrhocorax graculus,Alpine Chough,2015-02-22,8
Austria,47.5646946412,13.7216091513,Pholidoptera griseoaptera,Dark Bush-cricket,2014-08-26,1
Austria,47.406659814877,12.0107978582382,Chloris chloris,European Greenfinch,2015-03-02,1
Austria,47.0166337789,9.9840939045,Cinclus cinclus,White-throated Dipper,2015-02-25,2
Austria,47.0177968148,9.9780857563,Cinclus cinclus,White-throated Dipper,2015-02-25,3
Austria,47.0177382978,9.97491002083,Cinclus cinclus,White-throated Dipper,2015-02-25,2
Austria,47.0183600369,9.97220635414,Cinclus cinclus,White-throated Dipper,2015-02-25,2
Austria,47.0219806083,9.96559739113,Cinclus cinclus,White-throated Dipper,2015-02-23,2
Austria,47.0877152348,9.87683773041,Chloris chloris,European Greenfinch,2015-02-26,1
Austria,47.087569134,9.876537323,Erithacus rubecula,European Robin,2015-02-26,1
Austria,47.0905787286,9.876537323,Motacilla cinerea,Grey Wagtail,2015-02-26,2
Austria,47.4494733333333,12.0530083333333,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-01,4
Austria,47.4492933333333,12.0524566666667,Fringilla coelebs,Common Chaffinch,2015-03-01,1
Austria,47.4491566666667,12.052605,Periparus ater,Coal Tit,2015-03-01,1
Austria,47.4487866666667,12.051225,Spinus spinus,Eurasian Siskin,2015-03-01,2
Austria,47.449035,12.0519633333333,Emberiza citrinella,Yellowhammer,2015-03-01,1
Austria,47.4067016666667,12.0085233333333,Corvus corax,Northern Raven,2015-03-01,1
Austria,47.4070166666667,12.031575,Periparus ater,Coal Tit,2015-03-01,1
Austria,46.9776406034,9.9673175803,Montifringilla nivalis,White-winged Snowfinch,2015-02-25,2
Austria,47.1164160285,13.1358363479,Cinclus cinclus,White-throated Dipper,2015-02-26,1
Austria,47.0219,9.9583,Corvus corax,Northern Raven,2015-02-22,4
Austria,47.35882471,10.18810972,Pyrrhocorax graculus,Alpine Chough,2015-02-19,3
Austria,47.36435794,10.16972604,Pyrrhocorax graculus,Alpine Chough,2015-02-19,60
Austria,47.35227113,10.15014024,Corvus corax,Northern Raven,2015-02-19,2
Austria,47.36517671,10.1906827,Cinclus cinclus,White-throated Dipper,2015-02-19,2
Austria,47.36710668,10.18907435,Corvus corone,Carrion Crow,2015-02-20,1
Austria,47.3454750283831,10.1215661689639,Pyrrhocorax graculus,Alpine Chough,2015-02-20,53
Austria,47.3568305177384,10.1856930926442,Pyrrhocorax graculus,Alpine Chough,2015-02-21,20
Austria,47.36935217,10.20852167,Aquila chrysaetos,Golden Eagle,2015-02-21,1
Austria,47.35919858,10.18792062,Pyrrhocorax graculus,Alpine Chough,2015-02-22,60
Austria,47.3656778,10.18770502,Cinclus cinclus,White-throated Dipper,2015-02-22,1
Austria,47.36612336,10.18649902,Cinclus cinclus,White-throated Dipper,2015-02-22,3
Austria,47.36630625,10.18517253,Cinclus cinclus,White-throated Dipper,2015-02-22,1
Austria,47.36640708,10.18405974,Cinclus cinclus,White-throated Dipper,2015-02-22,2
Austria,47.36587563,10.18055029,Cinclus cinclus,White-throated Dipper,2015-02-22,2
