country,latitude,longitude,scientific_name,vernacular_name,date,count
Bangladesh,24.30317022,91.77833086,Parus cinereus,Cinereous Tit,2015-02-23,1
Bangladesh,23.89033054,90.40147509,Tyto javanica stertens,Eastern Barn Owl ssp stertens,2015-02-24,16
Bangladesh,24.32688488,91.78509415,Surniculus lugubris,Square-tailed Drongo-Cuckoo,2015-02-23,1
Bangladesh,24.37055243,91.70608305,Megalurus palustris,Striated Grassbird,2015-02-22,5
Bangladesh,21.55626046,91.86410643,Tringa guttifer,Nordmann's Greenshank,2015-02-15,3
Bangladesh,21.55645338,91.86397824,Calidris pygmaea,Spoon-billed Sandpiper,2015-02-15,3
Bangladesh,21.5564063,91.8639753,Charadrius leschenaultii,Greater Sand Plover,2015-02-15,30
Bangladesh,21.434842540000002,91.97573688,Parus cinereus planorum,Cinereous Tit ssp planorum,2015-02-14,2
Bangladesh,21.54398297,91.8449717,Charadrius leschenaultii,Greater Sand Plover,2015-02-14,55
Bangladesh,21.55643772,91.85969294,Calidris pygmaea,Spoon-billed Sandpiper,2015-02-14,8
