country,latitude,longitude,scientific_name,vernacular_name,date,count
Belarus,52.1143373454,28.2105374332,Ficedula albicollis,Collared Flycatcher,2014-05-26,1
Belarus,52.573506119661,24.9973690230399,Lanius excubitor,Great Grey Shrike,2014-05-31,1
Belarus,53.9337,26.4083,Dendrocopos leucotos,White-backed Woodpecker,2015-02-22,2
Belarus,53.9,26.45,Picus canus,Grey-headed Woodpecker,2015-02-21,1
Belarus,53.9352,26.4625,Haliaeetus albicilla,White-tailed Eagle,2015-02-21,1
Belarus,53.9,26.4,Picus canus,Grey-headed Woodpecker,2015-02-20,1
Belarus,53.928,26.3496,Alces alces,Elk,2015-02-19,3
Belarus,53.9044,26.3319,Alces alces,Elk,2015-02-18,2
Belarus,53.8309,26.2051,Alces alces,Elk,2015-02-18,1
Belarus,53.8203,26.2068,Alces alces,Elk,2015-02-18,4
Belarus,53.9338,26.4082,Dendrocopos leucotos,White-backed Woodpecker,2015-02-17,1
Belarus,53.9,26.4,Picus canus,Grey-headed Woodpecker,2015-02-17,1
Belarus,53.9148,26.3812,Alces alces,Elk,2015-02-15,1
Belarus,53.8796,26.3587,Alces alces,Elk,2015-02-15,1
Belarus,53.8714,26.3348,Lanius excubitor,Great Grey Shrike,2015-02-15,1
Belarus,53.8094,26.297,Dendrocopos leucotos,White-backed Woodpecker,2015-02-15,1
Belarus,53.8122,26.3057,Lanius excubitor,Great Grey Shrike,2015-02-15,1
Belarus,53.8444,26.2576,Dendrocopos leucotos,White-backed Woodpecker,2015-02-15,1
Belarus,53.8523,26.3119,Alces alces,Elk,2015-02-15,2
Belarus,53.8867,26.3144,Alces alces,Elk,2015-02-15,1
Belarus,53.9468,26.3877,Alces alces,Elk,2015-02-14,1
