country,latitude,longitude,scientific_name,vernacular_name,date,count
"Bonaire, Saint Eustatius and Saba",12.2195,-68.3519,Tyrannus dominicensis,Grey Kingbird,2015-03-13,1
"Bonaire, Saint Eustatius and Saba",12.2474,-68.4118,Egretta caerulea,Little Blue Heron,2015-03-13,1
"Bonaire, Saint Eustatius and Saba",12.2469,-68.4124,Icterus nigrogularis,Yellow Oriole,2015-03-13,1
"Bonaire, Saint Eustatius and Saba",12.2469,-68.4124,Pelecanus occidentalis,Brown Pelican,2015-03-13,7
"Bonaire, Saint Eustatius and Saba",12.2469,-68.4124,Egretta thula,Snowy Egret,2015-03-13,8
"Bonaire, Saint Eustatius and Saba",12.2469,-68.4124,Phoenicopterus ruber,American Flamingo,2015-03-13,14
"Bonaire, Saint Eustatius and Saba",12.1997,-68.3199,Pandion haliaetus,Western Osprey,2015-03-13,1
"Bonaire, Saint Eustatius and Saba",12.252,-68.3106,Setophaga aestiva,American Yellow Warbler,2015-03-08,2
"Bonaire, Saint Eustatius and Saba",12.0983,-68.2329,Thalasseus maximus,Royal Tern,2015-03-07,3
"Bonaire, Saint Eustatius and Saba",12.0983,-68.2329,Leucophaeus atricilla,Laughing Gull,2015-03-07,5
"Bonaire, Saint Eustatius and Saba",12.2647,-68.4134,Passer domesticus,House Sparrow,2015-03-05,6
"Bonaire, Saint Eustatius and Saba",12.2647,-68.4134,Sicalis flaveola,Saffron Finch,2015-03-05,1
"Bonaire, Saint Eustatius and Saba",12.2647,-68.4134,Sublegatus arenarum,Northern Scrub Flycatcher,2015-03-05,1
"Bonaire, Saint Eustatius and Saba",12.2648,-68.4134,Amazona barbadensis,Yellow-shouldered Amazon,2015-03-05,2
"Bonaire, Saint Eustatius and Saba",12.2642,-68.4132,Egretta thula,Snowy Egret,2015-03-05,1
"Bonaire, Saint Eustatius and Saba",12.2646,-68.4133,Pelecanus occidentalis,Brown Pelican,2015-03-05,2
"Bonaire, Saint Eustatius and Saba",12.2646,-68.4136,Phoenicopterus ruber,American Flamingo,2015-03-05,52
"Bonaire, Saint Eustatius and Saba",12.2647,-68.4134,Columbina passerina,Common Ground Dove,2015-03-05,5
"Bonaire, Saint Eustatius and Saba",12.2648,-68.4134,Icterus icterus,Venezuelan Troupial,2015-03-05,2
"Bonaire, Saint Eustatius and Saba",12.2648,-68.4134,Icterus nigrogularis,Yellow Oriole,2015-03-05,1
"Bonaire, Saint Eustatius and Saba",12.2644,-68.4091,Caracara cheriway,Northern Crested Caracara,2015-03-05,1
"Bonaire, Saint Eustatius and Saba",17.4742,-62.9684,Geotrygon mystacea,Bridled Quail-Dove,2015-02-26,1
"Bonaire, Saint Eustatius and Saba",17.4752,-62.9692,Nyctanassa violacea,Yellow-crowned Night Heron,2015-02-22,1
"Bonaire, Saint Eustatius and Saba",17.4738,-62.9681,Geotrygon mystacea,Bridled Quail-Dove,2015-02-13,1
"Bonaire, Saint Eustatius and Saba",12.1709,-68.2711,Icterus nigrogularis,Yellow Oriole,2015-03-03,1
"Bonaire, Saint Eustatius and Saba",12.171,-68.2874,Passer domesticus,House Sparrow,2015-03-02,2
"Bonaire, Saint Eustatius and Saba",12.1346,-68.2794,Leptotila verreauxi,White-tipped Dove,2015-03-03,1
"Bonaire, Saint Eustatius and Saba",12.1346,-68.2794,Columbina passerina,Common Ground Dove,2015-03-03,1
"Bonaire, Saint Eustatius and Saba",12.1343,-68.2791,Sicalis flaveola,Saffron Finch,2015-03-03,1
"Bonaire, Saint Eustatius and Saba",12.1349,-68.2795,Calidris alba,Sanderling,2015-03-03,1
"Bonaire, Saint Eustatius and Saba",12.1348,-68.2795,Zenaida auriculata,Eared Dove,2015-03-03,1
"Bonaire, Saint Eustatius and Saba",12.1348,-68.2795,Pelecanus occidentalis,Brown Pelican,2015-03-03,1
"Bonaire, Saint Eustatius and Saba",12.1348,-68.2795,Patagioenas corensis,Bare-eyed Pigeon,2015-03-03,1
"Bonaire, Saint Eustatius and Saba",12.1267,-68.286,Patagioenas corensis,Bare-eyed Pigeon,2015-03-01,5
"Bonaire, Saint Eustatius and Saba",12.0286,-68.2515,Tringa flavipes,Lesser Yellowlegs,2015-03-02,3
"Bonaire, Saint Eustatius and Saba",12.0687,-68.281,Haematopus palliatus,American Oystercatcher,2015-03-01,2
"Bonaire, Saint Eustatius and Saba",12.1702,-68.2872,Amazona barbadensis,Yellow-shouldered Amazon,2015-03-02,1
"Bonaire, Saint Eustatius and Saba",12.1702,-68.2872,Leptotila verreauxi,White-tipped Dove,2015-03-02,2
"Bonaire, Saint Eustatius and Saba",12.0259,-68.2459,Charadrius wilsonia,Wilson's Plover,2015-03-02,1
"Bonaire, Saint Eustatius and Saba",12.0398,-68.2331,Phoenicopterus ruber,American Flamingo,2015-03-02,41
"Bonaire, Saint Eustatius and Saba",12.0345,-68.2338,Ardea herodias,Great Blue Heron,2015-03-02,1
"Bonaire, Saint Eustatius and Saba",12.0395,-68.2322,Egretta tricolor,Tricolored Heron,2015-03-02,1
