country,latitude,longitude,scientific_name,vernacular_name,date,count
Brazil,-22.4321335193,-44.6151351929,Thraupis ornata,Golden-chevroned Tanager,2014-10-10,10
Brazil,-4.24815734076,-38.9541989565,Icterus pyrrhopterus tibialis,Variable Oriole ssp tibialis,2015-03-07,2
Brazil,-22.4510154579,-42.7710333467,Brachymesia furcata,Red-tailed Pennant,2015-01-12,10
Brazil,-22.5415752914,-42.8084555268,Zenithoptera lanei,Clearspot Bluewing,2015-01-12,1
Brazil,-22.5415752914,-42.8084555268,Pantala flavescens,Wandering Glider,2015-01-12,10
Brazil,-22.5415752914,-42.8084555268,Orthemis aequilibris,Side-striped Skimmer,2015-01-12,2
Brazil,-22.5415752914,-42.8084555268,Nephepeltia phryne,Spine-bellied Dryad,2015-01-12,2
Brazil,-22.5415752914,-42.8084555268,Miathyria simplex,Dwarf Glider,2015-01-12,15
Brazil,-22.5415752914,-42.8084555268,Erythrodiplax umbrata,Band-winged Dragonlet,2015-01-12,4
Brazil,-22.5415752914,-42.8084555268,Erythrodiplax castanea,Leaf-hugging Dragonlet,2015-01-12,10
Brazil,-22.5415752914,-42.8084555268,Erythrodiplax avittata,Mottled Dragonlet,2015-01-12,50
Brazil,-22.5415752914,-42.8084555268,Erythemis peruviana,Flame-tailed Pondhawk,2015-01-12,10
Brazil,-22.5415752914,-42.8084555268,Erythemis vesiculosa,Great Pondhawk,2015-01-12,4
Brazil,-22.5415752914,-42.8084555268,Erythemis mithroides,Claret Pondhawk,2015-01-12,4
Brazil,-22.5415752914,-42.8084555268,Erythemis carmelita,Carmelita Pondhawk,2015-01-12,3
Brazil,-22.5415752914,-42.8084555268,Dythemis nigra,Blue-eyed Setwing,2015-01-12,1
Brazil,-22.5415752914,-42.8084555268,Brachymesia herbida,Tawny Pennant,2015-01-12,1
Brazil,-22.5415752914,-42.8084555268,Anax concolor,Blue-spotted Comet Darner,2015-01-12,1
Brazil,-22.5415752914,-42.8084555268,Minagrion ribeiroi,Ivory-tailed Bluetip,2015-01-12,2
Brazil,-22.5371359118,-42.7852812409,Erythemis vesiculosa,Great Pondhawk,2015-01-12,2
Brazil,-22.5371359118,-42.7852812409,Anax concolor,Blue-spotted Comet Darner,2015-01-12,1
Brazil,-22.4923377608,-42.8063097596,Elasmothemis constricta,Mottled Streamskimmer,2015-01-12,4
Brazil,-22.4923377608,-42.8063097596,Tigriagrion aurantinigrum,Tiger Damsel,2015-01-12,2
Brazil,-22.4697349573,-42.7597895265,Orthemis cultriformis,Swamp Skimmer,2015-01-12,4
Brazil,-22.4508568073,-42.7711191773,Planiplax phoenicura,Guiana Spiderlegs,2015-01-11,1
Brazil,-22.4508568073,-42.7711191773,Tramea binotata,Sooty Saddlebags,2015-01-11,1
Brazil,-22.4508568073,-42.7711191773,Brachymesia furcata,Red-tailed Pennant,2015-01-11,10
Brazil,-22.3380890942,-42.7205367386,Bryoplathanon globifer,Giant Metallic,2015-01-11,1
Brazil,-22.3380890942,-42.7205367386,Dasythemis mincki,Stripe-backed Skimmer,2015-01-11,50
Brazil,-22.3380890942,-42.7205367386,Castoraeschna castor,Gunsen Darner,2015-01-11,2
Brazil,-22.3380890942,-42.7205367386,Erythrodiplax fusca,Red-faced Dragonlet,2015-01-11,10
Brazil,-22.4318955109,-44.6149635315,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,2014-10-09,1
Brazil,-5.85852641467,-35.1815968752,Vanellus chilensis,Southern Lapwing,2014-10-07,1
Brazil,-5.85852641467,-35.1815968752,Pitangus sulphuratus,Great Kiskadee,2014-10-08,2
Brazil,-22.515650469,-42.8489676118,Brachymesia herbida,Tawny Pennant,2015-01-10,2
Brazil,-22.4988403399,-42.8545466065,Erythrodiplax castanea,Leaf-hugging Dragonlet,2015-01-10,1
Brazil,-22.5155711807,-42.8491392732,Erythrodiplax fusca,Red-faced Dragonlet,2015-01-10,50
Brazil,-22.4509361326,-42.770947516,Ischnura capreolus,Tiny Forktail,2015-01-10,4
Brazil,-22.4509361326,-42.770947516,Ischnura fluviatilis,Austral Forktail,2015-01-10,1
Brazil,-22.4982852536,-42.8560057282,Tigriagrion aurantinigrum,Tiger Damsel,2015-01-10,3
Brazil,-22.5158090454,-42.8493109345,Miathyria simplex,Dwarf Glider,2015-01-10,15
Brazil,-22.5158084259,-42.8485532105,Tramea binotata,Sooty Saddlebags,2015-01-10,20
Brazil,-22.5158084259,-42.8485532105,Pantala flavescens,Wandering Glider,2015-01-10,1
Brazil,-22.5158084259,-42.8485532105,Erythemis haematogastra,Red Pondhawk,2015-01-10,3
Brazil,-22.4503820937,-42.7740079165,Erythemis plebeja,Pin-tailed Pondhawk,2015-01-10,10
