country,latitude,longitude,scientific_name,vernacular_name,date,count
Bulgaria,41.4568910077,23.2569140196,Aricia anteros,Blue Argus,2006-06-21,1
Bulgaria,41.4568910077,23.2569140196,Libellula fulva,Scarce Chaser,2006-06-21,1
Bulgaria,41.4949722379,23.2609212503,Lestes barbarus,Migrant Spreadwing,2006-06-21,1
Bulgaria,41.4,23.25,Emys orbicularis,European Pond Terrapin,2006-06-21,1
Bulgaria,41.4444101687,23.2671010599,Pseudochorthippus parallelus,Meadow grasshopper,2006-06-21,1
Bulgaria,41.55,23.6,Pyrgus malvae,Grizzled Skipper,2006-06-20,1
Bulgaria,41.652,24.227,Erebia oeme,Bright-eyed Ringlet,2006-06-20,1
Bulgaria,41.6103782689,25.6459254079,Pieris krueperi,Krueper's Small White,2006-06-18,1
Bulgaria,42.15,25.2,Satyrium acaciae,Sloe Hairstreak,2006-06-17,1
Bulgaria,42.7035689851,27.5945234299,Ischnura elegans,Common Bluetail,2012-06-10,5
Bulgaria,42.7035689851,27.5945234299,Erythromma lindenii,Blue-eye,2012-06-10,10
Bulgaria,42.7035374477,27.5941801071,Coenagrion puella,Azure Bluet,2012-06-10,10
Bulgaria,42.68,23.31,Corvus cornix,Hooded Crow,2015-02-20,1
Bulgaria,42.5354867118,27.4922853545,Lanius collurio,Red-backed Shrike,2009-09-29,1
Bulgaria,42.5522235504,27.4770933227,Calidris minuta,Little Stint,2009-09-28,9
Bulgaria,42.5814281159,27.4788099364,Pelecanus onocrotalus,Great White Pelican,2009-09-28,40
Bulgaria,42.5501369869,27.5046449737,Saxicola rubicola,European Stonechat,2009-09-27,1
Bulgaria,42.5526029181,27.4769216613,Calidris minuta,Little Stint,2009-09-27,2
Bulgaria,42.5809926793,27.4766933435,Pelecanus onocrotalus,Great White Pelican,2009-09-26,13
Bulgaria,42.4441459664,27.4666215439,Himantopus himantopus,Black-winged Stilt,2009-09-25,1
Bulgaria,42.5523128624,27.4772860069,Himantopus himantopus,Black-winged Stilt,2009-09-25,1
Bulgaria,42.5523128624,27.4772860069,Calidris minuta,Little Stint,2009-09-25,1
Bulgaria,42.6260726177,27.4892830197,Lanius collurio,Red-backed Shrike,2009-09-25,1
Bulgaria,42.5738857054,27.4884439964,Pelecanus onocrotalus,Great White Pelican,2009-09-25,170
Bulgaria,42.3263622774,27.7356436728,Galerida cristata,Crested Lark,2009-09-24,1
Bulgaria,42.3263622774,27.7356436728,Lanius collurio,Red-backed Shrike,2009-09-24,1
Bulgaria,42.3126859238,27.7269747739,Alcedo atthis,Common Kingfisher,2009-09-24,1
Bulgaria,42.3126859238,27.7269747739,Saxicola rubetra,Whinchat,2009-09-24,1
Bulgaria,42.4440399556,27.466585706,Himantopus himantopus,Black-winged Stilt,2009-09-23,2
Bulgaria,42.4,27.45,Remiz pendulinus,Eurasian Penduline Tit,2009-09-23,1
Bulgaria,42.4440399556,27.466585706,Microcarbo pygmaeus,Pygmy Cormorant,2009-09-23,1
Bulgaria,42.4440399556,27.466585706,Phalacrocorax carbo,Great Cormorant,2009-09-23,1
Bulgaria,42.5874714928,27.4850755662,Pelecanus onocrotalus,Great White Pelican,2009-09-23,6
Bulgaria,42.582805215,27.6246688818,Thalasseus sandvicensis,Sandwich Tern,2009-09-21,1
