country,latitude,longitude,scientific_name,vernacular_name,date,count
Cambodia,13.4133296615,103.865897655,Macaca fascicularis,Long-tailed Macaque,2014-02-05,1
Cambodia,11.5626039993,104.93124783,Copsychus saularis,Oriental Magpie-Robin,2014-01-31,2
Cambodia,11.5620206322,104.931494594,Acridotheres tristis,Common Myna,2014-01-31,1
Cambodia,11.561938295,104.931591153,Passer montanus malaccensis,Eurasian Tree Sparrow ssp malaccensis,2014-01-31,1
Cambodia,11.5631400653,104.931730628,Macaca fascicularis,Long-tailed Macaque,2014-01-31,1
Cambodia,13.3537285136,103.86565452400001,Kaloula pulchra,Banded Bullfrog,2015-02-26,1
Cambodia,12.6269326561,106.003764868,Orcaella brevirostris,Irrawaddy Dolphin,2007-12-25,1
Cambodia,13.4465993141,103.878536671,Cyornis hainanus,Hainan Blue Flycatcher,2015-02-25,1
Cambodia,13.4131124259,103.864266984,Brachythemis contaminata,Asian Amberwing,2015-02-25,1
Cambodia,13.4131124259,103.864266984,Crocothemis servilia,Oriental Scarlet,2015-02-25,1
Cambodia,13.3538276003,103.865640275,Acridotheres tristis,Common Myna,2015-02-24,1
Cambodia,13.3633267603,103.861008938,Brachythemis contaminata,Asian Amberwing,2015-02-22,1
Cambodia,13.3633267603,103.861008938,Crocothemis servilia,Oriental Scarlet,2015-02-22,1
Cambodia,13.3360288701,103.972778432,Hylarana erythraea,Common Green Frog,2015-02-22,1
Cambodia,13.4262928011,103.859367594,Macaca fascicularis,Long-tailed Macaque,2015-02-23,1
Cambodia,13.4622303516,103.872392401,Crocothemis servilia,Oriental Scarlet,2015-02-23,1
Cambodia,13.4622303516,103.872392401,Pycnonotus flaviventris,Black-crested Bulbul,2015-02-23,1
Cambodia,13.4452537197,103.856338374,Gracula religiosa,Common Hill Myna,2015-02-23,1
Cambodia,13.4486187298,103.862185478,Pycnonotus flaviventris,Black-crested Bulbul,2014-02-08,1
Cambodia,13.7518386938,106.953452937,Coracina macei,Large Cuckooshrike,2015-02-19,1
Cambodia,13.4376885436,106.165480614,Coracias affinis,Indochinese Roller,2015-02-21,1
Cambodia,13.7501395292,107.027192563,Gekko gecko,Tokay Gecko,2015-02-20,1
Cambodia,13.3003428085,103.840485513,Acridotheres tristis,Common Myna,2014-12-14,1
Cambodia,13.3003428085,103.840485513,Dicrurus macrocercus,Black Drongo,2014-12-14,1
Cambodia,13.3003428085,103.840485513,Coracias affinis,Indochinese Roller,2014-12-14,1
Cambodia,13.434578533,103.889279589,Psittacula alexandri,Red-breasted Parakeet,2014-12-13,10
Cambodia,11.5655760103,104.928749911,Copsychus saularis,Oriental Magpie-Robin,2014-12-26,1
Cambodia,13.7377589476,106.955216154,Coracias affinis,Indochinese Roller,2015-02-19,2
Cambodia,13.7501812146,107.026548833,Phaenicophaeus tristis,Green-billed Malkoha,2015-02-18,1
Cambodia,13.7495552807,107.027636468,Larvivora cyane,Siberian Blue Robin,2015-02-18,1
Cambodia,13.7504730126,107.026977986,Cyornis unicolor,Pale Blue Flycatcher,2015-02-18,1
Cambodia,13.7465539013,107.019568384,Coracias affinis,Indochinese Roller,2015-02-15,1
Cambodia,11.6697154646,105.111125708,Coracias affinis,Indochinese Roller,2015-02-13,1
Cambodia,11.5284699008,104.869995117,Acridotheres tristis,Common Myna,2015-02-12,7
Cambodia,11.8028342335,104.768371582,Macaca fascicularis,Long-tailed Macaque,2015-02-12,1
Cambodia,12.3775629111,104.595336914,Coracias affinis,Indochinese Roller,2015-02-12,4
Cambodia,11.564398612,104.930448756,Acridotheres tristis,Common Myna,2015-02-11,1
Cambodia,11.564398612,104.930448756,Pycnonotus goiavier,Yellow-vented Bulbul,2015-02-11,1
Cambodia,11.564398612,104.930448756,Copsychus saularis,Oriental Magpie-Robin,2015-02-11,1
Cambodia,11.5684770303,104.926389568,Macaca fascicularis,Long-tailed Macaque,2015-02-11,1
Cambodia,11.8270271461,104.737531543,Coracias affinis,Indochinese Roller,2015-02-10,1
Cambodia,11.6320555741,104.881786108,Acridotheres tristis,Common Myna,2015-02-10,1
Cambodia,11.7957241238,104.769909494,Macaca fascicularis,Long-tailed Macaque,2015-02-10,1
Cambodia,12.2014462975,104.664747119,Coracias affinis,Indochinese Roller,2015-02-10,1
Cambodia,12.2669809568,104.681432471,Brachythemis contaminata,Asian Amberwing,2015-02-10,1
Cambodia,12.5012697003,104.318050146,Coracias affinis,Indochinese Roller,2015-02-10,1
Cambodia,13.2651336457,103.3572869,Ceryle rudis,Pied Kingfisher,2015-02-08,1
Cambodia,13.2646327279,103.58204864,Chlidonias hybrida,Whiskered Tern,2015-02-08,10
Cambodia,13.2573126827,103.577964306,Ardea intermedia,Intermediate Egret,2015-02-08,1
Cambodia,13.2573126827,103.577964306,Phalacrocorax carbo,Great Cormorant,2015-02-08,1
Cambodia,13.2573126827,103.577964306,Anhinga melanogaster,Oriental Darter,2015-02-08,1
Cambodia,13.2573126827,103.577964306,Pelecanus philippensis,Spot-billed Pelican,2015-02-08,3
Cambodia,13.4604151468,103.875732422,Neurothemis fulvia,Russet Percher,2015-02-07,1
Cambodia,13.4604151468,103.875732422,Psittacula alexandri,Red-breasted Parakeet,2015-02-07,1
Cambodia,13.441058899,103.858838193,Rhyothemis variegata,Variegated Flutterer,2015-02-03,1
