country,latitude,longitude,scientific_name,vernacular_name,date,count
Canada,50.0381751309,-125.297791957,Haliaeetus leucocephalus,Bald Eagle,2010-09-18,1
Canada,50.0421680033,-125.217010975,Haliaeetus leucocephalus,Bald Eagle,2010-09-18,1
Canada,49.9993738855,-125.197248459,Larus californicus,California Gull,2010-09-17,1
Canada,49.9993738855,-125.197248459,Larus glaucescens,Glaucous-winged Gull,2010-09-17,1
Canada,49.9993738855,-125.197248459,Haliaeetus leucocephalus,Bald Eagle,2010-09-17,1
Canada,50.0949362198,-125.202627182,Colaptes auratus,Northern Flicker,2010-09-17,3
Canada,50.1081905335,-125.207347873,Larus californicus,California Gull,2010-09-17,1
Canada,50.1081905335,-125.207347873,Larus glaucescens,Glaucous-winged Gull,2010-09-17,1
Canada,49.2908664147,-124.662866593,Troglodytes pacificus,Pacific Wren,2010-09-16,1
Canada,49.1104689392,-125.646886826,Haliaeetus leucocephalus,Bald Eagle,2010-09-15,1
Canada,49.1155609103,-125.933761604,Larus californicus,California Gull,2010-09-14,1
Canada,49.1155609103,-125.933761604,Enhydra lutris,Sea Otter,2010-09-14,1
Canada,49.1155609103,-125.933761604,Eumetopias jubatus,Steller Sea Lion,2010-09-14,30
Canada,49.1155609103,-125.933761604,Phoca vitulina,Harbour Seal,2010-09-14,50
Canada,49.2558102126,-125.907669074,Orcinus orca,Killer Whale,2010-09-14,4
Canada,49.1645250136,-125.899086006,Haliaeetus leucocephalus,Bald Eagle,2010-09-14,3
Canada,49.0873246871,-125.813698767,Ursus americanus,American Black Bear,2010-09-12,1
Canada,49.1112911048,-125.933074958,Enhydra lutris,Sea Otter,2010-09-13,1
Canada,49.1112911048,-125.933074958,Phoca vitulina,Harbour Seal,2010-09-13,20
Canada,49.1112911048,-125.933074958,Eumetopias jubatus,Steller Sea Lion,2010-09-13,30
Canada,49.0437681461,-125.705816746,Troglodytes pacificus,Pacific Wren,2010-09-13,1
Canada,49.1530519906,-125.896253588,Haliaeetus leucocephalus,Bald Eagle,2010-09-13,1
Canada,49.1194895567,-125.925951006,Larus californicus,California Gull,2010-09-13,1
Canada,49.1194895567,-125.925951006,Calidris alba,Sanderling,2010-09-13,1
Canada,49.1194895567,-125.925951006,Cepphus columba,Pigeon Guillemot,2010-09-13,1
Canada,49.1194895567,-125.925951006,Haematopus bachmani,Black Oystercatcher,2010-09-13,5
Canada,49.313540735,-123.141803741,Procyon lotor,Northern Raccoon,2003-07-23,5
Canada,49.29871051,-123.13794136,Turdus migratorius,American Robin,2003-07-23,8
Canada,49.2986195605,-123.11950922,Haliaeetus leucocephalus,Bald Eagle,2003-07-23,1
Canada,49.2958278967,-123.139572144,Branta canadensis,Canada Goose,2003-07-23,101
Canada,49.29697537,-123.13798428,Ardea herodias,Great Blue Heron,2003-07-23,10
Canada,49.2789486073,-123.122706413,Larus glaucescens,Glaucous-winged Gull,2003-07-23,2
Canada,48.4138547084,-123.363320231,Larus glaucescens,Glaucous-winged Gull,2010-09-09,1
Canada,48.4083254732,-123.365347982,Larus glaucescens,Glaucous-winged Gull,2010-09-08,1
