country,latitude,longitude,scientific_name,vernacular_name,date,count
Chile,-50.9574119678431,-72.7579122036696,Lama guanicoe,Guanaco,2015-02-25,35
Chile,-18.41366365,-70.32559563,Leucophaeus modestus,Grey Gull,2015-03-05,75
Chile,-18.40720786,-70.32833073,Anthus peruvianus,Peruvian Pipit,2015-03-05,3
Chile,-33.61252138,-69.97593759,Phegornis mitchellii,Diademed Sandpiper-Plover,2015-03-07,1
Chile,-33.43263762,-70.61772027,Myiopsitta monachus,Monk Parakeet,2015-03-08,7
Chile,-18.2054309705292,-69.2761782556772,Plegadis ridgwayi,Puna Ibis,2015-03-04,4
Chile,-18.1660505939572,-69.4350408017635,Lagidium viscacia,Southern Viscacha,2015-03-04,8
Chile,-18.1661095284617,-69.4395620003343,Vicugna vicugna,Vicugna,2015-03-04,8
Chile,-18.1627938741783,-69.4397111982107,Vicugna vicugna,Vicugna,2015-03-04,12
Chile,-18.1841091064058,-69.3839923292398,Vicugna vicugna,Vicugna,2015-03-04,4
Chile,-33.0287162575624,-71.6565385088325,Sula variegata,Peruvian Booby,2015-03-01,500
Chile,-33.0286032574349,-71.6285801678896,Cathartes aura,Turkey Vulture,2015-03-01,2
Chile,-18.53219656,-70.16696266,Rhodopis vesper,Oasis Hummingbird,2015-03-02,12
Chile,-18.53219618,-70.16696248,Eulidia yarrellii,Chilean Woodstar,2015-03-02,1
Chile,-18.2084139506382,-69.5436729490757,Phrygilus atriceps,Black-hooded Sierra Finch,2015-03-03,1
Chile,-18.19789305,-69.55604819,Metriopelia ceciliae,Bare-faced Ground Dove,2015-03-03,6
Chile,-18.19791714,-69.55609894,Phrygilus atriceps,Black-hooded Sierra Finch,2015-03-03,1
Chile,-18.1994718641708,-69.5566752925515,Nothoprocta ornata,Ornate Tinamou,2015-03-03,3
Chile,-18.17008794,-69.43142535,Lagidium viscacia,Southern Viscacha,2015-03-04,8
Chile,-18.2195854992233,-69.3127300590277,Phoenicopterus chilensis,Chilean Flamingo,2015-03-04,85
Chile,-18.2195854992233,-69.3127300590277,Phoenicoparrus jamesi,James's Flamingo,2015-03-04,4
Chile,-18.2153775421051,-69.2992294952273,Phoenicoparrus jamesi,James's Flamingo,2015-03-04,3
Chile,-18.2153775421051,-69.2992294952273,Phoenicoparrus andinus,Andean Flamingo,2015-03-04,2
Chile,-18.2153775421051,-69.2992294952273,Chroicocephalus serranus,Andean Gull,2015-03-04,11
Chile,-18.1999137,-69.27092564,Fulica gigantea,Giant Coot,2015-03-04,2
Chile,-18.2014720572799,-69.2716738209128,Cinclodes albiventris albiventris,Cream-winged Cinclodes ssp albiventris,2015-03-04,3
