country,latitude,longitude,scientific_name,vernacular_name,date,count
China,22.30057427,114.169785082,Nycticorax nycticorax,Black-crowned Night Heron,2014-11-02,1
China,22.2554,113.9028,Pycnonotus sinensis,Light-vented Bulbul,2015-03-09,3
China,22.2555,113.9069,Spilopelia chinensis,Spotted Dove,2015-03-09,5
China,22.2772,114.1618,Pterorhinus chinensis,Black-throated Laughingthrush,2015-03-09,2
China,22.2773,114.1618,Pterorhinus perspicillatus,Masked Laughingthrush,2015-03-09,4
China,22.2773,114.1618,Myophonus caeruleus,Blue Whistling Thrush,2015-03-09,1
China,22.2763,114.163,Orthotomus sutorius,Common Tailorbird,2015-03-09,1
China,22.271,114.1503,Milvus migrans,Black Kite,2015-03-09,5
China,22.2551,113.9027,Acridotheres cristatellus,Crested Myna,2015-03-09,2
China,22.2554,113.9028,Pycnonotus jocosus,Red-whiskered Bulbul,2015-03-09,10
China,22.2562,113.903,Parus minor,Japanese Tit,2015-03-09,1
China,39.8125661463,119.521379471,Chroicocephalus ridibundus,Black-headed Gull,2014-05-04,1500
China,39.8148654254,119.523696899,Dendrocopos hyperythrus,Rufous-bellied Woodpecker,2014-05-04,1
China,39.8101184421,119.52747345,Pardaliparus venustulus,Yellow-bellied Tit,2014-05-04,1
China,39.8391226644,119.514856339,Motacilla alba ocularis,White Wagtail ssp ocularis,2014-05-04,5
China,39.9587014156,119.778785706,Charadrius mongolus,Lesser Sand Plover,2014-05-06,1
China,40.5751004416,119.114663644,Ibidorhyncha struthersii,Ibisbill,2014-05-07,4
China,39.8410997792,119.519233704,Calidris ruficollis,Red-necked Stint,2014-05-07,40
China,39.8410997792,119.519233704,Larus crassirostris,Black-tailed Gull,2014-05-07,25
China,39.8396499006,119.520950317,Ichthyaetus relictus,Relict Gull,2014-05-07,1
China,39.1443069611,118.830356598,Charadrius mongolus,Lesser Sand Plover,2014-05-11,1
China,39.1443069611,118.830356598,Tringa stagnatilis,Marsh Sandpiper,2014-05-11,1
China,39.1443069611,118.830356598,Larvivora sibilans,Rufous-tailed Robin,2014-05-11,1
China,39.1397802787,118.825206757,Xenus cinereus,Terek Sandpiper,2014-05-12,2
China,39.1397802787,118.825206757,Calidris tenuirostris,Great Knot,2014-05-12,20
China,39.1397802787,118.825206757,Sternula albifrons sinensis,Little Tern ssp sinensis,2014-05-12,50
China,39.1397802787,118.825206757,Pericrocotus divaricatus,Ashy Minivet,2014-05-12,1
China,39.1397802787,118.825206757,Remiz consobrinus,Chinese Penduline Tit,2014-05-12,20
China,39.1365847983,118.83310318,Ficedula zanthopygia,Yellow-rumped Flycatcher,2014-05-12,2
China,39.1365847983,118.83310318,Motacilla alba leucopsis,White Wagtail ssp leucopsis,2014-05-12,2
China,39.1365847983,118.83310318,Emberiza tristrami,Tristram's Bunting,2014-05-12,5
China,39.1408121217,118.829112053,Passer montanus,Eurasian Tree Sparrow,2014-05-12,50
China,39.1335556153,118.827910423,Circus spilonotus,Eastern Marsh Harrier,2014-05-12,1
China,39.1277964794,118.822202682,Bubulcus coromandus,Eastern Cattle Egret,2014-05-12,10
China,39.1303598523,118.825807571,Accipiter gularis,Japanese Sparrowhawk,2014-05-12,1
China,39.1277964794,118.822202682,Ardeola bacchus,Chinese Pond Heron,2014-05-12,15
China,39.1395472799,118.83808136,Calidris tenuirostris,Great Knot,2014-05-12,8
China,39.1459711094,118.831214905,Egretta eulophotes,Chinese Egret,2014-05-13,1
China,39.14310875,118.831644058,Ardeola bacchus,Chinese Pond Heron,2014-05-13,5
China,39.1442403943,118.827266693,Calidris tenuirostris,Great Knot,2014-05-13,4
China,39.1442403943,118.827266693,Chroicocephalus saundersi,Saunders's Gull,2014-05-13,10
China,39.141644242,118.834562302,Phylloscopus proregulus,Pallas's Leaf Warbler,2014-05-13,10
China,39.141644242,118.834562302,Phylloscopus coronatus,Eastern Crowned Warbler,2014-05-13,2
China,39.141644242,118.834562302,Muscicapa griseisticta,Grey-streaked Flycatcher,2014-05-13,5
China,39.141644242,118.834562302,Muscicapa dauurica,Asian Brown Flycatcher,2014-05-13,30
China,39.1481011617,118.83430481,Emberiza pallasi,Pallas's Reed Bunting,2014-05-13,1
China,39.1472358357,118.837566376,Ficedula elisae,Green-backed Flycatcher,2014-05-13,1
China,39.1377831205,118.832416534,Horornis diphone,Japanese Bush Warbler,2014-05-14,1
China,39.135919055,118.831558228,Mareca falcata,Falcated Duck,2014-05-14,1
China,39.135919055,118.831558228,Rallus indicus,Brown-cheeked Rail,2014-05-14,1
China,39.1353198806,118.820829391,Charadrius mongolus,Lesser Sand Plover,2014-05-14,30
China,39.1353198806,118.820829391,Numenius madagascariensis,Far Eastern Curlew,2014-05-14,15
China,39.1404459856,118.827266693,Gelochelidon nilotica,Gull-billed Tern,2014-05-14,2
China,39.1355861809,118.819971085,Chroicocephalus saundersi,Saunders's Gull,2014-05-14,5
