country,latitude,longitude,scientific_name,vernacular_name,date,count
Colombia,4.63032249858,-75.471495688,Euphonia cyanocephala,Golden-rumped Euphonia,2014-12-19,1
Colombia,4.63040804914,-75.4727831483,Falco sparverius,American Kestrel,2014-12-19,1
Colombia,4.63356940232,-75.4663431644,Cyanocorax yncas,Inca Jay,2014-12-19,1
Colombia,4.6247474,-75.45325641,Coeligena torquata,Collared Inca,2014-12-19,1
Colombia,4.62470611,-75.45324654,Heliangelus exortis,Tourmaline Sunangel,2014-12-19,1
Colombia,4.632620215415955,-75.45985758304596,Coeligena torquata,Collared Inca,2014-12-19,1
Colombia,4.643413424491882,-75.48073589801788,Coeligena torquata,Collared Inca,2014-12-19,1
Colombia,4.643515348434448,-75.48117578029633,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,2014-12-19,1
Colombia,4.643381237983704,-75.48104703426361,Cyanocorax yncas,Inca Jay,2014-12-19,1
Colombia,4.64344721,-75.48105607,Heliangelus exortis,Tourmaline Sunangel,2014-12-19,1
Colombia,4.64316402,-75.48149869,Euphonia cyanocephala,Golden-rumped Euphonia,2014-12-19,1
Colombia,4.643032550811768,-75.48069298267365,Falco sparverius,American Kestrel,2014-12-19,2
Colombia,3.55785541702062,-76.5731920860708,Colibri delphinae,Brown Violetear,2015-02-27,1
Colombia,3.5579005535692,-76.5732113644481,Melanerpes formicivorus,Acorn Woodpecker,2015-02-28,3
Colombia,3.5579005535692,-76.5732113644481,Tangara vitriolina,Scrub Tanager,2015-02-28,3
Colombia,3.5579005535692,-76.5732113644481,Tangara arthus,Golden Tanager,2015-02-28,2
Colombia,3.55757713783532,-76.5735882986337,Thraupis palmarum,Palm Tanager,2015-02-27,2
Colombia,3.5576344281435,-76.573636746034,Thraupis episcopus,Blue-grey Tanager,2015-02-27,2
Colombia,3.55790654662997,-76.5736720338464,Tangara vitriolina,Scrub Tanager,2015-02-27,1
Colombia,3.55784200597554,-76.5733057446778,Amazilia tzacatl,Rufous-tailed Hummingbird,2015-02-27,1
Colombia,3.55790432542562,-76.5733702853322,Chlorophanes spiza,Green Honeycreeper,2015-02-27,1
Colombia,3.55763120111078,-76.5737082436681,Tangara arthus,Golden Tanager,2015-02-27,2
Colombia,3.55759863741696,-76.5736967604607,Tangara gyrola,Bay-headed Tanager,2015-02-27,2
Colombia,3.55735484976321,-76.5735957585275,Tiaris olivaceus,Yellow-faced Grassquit,2015-02-27,1
Colombia,3.5578461969271298,-76.5731536131352,Melanerpes formicivorus,Acorn Woodpecker,2015-02-27,1
Colombia,4.63143465502,-75.5789557099,Vanellus chilensis,Southern Lapwing,2014-12-18,1
Colombia,4.63143465502,-75.5789557099,Milvago chimachima,Yellow-headed Caracara,2014-12-18,1
Colombia,4.63143465502,-75.5789557099,Bubulcus ibis,Western Cattle Egret,2014-12-18,1
Colombia,3.5578157287091,-76.573229553178,Amazilia franciae,Andean Emerald,2015-02-13,1
Colombia,3.55798244476318,-76.573113463819,Colibri delphinae,Brown Violetear,2015-02-13,1
Colombia,3.55786706786603,-76.5732030663639,Amazilia tzacatl,Rufous-tailed Hummingbird,2015-02-13,2
Colombia,3.55792528018355,-76.5731225162745,Tangara arthus,Golden Tanager,2015-02-13,2
Colombia,3.55785558465868,-76.573263918981,Melanerpes formicivorus,Acorn Woodpecker,2015-02-13,3
Colombia,3.55807443615049,-76.5731247793883,Tangara vitriolina,Scrub Tanager,2015-02-13,2
Colombia,3.55779892299324,-76.5733132045716,Amazilia tzacatl,Rufous-tailed Hummingbird,2015-02-10,2
Colombia,3.55780064128339,-76.5732707921416,Tachyphonus rufus,White-lined Tanager,2015-02-10,2
Colombia,3.55779875535518,-76.5732636675239,Tangara arthus,Golden Tanager,2015-02-10,2
Colombia,3.55781765654683,-76.573200467974,Thraupis episcopus,Blue-grey Tanager,2015-02-10,3
Colombia,3.55779636651278,-76.5732272062451,Tangara vitriolina,Scrub Tanager,2015-02-10,1
Colombia,3.55785939842463,-76.5731495060027,Tangara gyrola,Bay-headed Tanager,2015-02-10,1
Colombia,3.55789011809975,-76.5731616597623,Todirostrum cinereum,Common Tody-Flycatcher,2015-02-10,2
Colombia,3.55785361491144,-76.5732104424387,Melanerpes formicivorus,Acorn Woodpecker,2015-02-11,1
Colombia,3.55790491215885,-76.5732637513429,Amazilia tzacatl,Rufous-tailed Hummingbird,2015-02-11,2
Colombia,3.55786845088005,-76.5732980333269,Tangara vitriolina,Scrub Tanager,2015-02-11,2
Colombia,3.55785105843097,-76.5732258651406,Colibri delphinae,Brown Violetear,2015-02-11,1
Colombia,11.4285424522,-73.0865478516,Erythrodiplax umbrata,Band-winged Dragonlet,2014-11-01,1
Colombia,3.55788647197187,-76.5732044074684,Amazilia tzacatl,Rufous-tailed Hummingbird,2015-02-06,2
Colombia,3.55790826492012,-76.5732246078551,Tangara gyrola,Bay-headed Tanager,2015-02-06,1
Colombia,3.55787079781294,-76.5732184052467,Tachyphonus rufus,White-lined Tanager,2015-02-06,2
Colombia,3.55790428351611,-76.5731987077743,Sicalis flaveola,Saffron Finch,2015-02-06,2
Colombia,3.55792632792145,-76.5731562115252,Thraupis episcopus,Blue-grey Tanager,2015-02-06,3
Colombia,3.55794694740325,-76.5731883980334,Tangara vitriolina,Scrub Tanager,2015-02-06,2
Colombia,3.55794983915985,-76.5731810219586,Thraupis episcopus,Blue-grey Tanager,2015-02-04,2
Colombia,3.55792901013046,-76.5732132084668,Tangara vitriolina,Scrub Tanager,2015-02-04,2
Colombia,3.55785893741995,-76.5732000488788,Tangara arthus,Golden Tanager,2015-02-04,2
Colombia,3.55794514529407,-76.5732082631439,Amazilia tzacatl,Rufous-tailed Hummingbird,2015-02-04,2
Colombia,3.55776996351778,-76.5732209198177,Tachyphonus rufus,White-lined Tanager,2015-02-05,2
Colombia,3.55780089274049,-76.5731381066144,Tangara vitriolina,Scrub Tanager,2015-02-05,3
Colombia,3.55778085999191,-76.5731428004801,Tangara gyrola,Bay-headed Tanager,2015-02-05,2
Colombia,3.55772964656353,-76.5731613244861,Thraupis palmarum,Palm Tanager,2015-02-05,2
Colombia,3.55768249835819,-76.573192588985,Thraupis episcopus,Blue-grey Tanager,2015-02-05,4
Colombia,3.55937382790472,-76.5705807879567,Amazilia tzacatl,Rufous-tailed Hummingbird,2015-02-05,2
