country,latitude,longitude,scientific_name,vernacular_name,date,count
Costa Rica,10.4280505728,-84.0189152956,Rhynchonycteris naso,Proboscis Bat,2015-02-27,9
Costa Rica,9.40264032967,-83.6678909138,Aramides cajaneus,Grey-necked Wood Rail,2015-03-07,2
Costa Rica,10.4353119864,-84.7029872239,Sciurus variegatoides,Variegated Squirrel,2015-03-01,2
Costa Rica,10.4353119864,-84.7029872239,Campylopterus hemileucurus,Violet Sabrewing,2015-03-01,4
Costa Rica,9.80842759073,-84.6113866009,Battus polydamas,Polydamas Swallowtail,2015-03-04,2
Costa Rica,9.55115382322,-83.8061641529,Columbina talpacoti,Ruddy Ground Dove,2015-03-09,3
Costa Rica,9.55159818761,-83.8074516132,Lampornis cinereicauda,Grey-tailed Mountaingem,2015-03-09,5
Costa Rica,9.55159818761,-83.8074516132,Eupherusa eximia,Stripe-tailed Hummingbird,2015-03-09,3
Costa Rica,9.55159818761,-83.8074516132,Colibri cyanotus,Lesser Violetear,2015-03-09,4
Costa Rica,9.55159818761,-83.8074516132,Streptoprocne rutila,Chestnut-collared Swift,2015-03-09,4
Costa Rica,9.54583198563,-83.8116680458,Empidonax atriceps,Black-capped Flycatcher,2015-03-09,1
Costa Rica,9.54583198563,-83.8116680458,Contopus lugubris,Dark Pewee,2015-03-09,1
Costa Rica,9.54583198563,-83.8116680458,Serpophaga cinerea,Torrent Tyrannulet,2015-03-09,3
Costa Rica,9.54583198563,-83.8116680458,Cinclus mexicanus,American Dipper,2015-03-09,2
Costa Rica,9.55211661199,-83.8070653751,Henicorhina leucophrys,Grey-breasted Wood Wren,2015-03-09,2
Costa Rica,9.58372850883,-83.7979906239,Myioborus torquatus,Collared Whitestart,2015-03-09,3
Costa Rica,9.58372850883,-83.7979906239,Pselliophorus tibialis,Yellow-thighed Finch,2015-03-09,6
Costa Rica,9.58372850883,-83.7979906239,Pezopetes capitalis,Large-footed Finch,2015-03-09,2
Costa Rica,9.5497466655,-83.8078271225,Chlorophonia callophrys,Golden-browed Chlorophonia,2015-03-09,1
Costa Rica,9.55262445552,-83.8076769188,Odontophorus guttatus,Spotted Wood Quail,2015-03-09,4
Costa Rica,9.5510163644,-83.8070511259,Turdus nigrescens,Sooty Thrush,2015-03-09,7
Costa Rica,9.39097332364,-83.7231427431,Antirrhea philoctetes,Northern Antirrhea,2015-03-07,3
Costa Rica,9.39097332364,-83.7231427431,Adelpha cytherea,Smooth-banded Sister,2015-03-07,1
Costa Rica,9.39097332364,-83.7231427431,Anartia fatima,Banded Peacock,2015-03-07,17
Costa Rica,9.39097332364,-83.7231427431,Tangara gyrola,Bay-headed Tanager,2015-03-07,2
Costa Rica,9.39097332364,-83.7231427431,Tangara larvata,Golden-hooded Tanager,2015-03-07,12
Costa Rica,9.39097332364,-83.7231427431,Eucometis penicillata,Grey-headed Tanager,2015-03-07,7
Costa Rica,9.39097332364,-83.7231427431,Manacus aurantiacus,Orange-collared Manakin,2015-03-07,2
Costa Rica,9.39097332364,-83.7231427431,Lepidothrix coronata,Blue-crowned Manakin,2015-03-07,3
Costa Rica,9.40584747594,-83.6665605381,Melanerpes chrysauchen,Golden-naped Woodpecker,2015-03-07,1
Costa Rica,9.41074810735,-83.6702941731,Vanellus chilensis,Southern Lapwing,2015-03-07,2
Costa Rica,9.40316939839,-83.671009317,Tyrannus savana,Fork-tailed Flycatcher,2015-03-07,2
Costa Rica,9.40295770484,-83.6682841927,Catharus aurantiirostris,Orange-billed Nightingale-Thrush,2015-03-07,2
