country,latitude,longitude,scientific_name,vernacular_name,date,count
Croatia,45.5921790122,18.7365536392,Cygnus olor,Mute Swan,2015-03-10,2
Croatia,45.6062168567,18.7936092541,Zamenis longissimus,Aesculapian Snake,2015-03-10,1
Croatia,45.6062168567,18.7936092541,Natrix tessellata,Dice Snake,2015-03-10,4
Croatia,45.6,18.75,Natrix natrix,European Grass Snake,2015-03-10,2
Croatia,45.6076711925,18.7954348326,Haliaeetus albicilla,White-tailed Eagle,2015-03-02,1
Croatia,45.6107934131,18.7942332029,Ardea alba,Great Egret,2015-03-02,4
Croatia,45.6107934131,18.7942332029,Anser anser,Greylag Goose,2015-03-02,6
Croatia,45.5848506279,18.7948045135,Phalacrocorax carbo,Great Cormorant,2015-03-02,3
Croatia,45.5851509711,18.7890538573,Anser anser,Greylag Goose,2015-03-02,13
Croatia,45.5727154193,18.7865647674,Ardea alba,Great Egret,2015-03-02,7
Croatia,45.5631019809,18.7821297348,Phalacrocorax carbo,Great Cormorant,2015-03-02,45
Croatia,45.5643033399,18.7584981322,Cygnus olor,Mute Swan,2015-03-02,1
Croatia,45.6147559813,18.8055628538,Ciconia nigra,Black Stork,2015-03-01,1
Croatia,45.6959878172,18.7921437621,Cygnus olor,Mute Swan,2015-03-01,30
Croatia,45.6687040209,18.8141164184,Cygnus olor,Mute Swan,2015-03-01,2
Croatia,45.6107047587,18.7947897613,Anser anser,Greylag Goose,2015-03-01,1
Croatia,45.6209408368,18.8047890365,Haliaeetus albicilla,White-tailed Eagle,2015-03-01,1
Croatia,45.6072522876,18.7929873168,Haliaeetus albicilla,White-tailed Eagle,2015-03-01,1
Croatia,45.5608785304,18.6758713424,Falco peregrinus,Peregrine Falcon,2015-02-23,1
Croatia,45.6084531712,18.7944893539,Cygnus olor,Mute Swan,2015-02-23,2
Croatia,45.6107647998,18.7943606079,Cygnus olor,Mute Swan,2015-02-23,2
Croatia,45.6109744741,18.7942895293,Ardea alba,Great Egret,2015-02-15,1
Croatia,45.6109744741,18.7942895293,Cygnus olor,Mute Swan,2015-02-15,2
Croatia,45.6109744741,18.7942895293,Anser anser,Greylag Goose,2015-02-15,153
Croatia,45.616257819,18.8057908416,Cygnus olor,Mute Swan,2015-02-15,2
Croatia,45.616257819,18.8057908416,Ardea alba,Great Egret,2015-02-15,7
Croatia,45.6390665481,18.819180429,Cygnus olor,Mute Swan,2015-02-15,2
Croatia,45.643687186,18.8193520904,Anser anser,Greylag Goose,2015-02-15,29
Croatia,45.6623458848,18.8138589263,Cygnus olor,Mute Swan,2015-02-15,2
Croatia,45.6616860369,18.8154897094,Anser anser,Greylag Goose,2015-02-15,30
Croatia,45.561058657,18.6756858221,Falco peregrinus,Peregrine Falcon,2015-02-11,1
Croatia,45.6099242186,18.794875592,Ardea alba,Great Egret,2015-02-10,1
Croatia,45.6108248408,18.7940172851,Anser anser,Greylag Goose,2015-02-10,36
Croatia,45.6086032799,18.7947039306,Cygnus olor,Mute Swan,2015-02-10,2
Croatia,45.5611140563,18.6757712062,Falco peregrinus,Peregrine Falcon,2015-02-08,1
Croatia,45.3538535832,18.7240943304,Galerida cristata,Crested Lark,2015-02-09,2
Croatia,45.5609387816,18.6757712062,Falco peregrinus,Peregrine Falcon,2015-02-10,1
Croatia,44.3610620393,15.1541126333,Motacilla flava,Western Yellow Wagtail,2014-09-18,1
Croatia,44.3610620393,15.1541126333,Fulica atra,Eurasian Coot,2014-09-18,1
Croatia,44.3610620393,15.1541126333,Ardea cinerea,Grey Heron,2014-09-18,1
Croatia,44.3610620393,15.1541126333,Corvus cornix,Hooded Crow,2014-09-18,1
Croatia,44.3610620393,15.1541126333,Alcedo atthis,Common Kingfisher,2014-09-18,1
Croatia,45.6835168756,18.8136014342,Cygnus olor,Mute Swan,2015-02-06,6
Croatia,45.6621659271,18.8138589263,Phalacrocorax carbo,Great Cormorant,2015-02-06,2
Croatia,45.6668446407,18.8196954131,Cygnus olor,Mute Swan,2015-02-06,2
Croatia,45.6692438293,18.8083657622,Anser albifrons,Greater White-fronted Goose,2015-02-06,5
Croatia,45.6692438293,18.8083657622,Anser anser,Greylag Goose,2015-02-06,36
Croatia,45.6262832673,18.8128571212,Cygnus olor,Mute Swan,2015-02-06,2
Croatia,45.6275437665,18.8115267456,Ardea alba,Great Egret,2015-02-06,4
Croatia,45.6168886539,18.8057760894,Ardea alba,Great Egret,2015-02-06,1
Croatia,45.6099842605,18.8017849624,Haliaeetus albicilla,White-tailed Eagle,2015-02-06,2
Croatia,45.6114552678,18.7955193222,Mergellus albellus,Smew,2015-02-06,3
Croatia,45.6114552678,18.7955193222,Cygnus olor,Mute Swan,2015-02-06,2
Croatia,45.6086333015,18.794746846,Cygnus olor,Mute Swan,2015-02-06,2
Croatia,45.5609689068,18.6757995933,Falco peregrinus,Peregrine Falcon,2015-02-07,1
