country,latitude,longitude,scientific_name,vernacular_name,date,count
Cuba,22.3261745455,-81.1832919717,Setophaga caerulescens,Black-throated Blue Warbler,2015-03-05,1
Cuba,22.3261745455,-81.1832919717,Mellisuga helenae,Bee Hummingbird,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Turdus plumbeus,Red-legged Thrush,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Setophaga caerulescens,Black-throated Blue Warbler,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Vireo gundlachii,Cuban Vireo,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Coccyzus merlini,Great Lizard Cuckoo,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Seiurus aurocapilla,Ovenbird,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Limnothlypis swainsonii,Swainson's Warbler,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Helmitheros vermivorum,Worm-eating Warbler,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Mniotilta varia,Black-and-white Warbler,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Geotrygon caniceps,Grey-fronted Quail-Dove,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Colaptes fernandinae,Fernandina's Flicker,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Icterus melanopsis,Cuban Oriole,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Todus multicolor,Cuban Tody,2015-03-05,1
Cuba,22.2896523407,-81.1409854889,Priotelus temnurus,Cuban Trogon,2015-03-05,1
Cuba,22.2918760065,-81.1373806,Melanerpes superciliaris,West Indian Woodpecker,2015-03-05,1
Cuba,22.2918760065,-81.1373806,Glaucidium siju,Cuban Pygmy Owl,2015-03-05,1
Cuba,22.2387564689,-81.1523795128,Xiphidiopicus percussus,Cuban Green Woodpecker,2015-03-04,1
Cuba,22.2387564689,-81.1523795128,Starnoenas cyanocephala,Blue-headed Quail-Dove,2015-03-04,2
Cuba,22.2387564689,-81.1523795128,Contopus caribaeus,Cuban Pewee,2015-03-04,1
Cuba,22.2387564689,-81.1523795128,Seiurus aurocapilla,Ovenbird,2015-03-04,1
Cuba,22.2387564689,-81.1523795128,Priotelus temnurus,Cuban Trogon,2015-03-04,1
Cuba,22.2872102384,-81.1989748478,Setophaga ruticilla,American Redstart,2015-03-03,1
Cuba,22.2872102384,-81.1989748478,Parkesia noveboracensis,Northern Waterthrush,2015-03-03,1
Cuba,22.2872102384,-81.1989748478,Priotelus temnurus,Cuban Trogon,2015-03-03,1
Cuba,22.2872102384,-81.1989748478,Todus multicolor,Cuban Tody,2015-03-03,1
Cuba,22.2893346713,-81.2085342407,Vireo gundlachii,Cuban Vireo,2015-03-03,1
Cuba,22.2893346713,-81.2085342407,Zenaida aurita,Zenaida Dove,2015-03-03,1
Cuba,22.2838944702,-81.2104225159,Dumetella carolinensis,Grey Catbird,2015-03-03,1
Cuba,22.280697757,-81.2113451958,Setophaga tigrina,Cape May Warbler,2015-03-03,1
Cuba,22.280697757,-81.2113451958,Corvus nasicus,Cuban Crow,2015-03-03,1
Cuba,22.2833583805,-81.2119889259,Chlorostilbon ricordii,Cuban Emerald,2015-03-03,1
Cuba,22.2833583805,-81.2119889259,Amazona leucocephala,Cuban Amazon,2015-03-03,1
Cuba,22.2833583805,-81.2119889259,Buteogallus gundlachii,Cuban Black Hawk,2015-03-03,1
Cuba,23.1351508253,-82.3512840271,Setophaga palmarum,Palm Warbler,2015-03-01,1
Cuba,23.1351508253,-82.3512840271,Ptiloxena atroviolacea,Cuban Blackbird,2015-03-01,1
Cuba,23.1351508253,-82.3512840271,Progne cryptoleuca,Cuban Martin,2015-03-01,1
Cuba,21.9210619585,-80.0049588205,Priotelus temnurus,Cuban Trogon,2015-02-07,1
Cuba,22.1580851083,-81.2669540418,Egretta rufescens,Reddish Egret,2015-02-05,1
Cuba,22.15850769,-81.26556728,Tringa melanoleuca,Greater Yellowlegs,2015-02-05,2
Cuba,22.536439033,-78.3782527037,Falco sparverius,American Kestrel,2015-02-10,1
Cuba,22.536439033,-78.3782527037,Actitis macularius,Spotted Sandpiper,2015-02-10,1
Cuba,22.536439033,-78.3782527037,Mareca americana,American Wigeon,2015-02-10,1
Cuba,22.5384605641,-78.3818575926,Todus multicolor,Cuban Tody,2015-02-10,1
Cuba,22.5384605641,-78.3818575926,Setophaga palmarum,Palm Warbler,2015-02-10,1
Cuba,22.5384605641,-78.3818575926,Spindalis zena,Western Spindalis,2015-02-10,1
Cuba,22.5384605641,-78.3818575926,Zenaida aurita,Zenaida Dove,2015-02-10,1
Cuba,22.5377867237,-78.3751198836,Teretistris fornsi,Oriente Warbler,2015-02-10,1
Cuba,22.5363310151,-78.3780454192,Actitis macularius,Spotted Sandpiper,2015-02-09,6
Cuba,22.5380156277,-78.3750413451,Spindalis zena,Western Spindalis,2015-02-09,1
Cuba,21.7570066274,-79.9835011549,Ardea alba,Great Egret,2015-02-09,1
Cuba,21.7570066274,-79.9835011549,Butorides virescens,Green Heron,2015-02-09,1
Cuba,21.7570066274,-79.9835011549,Ardea herodias,Great Blue Heron,2015-02-09,1
Cuba,21.7590792408,-79.9837157317,Egretta thula,Snowy Egret,2015-02-09,1
Cuba,21.7590792408,-79.9837157317,Megaceryle alcyon,Belted Kingfisher,2015-02-09,3
