country,latitude,longitude,scientific_name,vernacular_name,date,count
Curaçao,12.1344276745,-68.9849710534,Patagioenas corensis,Bare-eyed Pigeon,2015-02-23,2
Curaçao,12.1473919149,-68.9985752176,Sicalis flaveola,Saffron Finch,2015-02-19,1
Curaçao,12.1528459373,-68.9903783868,Actitis macularius,Spotted Sandpiper,2015-02-19,1
Curaçao,12.1513775577,-68.9918804239,Ardea herodias,Great Blue Heron,2015-02-19,1
Curaçao,12.1514100627,-68.9933968149,Pandion haliaetus,Western Osprey,2015-02-19,1
Curaçao,12.1501094912,-68.9934397303,Caracara cheriway,Northern Crested Caracara,2015-02-19,1
Curaçao,12.350070694,-69.103989657,Caracara cheriway,Northern Crested Caracara,2015-02-17,2
Curaçao,12.3502174218,-69.1062963568,Zonotrichia capensis,Rufous-collared Sparrow,2015-02-17,1
Curaçao,12.3502174218,-69.1062963568,Setophaga aestiva,American Yellow Warbler,2015-02-17,1
Curaçao,12.1482645629,-68.9655017888,Tiaris bicolor,Black-faced Grassquit,2015-02-17,1
Curaçao,12.1482645629,-68.9655017888,Columbina passerina,Common Ground Dove,2015-02-17,1
Curaçao,12.2115241331,-69.0574264561,Phoenicopterus ruber,American Flamingo,2015-02-16,20
Curaçao,12.1480967456,-68.9655876195,Leptotila verreauxi,White-tipped Dove,2015-02-17,1
Curaçao,12.1479289282,-68.9657592808,Coereba flaveola,Bananaquit,2015-02-17,5
Curaçao,12.1479289282,-68.9657592808,Icterus nigrogularis curasoensis,Yellow Oriole ssp curasoensis,2015-02-16,1
Curaçao,12.1479289282,-68.9657592808,Icterus nigrogularis curasoensis,Yellow Oriole ssp curasoensis,2015-02-13,1
Curaçao,12.1410483256,-68.9984178545,Mimus gilvus,Tropical Mockingbird,2015-02-16,1
Curaçao,12.2100840444,-69.056911472,Actitis macularius,Spotted Sandpiper,2006-08-13,1
Curaçao,12.1551981242,-68.9645576486,Leptotila verreauxi,White-tipped Dove,2006-08-12,1
Curaçao,12.1432999251,-68.9677762987,Himantopus mexicanus,Black-necked Stilt,2006-08-12,2
Curaçao,12.1432999251,-68.9677762987,Butorides virescens,Green Heron,2006-08-12,2
Curaçao,12.1432999251,-68.9677762987,Bubulcus ibis,Western Cattle Egret,2006-08-12,20
Curaçao,12.1432999251,-68.9677762987,Podilymbus podiceps,Pied-billed Grebe,2006-08-12,1
Curaçao,12.1432999251,-68.9677762987,Tachybaptus dominicus,Least Grebe,2006-08-12,20
Curaçao,12.1557547028,-68.989262581,Sterna hirundo,Common Tern,2006-08-11,1
Curaçao,12.15,-69,Charadrius vociferus,Killdeer,2006-08-11,20
Curaçao,12.1567825525,-68.9874386789,Gallinula galeata,Common Gallinule,2006-08-11,1
Curaçao,12.1542331984,-68.9899206164,Pelecanus occidentalis,Brown Pelican,2006-08-11,1
Curaçao,12.1542331984,-68.9899206164,Phoenicopterus ruber,American Flamingo,2006-08-11,80
Curaçao,12.1542331984,-68.9899206164,Egretta thula,Snowy Egret,2006-08-11,1
Curaçao,12.1542331984,-68.9899206164,Fregata magnificens,Magnificent Frigatebird,2006-08-11,4
Curaçao,12.1477415339,-68.999884129,Fregata magnificens,Magnificent Frigatebird,2006-08-10,10
Curaçao,12.1490211398,-68.995764256,Egretta caerulea,Little Blue Heron,2006-08-10,1
Curaçao,12.1490211398,-68.995764256,Phoenicopterus ruber,American Flamingo,2006-08-10,20
Curaçao,12.1433394328,-68.9678907395,Icterus nigrogularis,Yellow Oriole,2006-08-10,1
Curaçao,12.1433394328,-68.9678907395,Calidris melanotos,Pectoral Sandpiper,2006-08-10,1
Curaçao,12.1433394328,-68.9678907395,Himantopus mexicanus,Black-necked Stilt,2006-08-10,30
Curaçao,12.1433394328,-68.9678907395,Fulica caribaea,Caribbean coot,2006-08-10,15
Curaçao,12.1433394328,-68.9678907395,Gallinula galeata,Common Gallinule,2006-08-10,15
Curaçao,12.1433394328,-68.9678907395,Falco sparverius,American Kestrel,2006-08-10,1
Curaçao,12.1433394328,-68.9678907395,Anas bahamensis,White-cheeked Pintail,2006-08-10,30
Curaçao,12.1433394328,-68.9678907395,Bubulcus ibis,Western Cattle Egret,2006-08-10,25
Curaçao,12.1433394328,-68.9678907395,Egretta thula,Snowy Egret,2006-08-10,5
Curaçao,12.1433394328,-68.9678907395,Podilymbus podiceps,Pied-billed Grebe,2006-08-10,1
Curaçao,12.1433394328,-68.9678907395,Tachybaptus dominicus,Least Grebe,2006-08-10,15
