country,latitude,longitude,scientific_name,vernacular_name,date,count
Czech Republic,49.7136292668,18.0152984778,Fabriciana adippe,High Brown Fritillary,2015-02-25,1
Czech Republic,50.0758622323831,14.4200032421095,Columba livia domestica,Feral Pigeon,2015-02-12,40
Czech Republic,50.0757754397988,14.4202091665243,Parus major,Great Tit,2015-02-12,2
Czech Republic,50.0757057571724,14.4134956625951,Anas platyrhynchos,Mallard,2015-02-12,2
Czech Republic,50.0754545784721,14.4136158645798,Cygnus olor,Mute Swan,2015-02-12,7
Czech Republic,50.0757548329793,14.4130907885763,Chroicocephalus ridibundus,Black-headed Gull,2015-02-12,3
Czech Republic,50.0757946231643,14.4122726185655,Phalacrocorax carbo,Great Cormorant,2015-02-12,8
Czech Republic,50.0755808034841,14.4095834980025,Gallinula chloropus,Common Moorhen,2015-02-12,2
Czech Republic,50.0755808034841,14.4095834980025,Chroicocephalus ridibundus,Black-headed Gull,2015-02-12,20
Czech Republic,50.0755808034841,14.4095834980025,Anas platyrhynchos,Mallard,2015-02-12,15
Czech Republic,50.0785755284548,14.4079685859664,Picus viridis,European Green Woodpecker,2015-02-12,1
Czech Republic,50.0787883292125,14.4083889397872,Coloeus monedula,Western Jackdaw,2015-02-12,2
Czech Republic,50.0793759172021,14.4087141811863,Cyanistes caeruleus,Eurasian Blue Tit,2015-02-12,1
Czech Republic,50.0811856321424,14.4040789322097,Sitta europaea,Eurasian Nuthatch,2015-02-12,1
Czech Republic,50.0813144399551,14.4041085767759,Garrulus glandarius,Eurasian Jay,2015-02-12,1
Czech Republic,50.0814118674746,14.4040916394016,Turdus merula,Common Blackbird,2015-02-12,2
Czech Republic,50.0815008376448,14.4040793792684,Pica pica,Eurasian Magpie,2015-02-12,1
Czech Republic,50.0831967050449,14.4025748283038,Dendrocopos major,Great Spotted Woodpecker,2015-02-12,1
Czech Republic,50.0831967050449,14.4025748283038,Turdus merula,Common Blackbird,2015-02-12,1
Czech Republic,50.0831104426795,14.4025171816407,Cyanistes caeruleus,Eurasian Blue Tit,2015-02-12,3
Czech Republic,50.0831104426795,14.4025171816407,Parus major,Great Tit,2015-02-12,3
Czech Republic,50.0831104426795,14.4025171816407,Sitta europaea,Eurasian Nuthatch,2015-02-12,1
Czech Republic,50.0830973928575,14.402370819199,Pica pica,Eurasian Magpie,2015-02-12,2
Czech Republic,50.0827807735211,14.4014486270275,Erithacus rubecula,European Robin,2015-02-12,1
Czech Republic,50.0824853682708,14.3994554705158,Aegithalos caudatus,Long-tailed Tit,2015-02-12,2
Czech Republic,50.0822413642331,14.3992136176843,Sciurus vulgaris,Eurasian Red Squirrel,2015-02-12,1
Czech Republic,50.0819697109579,14.3986557249268,Pica pica,Eurasian Magpie,2015-02-12,1
Czech Republic,50.0819756820559,14.3986505795655,Parus major,Great Tit,2015-02-12,6
Czech Republic,50.0822605626321,14.3988971824464,Cyanistes caeruleus,Eurasian Blue Tit,2015-02-12,3
Czech Republic,50.0822869539416,14.3988619524957,Picus viridis,European Green Woodpecker,2015-02-12,1
Czech Republic,50.0846369682976,14.3979269532145,Chloris chloris,European Greenfinch,2015-02-12,1
Czech Republic,50.0844159961807,14.398071489032,Fringilla coelebs,Common Chaffinch,2015-02-12,2
Czech Republic,50.0843675990142,14.3967779614311,Sciurus vulgaris,Eurasian Red Squirrel,2015-02-12,1
Czech Republic,50.0840682060267,14.3960317139159,Dendrocopos major,Great Spotted Woodpecker,2015-02-12,3
Czech Republic,50.0840682060267,14.3960317139159,Garrulus glandarius,Eurasian Jay,2015-02-12,2
Czech Republic,50.0841791383026,14.3933385882335,Sciurus vulgaris,Eurasian Red Squirrel,2015-02-12,2
Czech Republic,50.0847789847159,14.3930186767751,Aegithalos caudatus,Long-tailed Tit,2015-02-12,8
Czech Republic,50.0848719083628,14.392978945769,Sitta europaea,Eurasian Nuthatch,2015-02-12,2
Czech Republic,50.0910609069515,14.3977630076726,Sciurus vulgaris,Eurasian Red Squirrel,2015-02-12,1
Czech Republic,50.0898285403208,14.4116619890873,Chroicocephalus ridibundus,Black-headed Gull,2015-02-12,1
Czech Republic,50.0896644643929,14.4118912229451,Chroicocephalus ridibundus,Black-headed Gull,2015-02-12,70
