country,latitude,longitude,scientific_name,vernacular_name,date,count
Denmark,55.73377351,8.22266947478,Hydraecia micacea,Rosy Rustic,2009-08-21,1
Denmark,55.73377351,8.22266947478,Cleorodes lichenaria,Brussels Lace,2009-08-17,1
Denmark,55.73377351,8.22266947478,Clostera pigra,Small Chocolate-tip,2009-08-16,1
Denmark,55.4467249676,11.5464414284,Eupithecia succenturiata,Bordered Pug,2009-08-14,1
Denmark,55.4467249676,11.5464414284,Triodia sylvina,Orange Swift,2009-08-13,1
Denmark,55.4467249676,11.5464414284,Actinotia polyodon,Purple Cloud,2009-08-13,1
Denmark,55.4467249676,11.5464414284,Triodia sylvina,Orange Swift,2009-08-11,1
Denmark,55.8,8.15,Boloria selene,Small Pearl-bordered Fritillary,2009-08-20,4
Denmark,55.7666938047,8.2105351612,Issoria lathonia,Queen of Spain Fritillary,2009-08-18,1
Denmark,55.7666938047,8.2105351612,Aricia agestis,Brown Argus,2009-08-18,3
Denmark,55.7666938047,8.2105351612,Polyommatus icarus,Common Blue,2009-08-18,2
Denmark,55.740858576,8.21065686643,Issoria lathonia,Queen of Spain Fritillary,2009-08-18,1
Denmark,55.7414021413,8.20943377912,Vanessa cardui,Painted Lady,2009-08-18,1
Denmark,55.7,8.2,Phengaris alcon,Alcon Blue,2009-08-18,100
Denmark,55.5587686894,11.159788426,Aricia agestis,Brown Argus,2009-08-07,2
Denmark,55.9451175749,11.6839367431,Hipparchia semele,Grayling,2009-08-05,2
Denmark,55.9451175749,11.6839367431,Plebejus argus,Silver-studded Blue,2009-08-05,1
Denmark,55.9451175749,11.6839367431,Issoria lathonia,Queen of Spain Fritillary,2009-08-05,1
Denmark,55.9451175749,11.6839367431,Lasiommata megera,Wall Brown,2009-08-05,2
Denmark,55.3068540737,8.8933181754,Emberiza calandra,Corn Bunting,2015-02-14,7
Denmark,55.6862700724,12.5735668838,Corvus cornix,Hooded Crow,2015-01-19,1
Denmark,55.6862700724,12.5735668838,Columba livia domestica,Feral Pigeon,2015-01-19,1
Denmark,55.6731861224,12.600892894,Corvus cornix,Hooded Crow,2015-01-19,1
Denmark,55.6696994018,12.5844392207,Passer domesticus,House Sparrow,2015-02-06,1
Denmark,55.6696994018,12.5844392207,Turdus merula,Common Blackbird,2015-02-06,1
Denmark,55.6696994018,12.5844392207,Corvus cornix,Hooded Crow,2015-02-06,1
Denmark,55.6696994018,12.5844392207,Pica pica,Eurasian Magpie,2015-02-06,1
Denmark,55.6696994018,12.5844392207,Columba palumbus,Common Wood Pigeon,2015-02-06,1
Denmark,55.6696994018,12.5844392207,Columba livia domestica,Feral Pigeon,2015-02-06,1
Denmark,55.6695057801,12.5842675593,Larus argentatus,European Herring Gull,2015-02-06,1
Denmark,55.6695057801,12.5842675593,Chroicocephalus ridibundus,Black-headed Gull,2015-02-06,1
Denmark,55.6695057801,12.5842675593,Fulica atra,Eurasian Coot,2015-02-06,1
Denmark,55.671523428,12.5754551616,Passer domesticus,House Sparrow,2015-02-06,1
Denmark,55.671523428,12.5754551616,Turdus merula,Common Blackbird,2015-02-06,1
Denmark,55.671523428,12.5754551616,Corvus cornix,Hooded Crow,2015-02-06,1
Denmark,55.671523428,12.5754551616,Pica pica,Eurasian Magpie,2015-02-06,1
Denmark,55.671523428,12.5754551616,Columba palumbus,Common Wood Pigeon,2015-02-06,1
Denmark,55.671523428,12.5754551616,Columba livia domestica,Feral Pigeon,2015-02-06,1
Denmark,55.671523428,12.5754551616,Larus argentatus,European Herring Gull,2015-02-06,1
