country,latitude,longitude,scientific_name,vernacular_name,date,count
Ecuador,-0.1857513,-78.4869068,Catharus ustulatus,Swainson's Thrush,2015-02-20,1
Ecuador,-0.186791010771795,-78.4853323969983,Parkesia noveboracensis,Northern Waterthrush,2015-02-20,1
Ecuador,-0.186653036471813,-78.485444169539,Catharus ustulatus,Swainson's Thrush,2015-03-11,1
Ecuador,-0.18639088761414,-78.4852383509972,Parkesia noveboracensis,Northern Waterthrush,2015-03-11,1
Ecuador,-0.11598586,-80.124683,Pteroglossus erythropygius,Pale-mandibled Aracari,2015-02-25,8
Ecuador,-0.723760772171,-90.5941388011,Xylocopa darwini,Galapagos Carpenter Bee,2013-08-13,1
Ecuador,-0.723760772171,-90.5941388011,Lasiurus blossevillii,Western Red Bat,2013-08-13,1
Ecuador,-1.34437230265,-89.6450892466,Mimus macdonaldi,Espanola Mockingbird,2008-11-10,1
Ecuador,-0.2636674108073865,-90.4032878800876,Pyrocephalus nanus,Darwin's Flycatcher,2013-08-10,1
Ecuador,-0.755727356514,-90.678954944,Gallinula galeata,Common Gallinule,2013-08-13,1
Ecuador,-0.755727356514,-90.678954944,Fregata magnificens,Magnificent Frigatebird,2013-08-13,1
Ecuador,-4.08639485,-78.95800037,Thraupis palmarum,Palm Tanager,2013-08-05,1
Ecuador,-4.08639485,-78.95800037,Tersina viridis,Swallow Tanager,2013-08-05,1
Ecuador,-4.08639485,-78.95800037,Chlorophanes spiza,Green Honeycreeper,2013-08-05,1
Ecuador,-4.08639485,-78.95800037,Rupicola peruvianus aequatorialis,Andean Cock-of-the-rock ssp aequatorialis,2013-08-05,1
Ecuador,-4.08639485,-78.95800037,Galbula pastazae,Coppery-chested Jacamar,2013-08-05,1
Ecuador,-4.08639485,-78.95800037,Cyanocorax yncas,Inca Jay,2013-08-05,1
Ecuador,-4.08639485,-78.95800037,Discosura popelairii,Wire-crested Thorntail,2013-08-05,1
Ecuador,-4.08639485,-78.95800037,Tigrisoma fasciatum,Fasciated Tiger Heron,2013-08-05,1
Ecuador,-4.08639485,-78.95800037,Tinamus tao,Grey Tinamou,2013-08-05,1
Ecuador,-2.40049675805,-79.6913909912,Alouatta palliata,Mantled Howler Monkey,2014-12-23,1
