country,latitude,longitude,scientific_name,vernacular_name,date,count
Egypt,24.0893062721,32.894784808,Mustela subpalmata,Egyptian Weasel,2015-03-05,1
Egypt,24.09077089,32.89670109,Falco tinnunculus,Common Kestrel,2015-03-05,2
Egypt,24.0891867788,32.8946471206,Mustela subpalmata,Egyptian Weasel,2015-03-03,1
Egypt,24.02793857,32.89846554,Limosa limosa,Black-tailed Godwit,2015-03-03,30
Egypt,24.02794106,32.89845315,Plegadis falcinellus,Glossy Ibis,2015-03-03,13
Egypt,24.02794106,32.89845315,Fulica atra,Eurasian Coot,2015-03-03,1
Egypt,24.02794106,32.89845315,Tringa nebularia,Common Greenshank,2015-03-03,1
Egypt,24.02794569,32.89845462,Calidris pugnax,Ruff,2015-03-03,3
Egypt,24.02793631,32.89847202,Tringa totanus,Common Redshank,2015-03-03,1
Egypt,24.02793631,32.89847202,Tringa erythropus,Spotted Redshank,2015-03-03,1
Egypt,24.02795245,32.89846583,Vanellus spinosus,Spur-winged Lapwing,2015-03-03,1
Egypt,24.02798177,32.89842194,Egretta garzetta,Little Egret,2015-03-03,8
Egypt,24.02797239,32.89842648,Nycticorax nycticorax,Black-crowned Night Heron,2015-03-03,1
Egypt,24.02797145,32.89844582,Ceryle rudis,Pied Kingfisher,2015-03-03,3
Egypt,24.02796834,32.89842763,Spatula clypeata,Northern Shoveler,2015-03-03,3
Egypt,24.02796865,32.89843787,Spilopelia senegalensis,Laughing Dove,2015-03-03,2
Egypt,24.02789522,32.89848109,Hedydipna metallica,Nile Valley Sunbird,2015-03-03,1
Egypt,24.0278968,32.89794337,Chlidonias hybrida,Whiskered Tern,2015-03-03,2
Egypt,24.02752933,32.89731553,Platalea leucorodia,Eurasian Spoonbill,2015-03-03,2
Egypt,24.02753272,32.89730668,Charadrius hiaticula,Common Ringed Plover,2015-03-03,1
Egypt,24.02755391,32.89730516,Gelochelidon nilotica,Gull-billed Tern,2015-03-03,4
Egypt,24.02754824,32.89729756,Aythya fuligula,Tufted Duck,2015-03-03,11
Egypt,24.0275563,32.89712987,Charadrius hiaticula,Common Ringed Plover,2015-03-03,4
Egypt,24.02754851,32.89708855,Ciconia ciconia,White Stork,2015-03-03,16
Egypt,24.02760537,32.89703732,Circus aeruginosus,Western Marsh Harrier,2015-03-03,1
Egypt,24.0276208,32.89699834,Limosa limosa,Black-tailed Godwit,2015-03-03,5
Egypt,24.02765656,32.89698251,Lanius nubicus,Masked Shrike,2015-03-03,1
Egypt,24.02767075,32.89698404,Ptyonoprogne obsoleta,Pale Crag Martin,2015-03-03,1
Egypt,24.02730647,32.89689052,Upupa epops,Eurasian Hoopoe,2015-03-03,1
Egypt,24.02724504,32.89680369,Iduna pallida,Eastern Olivaceous Warbler,2015-03-03,2
Egypt,24.02724584,32.89679342,Sylvia curruca,Lesser Whitethroat,2015-03-03,1
Egypt,24.02711941,32.89661573,Anas crecca,Eurasian Teal,2015-03-03,1
Egypt,24.02710115,32.89661181,Calidris minuta,Little Stint,2015-03-03,1
Egypt,24.02659338,32.89632992,Ardea purpurea,Purple Heron,2015-03-03,1
Egypt,24.0261168,32.89582864,Iduna pallida,Eastern Olivaceous Warbler,2015-03-03,1
Egypt,24.02610315,32.89581392,Ptyonoprogne obsoleta,Pale Crag Martin,2015-03-03,1
Egypt,24.02587159,32.89558966,Hedydipna metallica,Nile Valley Sunbird,2015-03-03,2
Egypt,24.02584834,32.89558115,Prinia gracilis,Graceful Prinia,2015-03-03,1
Egypt,24.02580331,32.89535323,Aythya fuligula,Tufted Duck,2015-03-03,14
Egypt,24.02579757,32.89534248,Spilopelia senegalensis,Laughing Dove,2015-03-03,1
Egypt,24.02582709,32.89532683,Gallinago gallinago,Common Snipe,2015-03-03,4
Egypt,24.02583757,32.8953264,Charadrius hiaticula,Common Ringed Plover,2015-03-03,1
Egypt,24.02583991,32.89531291,Gelochelidon nilotica,Gull-billed Tern,2015-03-03,3
Egypt,24.02585014,32.89531763,Ardea cinerea,Grey Heron,2015-03-03,1
Egypt,24.02588994,32.89531142,Pandion haliaetus,Western Osprey,2015-03-03,1
Egypt,24.02587605,32.89531192,Podiceps nigricollis,Black-necked Grebe,2015-03-03,4
Egypt,24.02588089,32.89531341,Anas crecca,Eurasian Teal,2015-03-03,6
Egypt,24.02588451,32.8953109,Prinia gracilis,Graceful Prinia,2015-03-03,1
Egypt,24.02527773,32.89496513,Burhinus senegalensis,Senegal Thick-knee,2015-03-03,7
Egypt,24.02514779,32.89478051,Phalacrocorax carbo,Great Cormorant,2015-03-03,1
Egypt,24.02600502,32.89569179,Ceryle rudis,Pied Kingfisher,2015-03-03,1
Egypt,24.02732005,32.89687354,Himantopus himantopus,Black-winged Stilt,2015-03-03,4
Egypt,24.02779154,32.89879687,Plegadis falcinellus,Glossy Ibis,2015-03-03,19
Egypt,24.0277839,32.89868722,Charadrius hiaticula,Common Ringed Plover,2015-03-03,7
Egypt,24.02774259,32.89874996,Gallinago gallinago,Common Snipe,2015-03-03,2
Egypt,24.03737503,32.93903802,Oenanthe leucopyga,White-crowned Wheatear,2015-03-03,1
Egypt,24.05042529,32.91205378,Pandion haliaetus,Western Osprey,2015-03-03,1
Egypt,24.05043188,32.9120606,Phalacrocorax carbo,Great Cormorant,2015-03-03,6
Egypt,24.05044769,32.91209735,Tachybaptus ruficollis,Little Grebe,2015-03-03,1
Egypt,24.05044769,32.91209735,Ardea cinerea,Grey Heron,2015-03-03,1
Egypt,24.05044769,32.91209735,Butorides striata,Striated Heron,2015-03-03,1
Egypt,25.72476234,32.60591442,Hedydipna metallica,Nile Valley Sunbird,2015-03-02,1
Egypt,25.68641126,32.59980836,Elanus caeruleus,Black-winged Kite,2015-03-02,1
Egypt,24.19449227,32.86996714,Circus aeruginosus,Western Marsh Harrier,2015-03-02,1
Egypt,24.19449227,32.86996714,Gelochelidon nilotica,Gull-billed Tern,2015-03-02,1
Egypt,24.1945002,32.86996107,Chlidonias hybrida,Whiskered Tern,2015-03-02,3
Egypt,24.19450878,32.86996453,Ardeola ralloides,Squacco Heron,2015-03-02,5
Egypt,24.19450878,32.86996453,Egretta garzetta,Little Egret,2015-03-02,1
Egypt,24.19450878,32.86996453,Porphyrio madagascariensis,African Swamphen,2015-03-02,1
Egypt,30.03496617,31.2332233,Spilopelia senegalensis,Laughing Dove,2015-02-22,5
Egypt,30.03496617,31.2332233,Passer domesticus,House Sparrow,2015-02-22,1
Egypt,30.0391462,31.23162792,Falco tinnunculus,Common Kestrel,2015-02-22,1
Egypt,30.04770024,31.22655637,Corvus cornix,Hooded Crow,2015-02-22,3
Egypt,30.05724711,31.21824072,Corvus cornix,Hooded Crow,2015-02-22,1
Egypt,30.05716023,31.2182681,Upupa epops,Eurasian Hoopoe,2015-02-22,1
Egypt,30.05707775,31.21858792,Spilopelia senegalensis,Laughing Dove,2015-02-22,1
