country,latitude,longitude,scientific_name,vernacular_name,date,count
Ethiopia,7.54835723644,38.680658564,Melaniparus leucomelas,White-winged Black Tit,2015-02-24,1
Ethiopia,6.89550716518,39.9067033455,Macronyx flavicollis,Abyssinian Longclaw,2015-02-25,2
Ethiopia,7.54909135969,38.6810339056,Chloropicus namaquus,Bearded Woodpecker,2015-02-23,2
Ethiopia,7.55041020253,38.6810178123,Monticola rufocinereus,Little Rock Thrush,2015-02-24,1
Ethiopia,7.5488520531,38.6808032356,Jynx ruficollis,Red-throated Wryneck,2015-02-23,2
Ethiopia,9.56857361338,39.8282522522,Quelea quelea,Red-billed Quelea,2015-02-20,2
Ethiopia,9.56817687929,39.8308003508,Crithagra reichenowi,Reichenow's Seedeater,2015-02-20,2
Ethiopia,9.56787536107,39.8306340538,Dicrurus adsimilis,Fork-tailed Drongo,2015-02-20,1
Ethiopia,9.5690920119,39.8278713785,Laniarius aethiopicus,Ethiopian Boubou,2015-02-20,1
Ethiopia,9.56775898554,39.8290891014,Merops variegatus,Blue-breasted Bee-eater,2015-02-20,2
Ethiopia,9.56908143235,39.8290569149,Scopus umbretta,Hamerkop,2015-02-20,2
Ethiopia,9.56933534154,39.8287135921,Alcedo semitorquata,Half-collared Kingfisher,2015-02-20,1
Ethiopia,9.5681081120000009,39.8291802965,Trachyphonus margaritatus,Yellow-breasted Barbet,2015-02-20,2
Ethiopia,7.55162268353,38.68150061,Bubo cinerascens,Greyish Eagle-Owl,2015-02-23,1
Ethiopia,8.76546167307,38.9631702751,Streptopelia decipiens,Mourning Collared Dove,2015-02-21,4
Ethiopia,7.12112032812,39.7195317596,Rougetius rougetii,Rouget's Rail,2015-02-24,2
Ethiopia,7.12112032812,39.7195317596,Fulica cristata,Red-knobbed Coot,2015-02-24,10
Ethiopia,7.12071577701,39.7176005691,Vanellus melanocephalus,Spot-breasted Lapwing,2015-02-24,4
Ethiopia,7.52449003273,38.6998128891,Charadrius dubius,Little Ringed Plover,2015-02-24,1
Ethiopia,8.91017115747,40.0625185668,Uraeginthus ianthinogaster,Purple Grenadier,2015-02-22,1
Ethiopia,8.90605858086,40.056424588,Plocepasser mahali,White-browed Sparrow-Weaver,2015-02-22,2
Ethiopia,8.87402587045,40.0350024551,Dinemellia dinemelli,White-headed Buffalo Weaver,2015-02-22,10
Ethiopia,8.86514162489,40.0569543242,Emberiza poliopleura,Somali Bunting,2015-02-22,2
Ethiopia,8.86514162489,40.0569543242,Cinnyris habessinicus,Shining Sunbird,2015-02-22,1
Ethiopia,8.86514162489,40.0569543242,Hedydipna metallica,Nile Valley Sunbird,2015-02-22,4
Ethiopia,8.86955147602,40.0657090545,Buphagus erythrorynchus,Red-billed Oxpecker,2015-02-22,7
Ethiopia,8.86955147602,40.0657090545,Argya rubiginosa,Rufous Chatterer,2015-02-22,2
Ethiopia,8.86395434823,40.0554093719,Oenanthe isabellina,Isabelline Wheatear,2015-02-22,1
Ethiopia,8.87811661243,40.0730904937,Mirafra gilletti,Gillett's Lark,2015-02-22,1
Ethiopia,8.88108468235,40.0742921233,Eurocephalus ruppelli,Northern White-crowned Shrike,2015-02-22,20
Ethiopia,8.87692937773,40.0735196471,Lanius somalicus,Somali Fiscal,2015-02-22,5
Ethiopia,8.8716715779,40.0655373931,Telophorus cruentus,Rosy-patched Bushshrike,2015-02-22,1
Ethiopia,8.88914075102,40.0837334991,Batis orientalis,Grey-headed Batis,2015-02-22,3
Ethiopia,8.88914075102,40.0837334991,Bucorvus abyssinicus,Abyssinian Ground Hornbill,2015-02-22,2
Ethiopia,8.89134553894,40.0773820281,Upupa epops,Eurasian Hoopoe,2015-02-22,2
Ethiopia,8.87735339057,40.0734338164,Coracias abyssinicus,Abyssinian Roller,2015-02-22,1
Ethiopia,8.89287192281,40.0787553191,Lophotis gindiana,Buff-crested Bustard,2015-02-22,1
Ethiopia,8.86734655707,40.0563535094,Eupodotis senegalensis,White-bellied Bustard,2015-02-22,1
Ethiopia,8.90143651422,40.0772961974,Ardeotis kori,Kori Bustard,2015-02-22,2
Ethiopia,8.85784829339,40.0465688109,Polihierax semitorquatus,Pygmy Falcon,2015-02-22,3
Ethiopia,8.84094604791,40.0147516094,Lagonosticta senegala,Red-billed Firefinch,2015-02-22,3
Ethiopia,8.84094604791,40.0147516094,Pytilia melba,Green-winged Pytilia,2015-02-22,1
Ethiopia,8.84504320407,40.0091030449,Amblyospiza albifrons,Thick-billed Weaver,2015-02-22,2
Ethiopia,8.8457428856899991,40.0078584999,Ploceus galbula,Rüppell's Weaver,2015-02-22,5
Ethiopia,8.84883843082,40.003073439,Motacilla aguimp,African Pied Wagtail,2015-02-22,3
Ethiopia,8.84883843082,40.003073439,Lamprotornis purpuroptera,Rüppell's Starling,2015-02-22,4
Ethiopia,8.84464035648,40.0094249099,Dryoscopus gambensis,Northern Puffback,2015-02-22,1
Ethiopia,8.84464035648,40.0094249099,Dendropicos spodocephalus,Eastern Grey Woodpecker,2015-02-22,1
Ethiopia,8.84464035648,40.0094249099,Campethera nubica,Nubian Woodpecker,2015-02-22,1
Ethiopia,8.84464035648,40.0094249099,Lybius guifsobalito,Black-billed Barbet,2015-02-22,2
Ethiopia,8.84464035648,40.0094249099,Lophoceros nasutus,African Grey Hornbill,2015-02-22,2
Ethiopia,8.84464035648,40.0094249099,Tockus erythrorhynchus,Northern Red-billed Hornbill,2015-02-22,2
Ethiopia,8.84464035648,40.0094249099,Urocolius macrourus,Blue-naped Mousebird,2015-02-22,2
Ethiopia,8.84464035648,40.0094249099,Colius striatus,Speckled Mousebird,2015-02-22,6
Ethiopia,8.84464035648,40.0094249099,Crinifer zonurus,Eastern Plantain-eater,2015-02-22,2
Ethiopia,8.84464035648,40.0094249099,Corythaixoides leucogaster,White-bellied Go-away-bird,2015-02-22,5
Ethiopia,8.84464035648,40.0094249099,Streptopelia roseogrisea,African Collared Dove,2015-02-22,2
Ethiopia,8.84464035648,40.0094249099,Scopus umbretta,Hamerkop,2015-02-22,1
Ethiopia,8.84464035648,40.0094249099,Bostrychia hagedash,Hadada Ibis,2015-02-22,4
Ethiopia,5.37961339,39.5271175,Lophotis gindiana,Buff-crested Bustard,2015-02-27,1
Ethiopia,8.91131588705,39.9052767456,Vanellus spinosus,Spur-winged Lapwing,2015-02-23,1
Ethiopia,4.85562755062,38.1574344618,Zavattariornis stresemanni,Stresemann's Bushcrow,2015-03-01,2
Ethiopia,9.82052166804,39.7344947979,Buteo augur,Augur Buzzard,2015-02-20,2
Ethiopia,9.82052166804,39.7344947979,Crithagra ankoberensis,Ankober Serin,2015-02-20,80
Ethiopia,6.89915536445,39.9048650265,Scleroptila psilolaema,Moorland Francolin,2015-02-25,4
Ethiopia,7.53812042891,38.675082922,Uraeginthus bengalus,Red-cheeked Cordon-bleu,2015-02-24,4
Ethiopia,7.53812042891,38.675082922,Amadina fasciata,Cut-throat Finch,2015-02-24,1
Ethiopia,7.53812042891,38.675082922,Polyboroides typus,African Harrier-Hawk,2015-02-24,1
Ethiopia,7.0708684303,39.6506023407,Anas platyrhynchos,Mallard,2015-02-27,2
Ethiopia,8.74427546961,38.9873582684,Netta erythrophthalma,Southern Pochard,2015-02-21,3
Ethiopia,4.85572675,38.16143019,Hirundo megaensis,White-tailed Swallow,2015-03-01,4
Ethiopia,5.28553556,38.28901558,Cecropis senegalensis,Mosque Swallow,2015-03-02,2
Ethiopia,8.76798530412,38.9681699127,Tringa stagnatilis,Marsh Sandpiper,2015-02-21,1
Ethiopia,8.76798530412,38.9681699127,Grus grus,Common Crane,2015-02-21,40
Ethiopia,8.76798530412,38.9681699127,Plegadis falcinellus,Glossy Ibis,2015-02-21,3
Ethiopia,8.76798530412,38.9681699127,Gyps rueppelli,Rüppell's Vulture,2015-02-21,3
Ethiopia,8.76798530412,38.9681699127,Anas crecca,Eurasian Teal,2015-02-21,1
