country,latitude,longitude,scientific_name,vernacular_name,date,count
Finland,69.44349355,28.4627117,Perisoreus infaustus,Siberian Jay,2015-03-12,3
Finland,65.98632450000002,29.33347596339462,Poecile cinctus,Grey-headed Chickadee,2011-05-29,5
Finland,64.995991,25.710383869969647,Strix uralensis,Ural Owl,2011-05-26,1
Finland,64.95,25.7,Glaucidium passerinum,Eurasian Pygmy Owl,2011-05-26,2
Finland,65.98632450000002,29.33347596339462,Lagopus lagopus,Willow Ptarmigan,2011-05-29,15
Finland,60.3,24.45,Tetrastes bonasia,Hazel Grouse,2015-02-27,1
Finland,60.3,24.4,Tetrastes bonasia,Hazel Grouse,2015-02-26,1
Finland,68.64450271,27.54338401,Corvus cornix,Hooded Crow,2015-03-08,4
Finland,69.1823866,27.21391001,Pinicola enucleator,Pine Grosbeak,2015-03-09,4
Finland,69.18236984,27.21381496,Acanthis hornemanni,Arctic Redpoll,2015-03-09,24
Finland,66.20855483,29.21853048,Perisoreus infaustus,Siberian Jay,2015-03-06,4
Finland,66.20858691,29.21857308,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-06,2
Finland,67.10543337,27.00254545,Perisoreus infaustus,Siberian Jay,2015-03-07,2
Finland,68.17996334,27.09821076,Perisoreus infaustus,Siberian Jay,2015-03-07,2
Finland,66.28514542,29.01496511,Cinclus cinclus,White-throated Dipper,2015-03-04,2
Finland,66.20859353,29.21823212,Poecile montanus,Willow Tit,2015-03-05,3
Finland,66.20861242,29.21819176,Tetrao urogallus,Western Capercaillie,2015-03-05,1
Finland,66.20857633,29.21817409,Perisoreus infaustus,Siberian Jay,2015-03-05,1
Finland,66.20863675,29.21849987,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-05,1
Finland,66.21018079,29.2011329,Perisoreus infaustus,Siberian Jay,2015-03-05,1
Finland,66.2086392,29.21819938,Perisoreus infaustus,Siberian Jay,2015-03-05,5
Finland,66.17181081,29.56759838,Cinclus cinclus,White-throated Dipper,2015-03-05,1
Finland,66.16697755,29.47339752,Perisoreus infaustus,Siberian Jay,2015-03-05,2
Finland,66.33,29.3,Calypso bulbosa,Calypso,2000-06-05,1
Finland,64.9959433565,24.7093972564,Nymphalis antiopa,Camberwell Beauty,2000-06-02,1
