country,latitude,longitude,scientific_name,vernacular_name,date,count
France,50.4128656101,1.56277701259,Galerida cristata,Crested Lark,2015-03-14,1
France,50.6411535785,3.19055199623,Tringa totanus,Common Redshank,2015-03-09,1
France,50.6374829597,3.18077802658,Limosa limosa,Black-tailed Godwit,2015-03-09,6
France,50.4885590129,3.41108322144,Recurvirostra avosetta,Pied Avocet,2015-03-08,9
France,50.6362247345,3.16051661968,Spatula querquedula,Garganey,2015-03-14,3
France,50.6577251098,2.56829023361,Sciurus vulgaris,Eurasian Red Squirrel,2015-03-14,1
France,50.6227858813,2.66605876386,Saxicola rubicola,European Stonechat,2015-03-14,1
France,50.5391741013,3.07600390166,Motacilla alba,White Wagtail,2015-03-14,1
France,50.4773038213,2.64505863102,Vanellus vanellus,Northern Lapwing,2015-03-14,3
France,50.4772378206,2.63715505556,Alauda arvensis,Eurasian Skylark,2015-03-14,7
France,50.4778523067,2.6254391679,Alauda arvensis,Eurasian Skylark,2015-03-14,1
France,50.4814844389,2.62565374462,Picus viridis,European Green Woodpecker,2015-03-14,1
France,50.4828498298,2.63318538622,Columba oenas,Stock Dove,2015-03-14,2
France,50.4821398313,2.63352870898,Perdix perdix,Grey Partridge,2015-03-14,3
France,50.4804740241,2.63477325396,Falco tinnunculus,Common Kestrel,2015-03-14,1
France,50.4800370813,2.63786315874,Ardea cinerea,Grey Heron,2015-03-14,1
France,50.4800507359,2.63846397356,Turdus philomelos,Song Thrush,2015-03-14,2
France,50.4792564915,2.64447212045,Emberiza schoeniclus,Common Reed Bunting,2015-03-14,1
France,50.4796752348,2.64876365487,Alauda arvensis,Eurasian Skylark,2015-03-14,3
France,50.4780293681,2.65230417208,Phoenicurus ochruros,Black Redstart,2015-03-14,2
France,50.6434,3.0448,Ardea cinerea,Grey Heron,2015-03-13,1
France,50.6417,3.0405,Parus major,Great Tit,2015-03-13,1
France,50.6417,3.0405,Pica pica,Eurasian Magpie,2015-03-13,1
France,50.6417,3.0405,Gallinula chloropus,Common Moorhen,2015-03-13,1
France,50.6417,3.0404,Anas platyrhynchos,Mallard,2015-03-13,1
France,50.6417,3.0404,Garrulus glandarius,Eurasian Jay,2015-03-13,1
France,50.6417,3.0404,Erithacus rubecula,European Robin,2015-03-13,1
France,50.4306127879,3.17884006353,Anthriscus sylvestris,Cow Parsley,2015-03-14,1
France,50.9406022112,2.54121512172,Sitta europaea,Eurasian Nuthatch,2015-03-14,1
France,50.7731515003,2.23651528402,Alcedo atthis,Common Kingfisher,2015-03-13,1
France,50.7806956273,2.29353904702,Ciconia ciconia,White Stork,2015-03-13,2
France,50.2558734692,3.78569841374,Strix aluco,Tawny Owl,2015-03-11,1
France,50.2558734692,3.78569841374,Dryobates minor,Lesser Spotted Woodpecker,2015-03-11,1
France,50.2558734692,3.78569841374,Dendrocoptes medius,Middle Spotted Woodpecker,2015-03-11,1
France,50.1673117202,3.70454549746,Dendrocoptes medius,Middle Spotted Woodpecker,2015-03-11,1
France,50.1673117202,3.70454549746,Strix aluco,Tawny Owl,2015-03-11,1
France,50.1373939657,3.72430801348,Dryobates minor,Lesser Spotted Woodpecker,2015-03-11,1
France,50.146350173,3.73005509355,Calidris pugnax,Ruff,2015-03-11,3
France,50.146350173,3.73005509355,Limosa limosa,Black-tailed Godwit,2015-03-11,1
France,50.983855933049995,2.549051065146082,Motacilla alba,White Wagtail,2015-03-13,1
France,50.983855933049995,2.549051065146082,Anthus pratensis,Meadow Pipit,2015-03-13,3
France,50.983855933049995,2.549051065146082,Alauda arvensis,Eurasian Skylark,2015-03-13,1
France,50.983855933049995,2.549051065146082,Tringa totanus,Common Redshank,2015-03-13,3
France,50.983855933049995,2.549051065146082,Podiceps cristatus,Great Crested Grebe,2015-03-13,1
France,50.983855933049995,2.549051065146082,Alopochen aegyptiaca,Egyptian Goose,2015-03-13,2
France,50.983855933049995,2.549051065146082,Haematopus ostralegus,Eurasian Oystercatcher,2015-03-13,2
France,50.983855933049995,2.549051065146082,Numenius arquata,Eurasian Curlew,2015-03-13,1
France,50.983855933049995,2.549051065146082,Gallinago gallinago,Common Snipe,2015-03-13,1
France,50.983855933049995,2.549051065146082,Pluvialis apricaria,European Golden Plover,2015-03-13,20
France,50.983855933049995,2.549051065146082,Calidris pugnax,Ruff,2015-03-13,8
France,50.983855933049995,2.549051065146082,Tadorna tadorna,Common Shelduck,2015-03-13,65
France,50.983855933049995,2.549051065146082,Mareca strepera,Gadwall,2015-03-13,16
France,50.983855933049995,2.549051065146082,Recurvirostra avosetta,Pied Avocet,2015-03-13,22
France,50.983855933049995,2.549051065146082,Anas crecca,Eurasian Teal,2015-03-13,43
France,50.983855933049995,2.549051065146082,Egretta garzetta,Little Egret,2015-03-13,5
France,50.983855933049995,2.549051065146082,Ardea alba,Great Egret,2015-03-13,4
France,50.983855933049995,2.549051065146082,Spatula clypeata,Northern Shoveler,2015-03-13,43
France,50.983855933049995,2.549051065146082,Limosa limosa,Black-tailed Godwit,2015-03-13,245
France,50.983855933049995,2.549051065146082,Spatula querquedula,Garganey,2015-03-13,18
France,50.983855933049995,2.549051065146082,Aythya fuligula,Tufted Duck,2015-03-13,2
