country,latitude,longitude,scientific_name,vernacular_name,date,count
Gaza Strip,31.721241772,35.3256085407,Galerida cristata,Crested Lark,2015-03-14,1
Gaza Strip,31.6847607691,35.2593051904,Ciconia ciconia,White Stork,2015-03-13,250
Gaza Strip,31.8005668409,35.2360367771,Upupa epops,Eurasian Hoopoe,2015-03-13,2
Gaza Strip,31.800502405,35.2360010138,Lanius senator,Woodchat Shrike,2015-03-12,1
Gaza Strip,32.4318743018,35.3377535818,Falco tinnunculus,Common Kestrel,2015-03-09,1
Gaza Strip,32.4318743018,35.3377535818,Milvus migrans,Black Kite,2015-03-09,1
Gaza Strip,32.4308883383,35.3378969189,Athene noctua,Little Owl,2015-03-09,2
Gaza Strip,32.4224119379,35.3436475777,Vanellus spinosus,Spur-winged Lapwing,2015-03-09,7
Gaza Strip,31.8465848122,35.4183220002,Cinnyris osea,Palestine Sunbird,2015-03-06,3
Gaza Strip,31.8376443448,35.4994209151,Passer hispaniolensis,Spanish Sparrow,2007-03-03,1
Gaza Strip,31.8373809154,35.4988148675,Rhodospiza obsoleta,Desert Finch,2007-05-12,10
Gaza Strip,32.4773943645,35.2912342091,Athene noctua,Little Owl,2015-02-21,1
Gaza Strip,32.3013938504,35.1939880365,Ciconia ciconia,White Stork,2015-02-28,200
Gaza Strip,31.6831831521,35.3394024633,Procavia capensis,Common Rock Hyrax,2015-02-26,15
Gaza Strip,32.4243463311,35.3530975292,Aegypius monachus,Cinereous Vulture,2014-03-27,1
Gaza Strip,32.0964723079,35.1443504216,Mycteria ibis,Yellow-billed Stork,2014-03-27,1
Gaza Strip,31.9754592117,35.1165425777,Arbutus andrachne,Greek Strawberry Tree,2015-02-24,1
Gaza Strip,31.8004294585,35.2359580985,Apus apus,Common Swift,2015-02-18,1
Gaza Strip,32.04725207763914,35.46330057087863,Bubulcus ibis,Western Cattle Egret,2015-02-16,1
Gaza Strip,31.8005048362,35.2358615396,Dendrocopos syriacus,Syrian Woodpecker,2015-02-15,1
Gaza Strip,31.8005048362,35.2358615396,Coccothraustes coccothraustes,Hawfinch,2015-02-15,1
Gaza Strip,32.120964197,35.1741027832,Mycteria ibis,Yellow-billed Stork,2014-04-29,1
Gaza Strip,31.8005388782,35.2360439292,Parus major,Great Tit,2015-02-13,2
Gaza Strip,31.8003346276,35.2355504034,Phoenicurus ochruros,Black Redstart,2015-02-06,1
Gaza Strip,31.8006033141,35.2360153194,Phylloscopus collybita,Common Chiffchaff,2015-02-06,1
Gaza Strip,31.8006033141,35.2360153194,Upupa epops,Eurasian Hoopoe,2015-02-06,1
