country,latitude,longitude,scientific_name,vernacular_name,date,count
Germany,50.987652304,5.99471569061,Accipiter gentilis,Northern Goshawk,2015-03-14,1
Germany,50.9831946664,5.9994363784800004,Ardea alba,Great Egret,2015-03-14,1
Germany,51.5236235432,6.20673208254,Ciconia ciconia,White Stork,2015-03-14,3
Germany,50.9402035785,6.0324241966,Lanius excubitor,Great Grey Shrike,2015-03-14,1
Germany,52.1146017597,9.93032455095,Milvus milvus,Red Kite,2015-03-14,1
Germany,51.5260013493762,6.21133960783482,Ciconia ciconia,White Stork,2015-03-14,3
Germany,51.5246216383,6.20567321734,Ciconia ciconia,White Stork,2015-03-14,3
Germany,51.6373779,6.1495722,Milvus milvus,Red Kite,2015-03-14,2
Germany,50.93973545,6.03402225,Lanius excubitor,Great Grey Shrike,2015-03-14,1
Germany,50.93971943,6.03400683,Lullula arborea,Woodlark,2015-03-14,4
Germany,50.94729459,6.02394901,Aythya fuligula,Tufted Duck,2015-03-14,9
Germany,50.94708158,6.02226625,Tachybaptus ruficollis,Little Grebe,2015-03-14,2
Germany,50.94583372,6.01985966,Phalacrocorax carbo,Great Cormorant,2015-03-14,4
Germany,50.94541645,6.01937982,Anser anser,Greylag Goose,2015-03-14,4
Germany,50.94541427,6.01938028,Branta canadensis,Canada Goose,2015-03-14,2
Germany,50.93840937,6.02204494,Ardea alba,Great Egret,2015-03-14,2
Germany,50.93565251,6.03693737,Buteo buteo,Common Buzzard,2015-03-14,2
Germany,53.5841366355,6.67523595504,Cyanistes caeruleus,Eurasian Blue Tit,2015-03-14,1
Germany,53.5825602328,6.67935138568,Passer domesticus,House Sparrow,2015-03-14,1
Germany,50.982802492,5.99258467555,Emberiza citrinella,Yellowhammer,2015-03-14,1
Germany,50.9824782807,5.99134013057,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-14,4
Germany,50.9833698563,5.98902270198,Capreolus capreolus,European Roe Deer,2015-03-14,4
Germany,50.9827754745,5.98391577601,Emberiza citrinella,Yellowhammer,2015-03-14,2
Germany,53.5880056524,6.66445439681,Passer domesticus,House Sparrow,2015-03-08,1
Germany,53.5842767302,6.67503302917,Apis mellifera,Western Honey Bee,2015-03-08,1
Germany,52.4976,8.3658,Haliaeetus albicilla,White-tailed Eagle,2015-03-13,1
Germany,50.9801010845,5.8945941925,Strix aluco,Tawny Owl,2015-03-13,1
Germany,51.4378222266,6.23854637102,Ardea alba,Great Egret,2015-03-13,1
Germany,52.472099,8.305095,Ciconia ciconia,White Stork,2015-03-13,2
Germany,52.481391,8.343595,Ciconia ciconia,White Stork,2015-03-13,2
Germany,52.478408,8.318678,Gallinago gallinago,Common Snipe,2015-03-13,3
Germany,52.478408,8.318678,Ardea alba,Great Egret,2015-03-13,18
Germany,52.489891,8.334116,Mergus merganser,Common Merganser,2015-03-13,1
Germany,52.494219,8.311838,Bucephala clangula,Common Goldeneye,2015-03-13,2
Germany,52.45,8.3,Castor fiber,Eurasian Beaver,2015-03-13,1
Germany,52.545255,8.339197,Mergellus albellus,Smew,2015-03-13,2
Germany,52.546445,8.332062,Ardea alba,Great Egret,2015-03-13,2
Germany,52.530265,8.352456,Mergus merganser,Common Merganser,2015-03-13,3
Germany,52.516599,8.362579,Larus marinus,Great Black-backed Gull,2015-03-13,1
Germany,52.489963,8.351749,Ciconia ciconia,White Stork,2015-03-13,2
Germany,52.527289,8.454236,Grus grus,Common Crane,2015-03-13,2
Germany,52.487552,8.442649,Grus grus,Common Crane,2015-03-13,68
Germany,52.55051,8.487013,Grus grus,Common Crane,2015-03-13,100
Germany,52.4206866666667,8.17387333333333,Grus grus,Common Crane,2015-03-13,1
Germany,51.8431654806,6.09263425693,Ichthyaetus melanocephalus,Mediterranean Gull,2015-03-13,1
Germany,52.5162,8.3646,Larus marinus,Great Black-backed Gull,2015-03-13,1
Germany,52.5302,8.3535,Gallinula chloropus,Common Moorhen,2015-03-13,1
Germany,52.5448,8.3339,Mergellus albellus,Smew,2015-03-13,1
Germany,52.5288,8.3108,Grus grus,Common Crane,2015-03-13,1
Germany,52.4939,8.3125,Bucephala clangula,Common Goldeneye,2015-03-13,1
Germany,52.4879,8.3283,Mergus merganser,Common Merganser,2015-03-13,1
Germany,52.4756,8.3234,Gallinago gallinago,Common Snipe,2015-03-13,1
Germany,52.4807,8.3349,Ardea alba,Great Egret,2015-03-13,1
Germany,52.4807,8.3349,Anser anser,Greylag Goose,2015-03-13,1
Germany,52.471,8.3057,Buteo buteo,Common Buzzard,2015-03-13,1
Germany,52.471,8.3054,Ciconia ciconia,White Stork,2015-03-13,1
Germany,52.4689,8.3044,Corvus frugilegus,Rook,2015-03-13,1
Germany,52.4636,8.3032,Cygnus olor,Mute Swan,2015-03-13,1
Germany,52.4573,8.3104,Anser anser,Greylag Goose,2015-03-13,1
Germany,52.4566,8.3115,Anser albifrons,Greater White-fronted Goose,2015-03-13,1
Germany,52.4209,8.1739,Grus grus,Common Crane,2015-03-13,1
Germany,51.755536066124,5.992903232490898,Talpa europaea,Common Mole,2015-03-12,1
Germany,51.75552865306216,5.9929761926638285,Cervus elaphus,Red Deer,2015-03-12,1
Germany,51.75616227229801,5.978655930185409,Cervus elaphus,Red Deer,2015-03-12,1
Germany,51.747627276396265,5.974236987299606,Cervus elaphus,Red Deer,2015-03-12,1
Germany,51.793271145534376,6.093206156565443,Cervus elaphus,Red Deer,2015-03-10,1
Germany,51.78674214363878,6.0116853595120014,Talpa europaea,Common Mole,2015-03-10,1
Germany,51.789728153584576,6.006315091468417,Asplenium trichomanes,Maidenhair Spleenwort,2015-03-10,4
Germany,51.1874533025,8.4693505615,Periparus ater,Coal Tit,2015-03-12,5
Germany,51.1874533025,8.4693505615,Sitta europaea,Eurasian Nuthatch,2015-03-12,1
Germany,52.0454156577,6.6998308897,Phoenicopterus chilensis,Chilean Flamingo,2015-03-13,10
Germany,53.5923360116,6.66930383071,Claytonia perfoliata,Springbeauty,2015-03-13,1
Germany,53.5816621488,6.66798418388,Capreolus capreolus,European Roe Deer,2015-03-13,1
