country,latitude,longitude,scientific_name,vernacular_name,date,count
Ghana,5.20199800995,-1.29375457785,Merops pusillus,Little Bee-eater,2015-02-19,4
Ghana,5.20199800995,-1.29375457785,Merops gularis,Black Bee-eater,2015-02-19,2
Ghana,5.63065060371,-0.166647434453,Pycnonotus barbatus,Common Bulbul,2012-09-02,1
Ghana,5.63065060371,-0.166647434453,Spilopelia senegalensis,Laughing Dove,2012-09-02,1
Ghana,5.63065060371,-0.166647434453,Necrosyrtes monachus,Hooded Vulture,2012-09-02,1
Ghana,5.63065060371,-0.166647434453,Lonchura cucullata,Bronze Mannikin,2012-09-02,1
Ghana,5.63065060371,-0.166647434453,Lamprotornis purpureus,Purple Starling,2012-09-02,2
Ghana,5.63065060371,-0.166647434453,Corvinella corvina,Yellow-billed Shrike,2012-09-02,3
Ghana,5.63065060371,-0.166647434453,Camaroptera brevicaudata,Grey-backed Camaroptera,2012-09-02,2
Ghana,5.62999859028,-0.166842341532,Lybius bidentatus,Double-toothed Barbet,2012-09-02,2
Ghana,5.63043706227,-0.168546438435,Accipiter badius,Shikra,2012-09-02,1
Ghana,5.63043706227,-0.168546438435,Bubulcus ibis,Western Cattle Egret,2012-09-02,5
Ghana,5.63307927609,-0.205686092813,Lamprotornis purpureus,Purple Starling,2012-09-02,10
Ghana,5.63307927609,-0.205686092813,Lophoceros nasutus,African Grey Hornbill,2012-09-02,1
Ghana,5.63307927609,-0.205686092813,Lonchura cucullata,Bronze Mannikin,2012-09-02,1
Ghana,5.63307927609,-0.205686092813,Pycnonotus barbatus,Common Bulbul,2012-09-02,1
Ghana,5.63307927609,-0.205686092813,Spilopelia senegalensis,Laughing Dove,2012-09-02,1
Ghana,5.63307927609,-0.205686092813,Necrosyrtes monachus,Hooded Vulture,2012-09-02,1
Ghana,5.63278743754,-0.197575092752,Lybius bidentatus,Double-toothed Barbet,2012-09-02,2
Ghana,5.63455270372,-0.206544399698,Phoeniculus purpureus,Green Wood Hoopoe,2012-09-02,10
Ghana,5.63316469228,-0.205729008158,Centropus senegalensis,Senegal Coucal,2012-09-02,1
Ghana,5.63316469228,-0.205729008158,Crinifer piscator,Western Plantain-eater,2012-09-02,2
Ghana,5.65985663792,-0.186674595316,Pycnonotus barbatus,Common Bulbul,2012-09-01,1
Ghana,5.65985663792,-0.186674595316,Spilopelia senegalensis,Laughing Dove,2012-09-01,1
Ghana,5.659919,-0.184048,Kaupifalco monogrammicus,Lizard Buzzard,2012-09-01,1
Ghana,5.660654,-0.189574,Lamprotornis purpureus,Purple Starling,2012-09-01,10
Ghana,5.660544,-0.189862,Euplectes hordeaceus,Black-winged Red Bishop,2012-09-01,1
Ghana,5.65993349635,-0.182906615179,Camaroptera brevicaudata,Grey-backed Camaroptera,2012-09-01,1
Ghana,5.659814,-0.188083,Corvinella corvina,Yellow-billed Shrike,2012-09-01,2
Ghana,5.662249,-0.187297,Turdoides plebejus,Brown Babbler,2012-09-01,5
Ghana,5.630198,-0.1686,Centropus senegalensis,Senegal Coucal,2012-09-01,1
Ghana,5.664058,-0.18831,Crinifer piscator,Western Plantain-eater,2012-09-01,1
Ghana,5.664947,-0.188599,Lophoceros nasutus,African Grey Hornbill,2012-09-01,3
Ghana,5.665334,-0.188573,Necrosyrtes monachus,Hooded Vulture,2012-09-01,2
Ghana,5.667161,-0.188669,Bubulcus ibis,Western Cattle Egret,2012-09-01,20
Ghana,5.63060789559,-0.166840553338,Spilopelia senegalensis,Laughing Dove,2012-08-31,1
Ghana,5.63060789559,-0.166840553338,Pycnonotus barbatus,Common Bulbul,2012-08-31,1
Ghana,5.63060789559,-0.166840553338,Crinifer piscator,Western Plantain-eater,2012-08-31,1
Ghana,5.63007404181,-0.165660381372,Poicephalus senegalus,Senegal Parrot,2012-08-31,1
Ghana,5.63046909366,-0.165735483224,Lamprotornis purpureus,Purple Starling,2012-08-31,2
Ghana,5.63107768652,-0.165735483224,Corvinella corvina,Yellow-billed Shrike,2012-08-31,3
Ghana,5.63169695579,-0.16686201101,Lonchura cucullata,Bronze Mannikin,2012-08-31,10
Ghana,5.63071466629,-0.165907144601,Turdoides plebejus,Brown Babbler,2012-08-31,3
Ghana,5.62968966678,-0.16686201101,Lybius bidentatus,Double-toothed Barbet,2012-08-31,1
Ghana,5.63076093337,-0.165735483224,Phoeniculus purpureus,Green Wood Hoopoe,2012-08-31,10
Ghana,5.394677,-0.630801,Bubulcus ibis,Western Cattle Egret,2012-08-30,1
Ghana,5.34698106479,-0.700178148109,Pycnonotus barbatus,Common Bulbul,2012-08-30,1
Ghana,5.34698106479,-0.700178148109,Euplectes macroura,Yellow-mantled Widowbird,2012-08-30,2
Ghana,5.34698106479,-0.700178148109,Euplectes hordeaceus,Black-winged Red Bishop,2012-08-30,1
Ghana,5.34698106479,-0.700178148109,Corvus albus,Pied Crow,2012-08-30,1
Ghana,5.34698106479,-0.700178148109,Laniarius barbarus,Yellow-crowned Gonolek,2012-08-30,1
Ghana,5.34698106479,-0.700178148109,Chlorocichla simplex,Simple Greenbul,2012-08-30,1
Ghana,5.34698106479,-0.700178148109,Crinifer piscator,Western Plantain-eater,2012-08-30,3
Ghana,5.34698106479,-0.700178148109,Spilopelia senegalensis,Laughing Dove,2012-08-30,1
Ghana,5.34698106479,-0.700178148109,Streptopelia semitorquata,Red-eyed Dove,2012-08-30,1
Ghana,5.08230371602,-1.34852528594,Hirundo aethiopica,Ethiopian Swallow,2012-08-30,5
Ghana,5.08237745387,-1.34777694946,Egretta gularis,Western Reef Heron,2012-08-30,2
Ghana,5.17960116794,-1.30928635608,Ceryle rudis,Pied Kingfisher,2012-08-30,2
Ghana,5.17960116794,-1.30928635608,Halcyon senegalensis,Woodland Kingfisher,2012-08-30,2
Ghana,5.17945157756,-1.30934000026,Ploceus aurantius aurantius,Orange Weaver ssp aurantius,2012-08-30,1
Ghana,5.17960116794,-1.30929708492,Ploceus cucullatus,Village Weaver,2012-08-30,1
