country,latitude,longitude,scientific_name,vernacular_name,date,count
Greece,35.3494708242,24.358727932,Ischnura elegans,Common Bluetail,2009-06-20,10
Greece,36.6885879241,24.4434213638,Enallagma cyathigerum,Common Bluet,2006-05-25,1
Greece,35.3348,24.5051,Coenagrion intermedium,Cretan Bluet,2009-06-27,10
Greece,37.22781,21.61846,Rana graeca,Greek Stream Frog,2004-10-08,1
Greece,37.597,22.4375,Testudo hermanni boettgeri,Eastern Hermann's Tortoise,2004-10-02,1
Greece,37.08178,22.313525,Gegenes pumilio,Pigmy Skipper,2004-10-07,1
Greece,37.08178,22.313525,Podarcis peloponnesiacus,Peloponnese Wall Lizard,2004-10-07,1
Greece,36.7013917416,22.5215153422,Euplagia quadripunctaria,Jersey Tiger,2004-10-06,1
Greece,36.8204809641,22.2904291534,Anguis cephallonica,Greek Slow Worm,2004-10-06,1
Greece,36.8204809641,22.2904291534,Pseudopus apodus,European Glass Lizard,2004-10-06,1
Greece,36.65,22.4,Spiranthes spiralis,Autumn Lady's-tresses,2004-10-06,1
Greece,37.35,22.27,Hyles euphorbiae,Spurge Hawk-moth,2004-10-03,1
Greece,36.8324644566,22.3663617857,Agrius convolvuli,Convolvulus Hawkmoth,2004-10-05,1
Greece,36.8233,22.2931,Hellenolacerta graeca,Greek Rock Lizard,2004-10-05,1
Greece,37.5651635296,22.4597749166,Rana graeca,Greek Stream Frog,2004-10-03,1
Greece,35.25906859855451,24.933402775440285,Puffinus yelkouan,Yelkouan Shearwater,2000-05-25,20
Greece,35.25906859855451,24.933402775440285,Puffinus yelkouan,Yelkouan Shearwater,2000-05-24,2
Greece,39.2739256359,26.3653280586,Orthetrum brunneum,Southern Skimmer,2014-06-27,10
Greece,39.2739256359,26.3653280586,Anax imperator,Blue Emperor,2014-06-27,1
Greece,39.2739256359,26.3653280586,Platycnemis pennipes,Blue Featherleg,2014-06-27,50
Greece,39.2739256359,26.3653280586,Sciurus anomalus,Caucasian Squirrel,2014-06-27,3
Greece,39.2739256359,26.3653280586,Megascolia maculata,Mammoth Wasp,2014-06-27,5
Greece,39.2739256359,26.3653280586,Xylocopa violacea,Violet Carpenter Bee,2014-06-27,100
Greece,39.2762511363,26.3601353019,Gonepteryx cleopatra,Cleopatra,2014-06-27,1
Greece,39.2762511363,26.3601353019,Hipparchia fatua,Freyer's Grayling,2014-06-27,1
Greece,39.2762511363,26.3601353019,Maniola telmessia,Aegean Meadow Brown,2014-06-27,10
Greece,39.2762511363,26.3601353019,Coenonympha pamphilus,Small Heath,2014-06-27,1
Greece,39.2762511363,26.3601353019,Pieris brassicae,Large White,2014-06-27,10
Greece,39.2762511363,26.3601353019,Lanius senator,Woodchat Shrike,2014-06-27,1
Greece,39.2762511363,26.3601353019,Sitta neumayer,Western Rock Nuthatch,2014-06-27,1
Greece,39.2762511363,26.3601353019,Parus major,Great Tit,2014-06-27,10
Greece,39.2762511363,26.3601353019,Sylvia cantillans,Subalpine Warbler,2014-06-27,1
Greece,39.2762511363,26.3601353019,Circaetus gallicus,Short-toed Snake Eagle,2014-06-27,2
Greece,39.2762511363,26.3601353019,Hirundo rustica,Barn Swallow,2014-06-27,10
Greece,39.2762511363,26.3601353019,Buteo buteo,Common Buzzard,2014-06-27,2
Greece,39.2762511363,26.3601353019,Carduelis carduelis,European Goldfinch,2014-06-27,10
Greece,39.2762511363,26.3601353019,Emberiza cirlus,Cirl Bunting,2014-06-27,5
Greece,39.2762511363,26.3601353019,Galerida cristata,Crested Lark,2014-06-27,2
Greece,39.3239610242,26.3046187721,Emberiza cirlus,Cirl Bunting,2014-06-27,1
Greece,39.3239610242,26.3046187721,Streptopelia turtur,European Turtle Dove,2014-06-27,1
Greece,35.4755245168,23.9306044579,Ceriagrion tenellum,Small Red Damselfly,2009-06-26,5
Greece,37.6812900371,26.842110157,Calopteryx virgo festiva,Beautiful Demoiselle (ssp. festiva),2009-10-20,10
Greece,39.3298783617,26.1777180992,Vanessa cardui,Painted Lady,2014-06-25,3
Greece,39.3,26.15,Iphiclides podalirius,Scarce Swallowtail,2014-06-25,1
Greece,39.3298783617,26.1777180992,Apus apus,Common Swift,2014-06-25,10
Greece,39.3298783617,26.1777180992,Phalacrocorax aristotelis,European Shag,2014-06-25,2
Greece,39.25,26.1,Vulpes vulpes,Red Fox,2014-06-24,1
Greece,39.1720431087,25.9163851105,Megascolia maculata,Mammoth Wasp,2014-06-24,1
Greece,39.1720431087,25.9163851105,Vanessa cardui,Painted Lady,2014-06-24,200
Greece,39.1720431087,25.9163851105,Sitta neumayer,Western Rock Nuthatch,2014-06-24,2
Greece,39.1720431087,25.9163851105,Oenanthe melanoleuca,Eastern Black-eared Wheatear,2014-06-24,1
Greece,39.1720431087,25.9163851105,Linaria cannabina,Common Linnet,2014-06-24,4
Greece,39.1720431087,25.9163851105,Galerida cristata,Crested Lark,2014-06-24,2
Greece,39.1707950087,25.8731178939,Iduna pallida,Eastern Olivaceous Warbler,2014-06-24,2
Greece,39.1707950087,25.8731178939,Merops apiaster,European Bee-eater,2014-06-24,4
Greece,39.1707950087,25.8731178939,Delichon urbicum,Common House Martin,2014-06-24,2
Greece,39.1707950087,25.8731178939,Hirundo rustica,Barn Swallow,2014-06-24,10
Greece,39.1707950087,25.8731178939,Corvus cornix,Hooded Crow,2014-06-24,2
Greece,39.1707950087,25.8731178939,Emberiza melanocephala,Black-headed Bunting,2014-06-24,10
Greece,39.1707950087,25.8731178939,Emberiza melanocephala,Black-headed Bunting,2014-06-24,3
Greece,39.1707950087,25.8731178939,Oenanthe melanoleuca,Eastern Black-eared Wheatear,2014-06-24,2
Greece,39.1707950087,25.8731178939,Galerida cristata,Crested Lark,2014-06-24,10
Greece,39.1707950087,25.8731178939,Orthetrum coerulescens,Keeled Skimmer,2014-06-24,1
Greece,39.1707950087,25.8731178939,Megascolia maculata,Mammoth Wasp,2014-06-24,2
Greece,39.1707950087,25.8731178939,Vanessa cardui,Painted Lady,2014-06-24,500
Greece,39.2268993559,25.8595669274,Caprimulgus europaeus,European Nightjar,2013-05-04,1
Greece,39.18340214685,25.86293583293621,Athene noctua,Little Owl,2013-05-04,1
Greece,39.18340214685,25.86293583293621,Saxicola rubicola,European Stonechat,2013-05-04,1
Greece,39.1747751619,25.8847367761,Ficedula parva,Red-breasted Flycatcher,2013-05-04,1
Greece,39.1746004997,25.8849513529,Ficedula albicollis,Collared Flycatcher,2013-05-04,2
Greece,39.1736024217,25.8847367761,Lycaena phlaeas,Small Copper,2013-05-04,2
Greece,39.1732724982,25.8844363687,Cercotrichas galactotes,Rufous-tailed Scrub Robin,2013-05-04,4
Greece,39.174741894,25.8847367755,Muscicapa striata,Spotted Flycatcher,2013-05-01,1
Greece,39.174741894,25.8847367755,Jynx torquilla,Eurasian Wryneck,2013-05-01,1
Greece,39.1748527877,25.8843934527,Streptopelia turtur,European Turtle Dove,2013-05-01,1
Greece,39.1742539448,25.8857774726,Lycaena phlaeas,Small Copper,2013-05-01,1
Greece,39.1742539448,25.8857774726,Vanessa cardui,Painted Lady,2013-05-01,1
Greece,39.2040518307,25.853247639,Lanius collurio,Red-backed Shrike,2013-05-01,1
Greece,39.2040518307,25.853247639,Emberiza melanocephala,Black-headed Bunting,2013-05-01,1
Greece,39.2040518307,25.853247639,Lanius minor,Lesser Grey Shrike,2013-05-01,1
Greece,39.2040518307,25.853247639,Saxicola rubicola,European Stonechat,2013-05-01,2
