country,latitude,longitude,scientific_name,vernacular_name,date,count
Hungary,47.632681506919496,21.079201969293003,Ardeola ralloides,Squacco Heron,1989-07-13,1
Hungary,47.632681506919496,21.079201969293003,Falco vespertinus,Red-footed Falcon,1989-07-13,1
Hungary,48.4713261709,20.532476306,Lanius collurio,Red-backed Shrike,1989-07-11,1
Hungary,48.4590331377,20.6984728575,Jynx torquilla,Eurasian Wryneck,1989-07-10,1
Hungary,48.4716676016,20.5331629515,Lanius collurio,Red-backed Shrike,1989-07-09,1
Hungary,48.45,20.55,Apatura ilia,Lesser Purple Emperor,1989-07-09,1
Hungary,48.47305631,20.49440872,Colias crocea,Clouded Yellow,1989-07-09,1
Hungary,48.473056307,20.4944087192,Melanargia galathea,Marbled White,1989-07-09,1
Hungary,48.473056307,20.4944087192,Lanius collurio,Red-backed Shrike,1989-07-09,1
Hungary,48.4720674904,20.4930283874,Lanius collurio,Red-backed Shrike,1989-07-08,1
Hungary,47.8110758464,17.5027120113,Leptinotarsa decemlineata,Colorado Beetle,1989-07-03,1
Hungary,47.85,17.45,Epipactis palustris,Marsh Helleborine,1989-07-03,1
Hungary,46.21391463,20.46844792,Bufotes viridis,Green Toad,2015-02-22,1
Hungary,47.8621242016,17.4646005034,Episyrphus balteatus,Marmalade hoverfly,1989-07-02,1
Hungary,47.0576,20.8013,Pica pica,Eurasian Magpie,2015-02-10,1
Hungary,48,20.6,Brenthis daphne,Marbled Fritillary,2010-06-15,2
Hungary,47.95,20.6,Boloria selene,Small Pearl-bordered Fritillary,2010-06-18,1
Hungary,47.9842,20.6304,Thymelicus lineola,Essex Skipper,2010-06-15,100
Hungary,47.9842,20.6304,Cupido decoloratus,Eastern Short-tailed Blue,2010-06-15,1
Hungary,47.7,20.7,Coenonympha glycerion,Chestnut Heath,2010-06-14,1
Hungary,48.45,20.5,Cupido argiades,Short-tailed Blue,2010-06-17,1
Hungary,48.45,20.5,Limenitis populi,Poplar Admiral,2010-06-17,1
Hungary,48.4939001031,20.5412364006,Colias hyale,Pale Clouded Yellow,2010-06-17,1
Hungary,47.9841770318,20.6328392029,Bombina bombina,Fire-bellied toad,2010-06-15,1
