country,latitude,longitude,scientific_name,vernacular_name,date,count
Iceland,66.0727231305,-23.1316852587,Tringa totanus,Common Redshank,2015-03-13,4
Iceland,66.0695597794,-23.1134605443,Calidris maritima,Purple Sandpiper,2015-03-09,30
Iceland,66.0592755922,-23.166160587,Phoca vitulina,Harbour Seal,2015-03-09,28
Iceland,66.0719967313,-23.1115722691,Fulmarus glacialis,Northern Fulmar,2015-03-09,50
Iceland,66.0685153,-23.1508827244,Tringa totanus,Common Redshank,2015-03-09,1
Iceland,66.071880692,-23.1119155919,Fulmarus glacialis,Northern Fulmar,2015-03-08,2
Iceland,66.077380407,-23.1148338353,Fulmarus glacialis,Northern Fulmar,2015-03-08,7
Iceland,66.062786148,-23.1762886056,Tringa totanus,Common Redshank,2015-03-06,4
Iceland,64.908912,-23.794389,Mergus serrator,Red-breasted Merganser,2013-06-11,2
Iceland,64.910751,-23.797737,Histrionicus histrionicus,Harlequin Duck,2013-06-11,2
Iceland,64.867904,-24.039758,Uria lomvia,Thick-billed Murre,2013-06-11,12
Iceland,64.867912,-24.039823,Fratercula arctica,Atlantic Puffin,2013-06-11,1
Iceland,64.867912,-24.039823,Fulmarus glacialis,Northern Fulmar,2013-06-11,1
Iceland,64.867935,-24.039844,Uria aalge,Common Murre,2013-06-11,1
Iceland,64.867935,-24.039844,Alca torda,Razorbill,2013-06-11,1
Iceland,64.867927,-24.039823,Uria aalge,Common Murre,2013-06-11,1
Iceland,64.867828,-24.039802,Sterna paradisaea,Arctic Tern,2013-06-11,1
Iceland,64.862129,-24.038965,Plectrophenax nivalis,Snow Bunting,2013-06-11,2
Iceland,64.895828,-23.705211,Somateria mollissima borealis,Common Eider ssp borealis,2013-06-11,2
Iceland,64.895843,-23.705341,Haematopus ostralegus,Eurasian Oystercatcher,2013-06-11,1
Iceland,64.729858,-23.809989,Larus hyperboreus,Glaucous Gull,2013-06-11,1
Iceland,64.76564,-23.627105,Gallinago gallinago,Common Snipe,2013-06-11,1
Iceland,64.764328,-23.62556,Histrionicus histrionicus,Harlequin Duck,2013-06-11,5
Iceland,64.903327,-23.580371,Lagopus muta,Rock Ptarmigan,2013-06-13,2
Iceland,64.929458,-23.509174,Numenius phaeopus,Eurasian Whimbrel,2013-06-13,1
Iceland,65.456726,-19.235601,Anser brachyrhynchus,Pink-footed Goose,2013-06-13,7
Iceland,65.674636,-18.094009,Acanthis flammea flammea,Common Redpoll ssp flammea,2013-06-13,1
Iceland,65.675315,-18.093774,Turdus merula,Common Blackbird,2013-06-13,1
Iceland,65.676193,-18.092615,Acanthis flammea flammea,Common Redpoll ssp flammea,2013-06-14,5
Iceland,66.046638,-17.359106,Larus glaucoides,Iceland Gull,2013-06-14,1
Iceland,64.889633,-23.634723,Stercorarius parasiticus,Parasitic Jaeger,2013-06-12,3
Iceland,64.9094575703,-23.7944841387,Aythya fuligula,Tufted Duck,2013-06-11,7
Iceland,65.5284458545,-13.8152503969,Limosa limosa islandica,Icelandic Black-tailed Godwit,2013-06-16,4
Iceland,65.5284151886,-13.8152575494,Calidris maritima,Purple Sandpiper,2013-06-16,2
Iceland,65.64548947,-16.9135522847,Turdus iliacus coburni,Icelandic Redwing,2013-06-16,1
Iceland,64.546928,-21.910234,Tadorna tadorna,Common Shelduck,2013-06-17,1
Iceland,65.644401,-16.919673,Plectrophenax nivalis insulae,Snow Bunting ssp insulae,2013-06-16,1
Iceland,65.540603,-13.754174,Stercorarius skua,Great Skua,2013-06-16,1
