country,latitude,longitude,scientific_name,vernacular_name,date,count
India,17.515436854,78.5211273562,Apus affinis affinis,Little Swift ssp affinis,2015-03-11,1
India,9.86028989426,76.3405609131,Sousa chinensis,Indo-Pacific Humpback Dolphin,2015-03-13,1
India,9.9685124691,76.2746429443,Dinopium benghalense,Black-rumped Flameback,2015-03-10,1
India,9.68706000345,76.3845062256,Loriculus vernalis,Vernal Hanging Parrot,2015-03-13,1
India,21.1484833472,70.8760093676,Axis axis,Chital,2015-01-31,25
India,21.1920456684,70.6540778159,Canis aureus,Golden Jackal,2015-02-01,3
India,21.1920456684,70.6540778159,Semnopithecus dussumieri,Southern Plains Grey Langur,2015-02-01,15
India,21.1920456684,70.6540778159,Acridotheres tristis,Common Myna,2015-02-01,4
India,21.1920456684,70.6540778159,Corvus culminatus,Indian Jungle Crow,2015-02-01,20
India,21.1920456684,70.6540778159,Rhipidura aureola,White-browed Fantail,2015-02-01,1
India,21.1920456684,70.6540778159,Copsychus fulicatus,Indian Robin,2015-02-01,5
India,21.1920456684,70.6540778159,Copsychus saularis,Oriental Magpie-Robin,2015-02-01,5
India,21.1920456684,70.6540778159,Ficedula parva,Red-breasted Flycatcher,2015-02-01,5
India,21.1920456684,70.6540778159,Orthotomus sutorius,Common Tailorbird,2015-02-01,2
India,21.1920456684,70.6540778159,Anthus trivialis,Tree Pipit,2015-02-01,5
India,21.1920456684,70.6540778159,Motacilla cinerea,Grey Wagtail,2015-02-01,2
India,21.1920456684,70.6540778159,Ptyonoprogne concolor,Dusky Crag Martin,2015-02-01,10
India,21.1920456684,70.6540778159,Merops orientalis orientalis,Green Bee-eater ssp orientalis,2015-02-01,15
India,21.1933929056,70.6621029852,Alcedo atthis,Common Kingfisher,2015-02-01,1
India,21.1933929056,70.6621029852,Psittacula cyanocephala,Plum-headed Parakeet,2015-02-01,4
India,21.192232529,70.6479409229,Nisaetus cirrhatus,Changeable Hawk-Eagle,2015-02-01,2
India,21.192232529,70.6479409229,Butastur teesa,White-eyed Buzzard,2015-02-01,3
