country,latitude,longitude,scientific_name,vernacular_name,date,count
Indonesia,-6.11491429419,106.768448354,Treron vernans,Pink-necked Green Pigeon,2015-02-21,1
Indonesia,-6.11547947,106.7693338,Yungipicus moluccensis,Sunda Pygmy Woodpecker,2015-02-21,6
Indonesia,-6.11491429419,106.768448354,Pycnonotus atriceps,Black-headed Bulbul,2015-02-21,1
Indonesia,-6.10092650481,106.785336115,Phalacrocorax sulcirostris,Little Black Cormorant,2015-02-21,10
Indonesia,-6.11807941874,106.774306441,Ixobrychus flavicollis,Black Bittern,2015-02-21,1
Indonesia,-6.11427465279,106.763277196,Fregata andrewsi,Christmas Frigatebird,2015-02-21,1
Indonesia,0.421509278414,127.904844582,Thapsinillas longirostris,Northern Golden Bulbul,2015-02-22,2
Indonesia,-6.10515295894,106.767102202,Centropus nigrorufus,Sunda Coucal,2015-02-21,1
Indonesia,-6.11577483087,106.768383981,Centropus nigrorufus,Sunda Coucal,2015-02-21,1
Indonesia,-6.11411399237,106.768818816,Fregata andrewsi,Christmas Frigatebird,2015-02-21,4
Indonesia,0.442195317154,127.884063714,Geoffroyus geoffroyi,Red-cheeked Parrot,2015-02-23,10
Indonesia,0.45782871,127.87984983,Rhyticeros plicatus,Blyth's Hornbill,2015-02-23,10
Indonesia,0.460373853204,127.878328322,Caloenas nicobarica,Nicobar Pigeon,2015-02-24,2
Indonesia,0.393696546688,127.892932888,Todiramphus funebris,Sombre Kingfisher,2015-02-23,1
Indonesia,0.40926271655200003,127.902449445,Todiramphus diops,Blue-and-white Kingfisher,2015-02-23,2
Indonesia,-6.12,106.76,Acridotheres melanopterus,Black-winged Starling,2015-02-21,2
Indonesia,0.39736585,127.89723461,Hemiprocne mystacea,Moustached Treeswift,2015-02-26,1
Indonesia,0.43544601,127.88522485,Ptilinopus hyogastrus,Grey-headed Fruit Dove,2015-02-24,1
Indonesia,0.43544562,127.88522711,Ducula basilica,Cinnamon-bellied Imperial Pigeon,2015-02-24,1
Indonesia,0.46153253,127.87963724,Ducula basilica,Cinnamon-bellied Imperial Pigeon,2015-02-24,2
Indonesia,0.46153256,127.87963719,Ducula perspicillata,Spectacled Imperial Pigeon,2015-02-24,3
Indonesia,0.46153259,127.87963714,Ptilinopus bernsteinii bernsteinii,Scarlet-breasted Fruit Dove ssp bernsteinii,2015-02-24,1
Indonesia,0.46153266,127.87963709,Todiramphus funebris,Sombre Kingfisher,2015-02-24,2
Indonesia,0.46153268,127.87963703,Megapodius freycinet,Dusky Megapode,2015-02-24,2
Indonesia,0.46153271,127.87963696,Geoffroyus geoffroyi,Red-cheeked Parrot,2015-02-24,8
Indonesia,0.46153271,127.87963697,Lycocorax pyrrhopterus,Paradise-crow,2015-02-24,4
Indonesia,0.4615327,127.87963695,Pitta maxima,Ivory-breasted Pitta,2015-02-24,2
Indonesia,0.46153271,127.87963695,Ptilinopus hyogastrus,Grey-headed Fruit Dove,2015-02-24,2
Indonesia,0.50157663,128.01360336,Megapodius freycinet,Dusky Megapode,2015-02-25,1
Indonesia,0.51942222,128.00062915,Ducula basilica,Cinnamon-bellied Imperial Pigeon,2015-02-25,1
Indonesia,0.53809576,128.00089421,Ducula basilica,Cinnamon-bellied Imperial Pigeon,2015-02-25,1
Indonesia,0.55342444,127.98511507,Phylloscopus poliocephalus,Island Leaf Warbler,2015-02-25,3
Indonesia,0.55419772,127.98662663,Ducula basilica,Cinnamon-bellied Imperial Pigeon,2015-02-25,3
Indonesia,0.55419759,127.98662687,Ducula perspicillata,Spectacled Imperial Pigeon,2015-02-25,1
Indonesia,0.55419778,127.98662721,Phylloscopus poliocephalus,Island Leaf Warbler,2015-02-25,1
Indonesia,0.5528639,127.9884478,Pachycephala mentalis,Black-chinned Whistler,2015-02-25,1
Indonesia,0.55322678,127.98823338,Semioptera wallacii,Standardwing,2015-02-25,1
Indonesia,0.5530241,127.9883668,Lorius garrulus,Chattering Lory,2015-02-25,2
Indonesia,0.55422408,127.98764574,Pachycephala mentalis,Black-chinned Whistler,2015-02-25,4
Indonesia,0.55037061,127.99144594,Rhipidura rufifrons torrida,Rufous Fantail ssp torrida,2015-02-25,3
Indonesia,0.55037052,127.99144575,Phylloscopus poliocephalus,Island Leaf Warbler,2015-02-25,5
Indonesia,0.51342219,128.00563279,Ptilinopus monacha,Blue-capped Fruit Dove,2015-02-25,1
Indonesia,0.5111072,128.00694266,Carterornis pileatus,White-naped Monarch,2015-02-25,2
Indonesia,0.50664529,128.00867087,Ptilinopus bernsteinii bernsteinii,Scarlet-breasted Fruit Dove ssp bernsteinii,2015-02-25,2
