country,latitude,longitude,scientific_name,vernacular_name,date,count
Ireland,53.2933902926,-6.13150477366,Sturnus vulgaris,Common Starling,2015-03-07,1
Ireland,53.2923787664,-6.12924814202,Motacilla alba yarrellii,Pied Wagtail,2015-03-07,1
Ireland,53.2926160455,-6.12945198991,Motacilla cinerea,Grey Wagtail,2015-03-07,1
Ireland,53.2926160455,-6.12887799718,Chroicocephalus ridibundus,Black-headed Gull,2015-03-07,1
Ireland,53.2924813737,-6.12919986226,Arenaria interpres,Ruddy Turnstone,2015-03-07,10
Ireland,53.2923114302,-6.12902820088,Tringa totanus,Common Redshank,2015-03-07,1
Ireland,53.2876979,-6.12730443483,Troglodytes troglodytes,Eurasian Wren,2015-03-07,1
Ireland,53.2414564282,-6.11366987141,Larus michahellis,Yellow-legged Gull,2015-03-09,1
Ireland,53.3589972342,-6.21589422237,Mergus serrator,Red-breasted Merganser,2015-03-08,2
Ireland,53.3598296112,-6.22106552037,Larus argentatus argenteus,European Herring Gull ssp argenteus,2015-03-08,1
Ireland,53.3598296112,-6.22106552037,Chroicocephalus ridibundus,Black-headed Gull,2015-03-08,1
Ireland,53.3598296112,-6.22106552037,Larus fuscus graellsii,Lesser Black-backed Gull ssp graellsii,2015-03-08,3
Ireland,53.3598296112,-6.22106552037,Larus marinus,Great Black-backed Gull,2015-03-08,1
Ireland,53.35,-6.25,Branta bernicla hrota,Pale-bellied Brent Goose,2015-03-08,159
Ireland,53.3598513806,-6.20458960555,Pica pica,Eurasian Magpie,2015-03-08,1
Ireland,53.3598513806,-6.20458960555,Corvus cornix,Hooded Crow,2015-03-08,1
Ireland,53.3566340494,-6.20284080593,Cepphus grylle,Black Guillemot,2015-03-08,2
Ireland,53.3566340494,-6.20284080593,Mergus serrator,Red-breasted Merganser,2015-03-08,8
Ireland,53.3597241776,-6.20487928396,Motacilla alba yarrellii,Pied Wagtail,2015-03-08,1
Ireland,53.3598842486,-6.20483636862,Sturnus vulgaris,Common Starling,2015-03-08,4
Ireland,53.3593814103,-6.20529413234,Chroicocephalus ridibundus,Black-headed Gull,2015-03-08,10
Ireland,53.3553644661,-6.21048688932,Anas crecca,Eurasian Teal,2015-03-08,1
Ireland,53.35,-6.25,Branta bernicla hrota,Pale-bellied Brent Goose,2015-03-08,10
Ireland,53.3552748169,-6.21061563535,Tringa totanus,Common Redshank,2015-03-08,100
