country,latitude,longitude,scientific_name,vernacular_name,date,count
Israel,29.5588994726,34.9702548981,Himantopus himantopus,Black-winged Stilt,1995-03-20,30
Israel,29.5476252227,34.9602985382,Ceryle rudis,Pied Kingfisher,1995-03-20,1
Israel,29.5752486327,34.8932647705,Upupa epops,Eurasian Hoopoe,1995-03-19,2
Israel,29.5752486327,34.8932647705,Sylvia curruca,Lesser Whitethroat,1995-03-19,1
Israel,29.5752486327,34.8932647705,Argya squamiceps,Arabian Babbler,1995-03-19,5
Israel,29.5752486327,34.8932647705,Oenanthe leucopyga,White-crowned Wheatear,1995-03-19,1
Israel,29.5677835911,34.8932647705,Onychognathus tristramii,Tristram's Starling,1995-03-19,2
Israel,29.5677835911,34.8932647705,Pycnonotus xanthopygos,White-spectacled Bulbul,1995-03-19,1
Israel,29.5677835911,34.8932647705,Lanius nubicus,Masked Shrike,1995-03-19,1
Israel,29.54,34.97,Corvus splendens,House Crow,1995-03-19,10
Israel,29.6212211138,34.9947166443,Upupa epops,Eurasian Hoopoe,1995-03-19,2
Israel,29.6212211138,34.9947166443,Recurvirostra avosetta,Pied Avocet,1995-03-19,6
Israel,29.6212211138,34.9947166443,Egretta garzetta,Little Egret,1995-03-19,1
Israel,29.6212211138,34.9947166443,Motacilla flava,Western Yellow Wagtail,1995-03-19,1
Israel,29.6212211138,34.9947166443,Spilopelia senegalensis,Laughing Dove,1995-03-19,1
Israel,29.6212211138,34.9947166443,Motacilla flava feldegg,Black-headed Wagtail,1995-03-19,15
Israel,29.6212211138,34.9947166443,Luscinia svecica,Bluethroat,1995-03-19,4
Israel,29.6212211138,34.9947166443,Argya squamiceps,Arabian Babbler,1995-03-19,6
Israel,29.6212211138,34.9947166443,Ardea cinerea,Grey Heron,1995-03-19,12
Israel,29.6212211138,34.9947166443,Jynx torquilla,Eurasian Wryneck,1995-03-19,1
Israel,29.6212211138,34.9947166443,Himantopus himantopus,Black-winged Stilt,1995-03-19,45
Israel,29.5645734536,34.9718856812,Lanius senator,Woodchat Shrike,1995-03-19,1
Israel,29.5645734536,34.9718856812,Vanellus spinosus,Spur-winged Lapwing,1995-03-19,10
Israel,29.575164654,34.9780118465,Upupa epops,Eurasian Hoopoe,1995-03-19,1
Israel,30.79230192,34.47053657,Corvus cornix,Hooded Crow,2015-03-10,1
Israel,30.79141326,34.46844119,Emberiza calandra,Corn Bunting,2015-03-10,1
Israel,30.79192924,34.46867901,Sylvia curruca,Lesser Whitethroat,2015-03-10,1
Israel,30.79379142,34.46750263,Turdus merula,Common Blackbird,2015-03-10,1
Israel,30.80423148,34.47061763,Alectoris chukar,Chukar Partridge,2015-03-10,1
Israel,30.81460646,34.47045356,Argya squamiceps,Arabian Babbler,2015-03-10,3
Israel,30.8309092,34.46602927,Oenanthe isabellina,Isabelline Wheatear,2015-03-10,1
Israel,30.83930025,34.45983592,Galerida cristata,Crested Lark,2015-03-10,1
Israel,30.84792347,34.45340344,Sylvia ruppeli,Rüppell's Warbler,2015-03-10,1
Israel,30.88373999,34.42061546,Chloris chloris,European Greenfinch,2015-03-10,1
Israel,30.87258599,34.78877395,Prinia gracilis,Graceful Prinia,2015-03-10,1
Israel,30.85043982,34.77896716,Neophron percnopterus,Egyptian Vulture,2015-03-10,1
Israel,30.85044014,34.77896894,Corvus ruficollis,Brown-necked Raven,2015-03-10,1
Israel,30.82318453,34.76207295,Onychognathus tristramii,Tristram's Starling,2015-03-10,1
Israel,30.82321723,34.76206759,Tachymarptis melba,Alpine Swift,2015-03-10,1
Israel,29.55368238,34.95305871,Motacilla alba,White Wagtail,2015-03-11,1
Israel,29.55150826,34.95751773,Phylloscopus collybita,Common Chiffchaff,2015-03-11,1
Israel,29.55150826,34.95751773,Sylvia curruca,Lesser Whitethroat,2015-03-11,1
Israel,29.55150826,34.95751773,Passer hispaniolensis,Spanish Sparrow,2015-03-11,1
Israel,29.54533778,34.97139184,Chroicocephalus ridibundus,Black-headed Gull,2015-03-11,1
Israel,29.54535291,34.97132497,Egretta gularis,Western Reef Heron,2015-03-11,1
Israel,29.54564799,34.97150894,Chroicocephalus genei,Slender-billed Gull,2015-03-11,1
Israel,29.54,34.97,Corvus splendens,House Crow,2015-03-11,1
Israel,29.57549547,34.95860947,Sylvia ruppeli,Rüppell's Warbler,2015-03-11,1
Israel,29.57548407,34.95858686,Phylloscopus collybita,Common Chiffchaff,2015-03-11,1
Israel,29.57548768,34.95859211,Sylvia curruca,Lesser Whitethroat,2015-03-11,1
Israel,29.57550181,34.95860091,Spilopelia senegalensis,Laughing Dove,2015-03-11,1
Israel,29.57670641,34.95728045,Cercotrichas podobe,Black Scrub Robin,2015-03-11,1
Israel,29.57611212,34.95785297,Oenanthe melanura,Blackstart,2015-03-11,1
Israel,29.57761654,34.95680133,Phylloscopus trochilus,Willow Warbler,2015-03-11,1
Israel,29.57563047,34.95829231,Ammoperdix heyi,Sand Partridge,2015-03-11,1
Israel,29.57145325,34.9725938,Tringa totanus,Common Redshank,2015-03-11,1
Israel,29.57144485,34.97257061,Himantopus himantopus,Black-winged Stilt,2015-03-11,1
Israel,29.57242015,34.97232711,Luscinia svecica,Bluethroat,2015-03-11,1
Israel,29.572272860000002,34.97262904,Circus aeruginosus,Western Marsh Harrier,2015-03-11,1
Israel,29.57223354,34.97269059,Merops orientalis,Green Bee-eater,2015-03-11,2
Israel,29.62359832,34.99772738,Tringa stagnatilis,Marsh Sandpiper,2015-03-11,1
Israel,29.62388699,34.99811782,Tringa nebularia,Common Greenshank,2015-03-11,1
Israel,29.62388699,34.99811782,Calidris pugnax,Ruff,2015-03-11,1
Israel,29.62388699,34.99811782,Spatula clypeata,Northern Shoveler,2015-03-11,1
Israel,29.62388699,34.99811782,Phoenicopterus roseus,Greater Flamingo,2015-03-11,1
Israel,29.62321833,34.99928021,Ardea cinerea,Grey Heron,2015-03-11,1
Israel,29.62326819,34.99926461,Motacilla citreola,Citrine Wagtail,2015-03-11,1
Israel,29.62326819,34.99926461,Motacilla flava feldegg,Black-headed Wagtail,2015-03-11,1
Israel,29.62308445,34.99973074,Charadrius dubius,Little Ringed Plover,2015-03-11,1
Israel,29.6230804,34.99973168,Calidris minuta,Little Stint,2015-03-11,1
Israel,29.63476223,35.00478664,Recurvirostra avosetta,Pied Avocet,2015-03-11,1
Israel,29.63476336,35.00478532,Tadorna tadorna,Common Shelduck,2015-03-11,1
Israel,29.63444609,35.00155734,Anas acuta,Northern Pintail,2015-03-11,1
Israel,29.57319737,34.95977726,Phylloscopus collybita,Common Chiffchaff,2015-03-12,1
Israel,29.57320117,34.95974048,Prinia gracilis,Graceful Prinia,2015-03-12,1
Israel,29.57484946,34.95873908,Argya squamiceps,Arabian Babbler,2015-03-12,3
Israel,29.57550849,34.95860537,Sylvia curruca,Lesser Whitethroat,2015-03-12,1
Israel,29.57603565,34.95792486,Oenanthe melanura,Blackstart,2015-03-12,1
Israel,29.57669051,34.95726312,Ammoperdix heyi,Sand Partridge,2015-03-12,1
Israel,29.57813788,34.95702162,Cecropis daurica,Red-rumped Swallow,2015-03-12,1
Israel,29.5761621,34.95800906,Apus pallidus,Pallid Swift,2015-03-12,1
Israel,29.57622506,34.95823767,Streptopelia decaocto,Eurasian Collared Dove,2015-03-12,1
Israel,29.57622722,34.9582342,Spilopelia senegalensis,Laughing Dove,2015-03-12,1
Israel,29.57619896,34.95825015,Passer domesticus,House Sparrow,2015-03-12,1
Israel,29.57576392,34.95864258,Sylvia crassirostris,Eastern Orphean Warbler,2015-03-12,1
