country,latitude,longitude,scientific_name,vernacular_name,date,count
Jan Mayen,78.2359959033,15.5802226067,Somateria mollissima,Common Eider,2015-03-07,2
Jan Mayen,78.2308516557,15.5905169249,Cepphus grylle,Black Guillemot,2015-03-07,3
Jan Mayen,76.465961,-8.017527,Balaena mysticetus,Bowhead Whale,2013-06-14,1
Jan Mayen,76,-6.3,Pagophila eburnea,Ivory Gull,2013-06-15,1
Jan Mayen,76.527061,0.032958,Stercorarius pomarinus,Pomarine Jaeger,2013-06-15,1
Jan Mayen,78.4414,11.8844,Calidris canutus,Red Knot,2014-06-16,1
Jan Mayen,78.4415,11.8849,Gavia stellata,Red-throated Diver,2014-06-16,2
Jan Mayen,78.4421,11.8865,Phalaropus fulicarius,Red Phalarope,2014-06-16,4
Jan Mayen,78.9564,12.112,Lagopus muta hyperborea,Svalbard Rock Ptarmigan,2014-06-15,1
Jan Mayen,79.5856,10.715,Odobenus rosmarus,Walrus,2014-06-15,1
Jan Mayen,79.5856,10.715,Erignathus barbatus,Bearded Seal,2014-06-15,1
Jan Mayen,79.7786,9.9913,Delphinapterus leucas,Beluga Whale,2014-06-14,2
Jan Mayen,76.9756,1.66,Balaenoptera physalus,Fin Whale,2014-06-13,1
Jan Mayen,78.2082382939,15.5850505829,Cassiope tetragona,White arctic mountain heather,2015-02-28,1
Jan Mayen,77.4821026039,14.6814250946,Saxifraga cespitosa,Tufted Saxifrage,2002-06-28,1
Jan Mayen,77.4821026039,14.6814250946,Dryas octopetala,Mountain Avens,2002-06-28,1
Jan Mayen,78.8838083611,10.5652427673,Saxifraga oppositifolia,Purple Saxifrage,2002-06-27,1
Jan Mayen,79.9311024686,13.5864830017,Ursus maritimus,Polar Bear,2002-06-25,1
Jan Mayen,78.2144019999,15.6244468689,Rangifer tarandus platyrhynchus,Svalbard Reindeer,2015-02-14,6
