country,latitude,longitude,scientific_name,vernacular_name,date,count
Kenya,0.557629743029,37.5830886816,Campethera nubica,Nubian Woodpecker,2015-02-20,1
Kenya,0.557629743029,37.5830886816,Poicephalus rufiventris,Red-bellied parrot,2015-02-20,2
Kenya,0.557629743029,37.5830886816,Acryllium vulturinum,Vulturine Guineafowl,2015-02-20,8
Kenya,0.557629743029,37.5830886816,Vanellus spinosus,Spur-winged Lapwing,2015-02-20,5
Kenya,0.557629743029,37.5830886816,Numida meleagris,Helmeted Guineafowl,2015-02-20,50
Kenya,0.557629743029,37.5830886816,Corythaixoides leucogaster,White-bellied Go-away-bird,2015-02-20,1
Kenya,0.557629743029,37.5830886816,Columba guinea,Speckled Pigeon,2015-02-20,1
Kenya,0.557629743029,37.5830886816,Oena capensis,Namaqua Dove,2015-02-20,5
Kenya,0.557629743029,37.5830886816,Ardea melanocephala,Black-headed Heron,2015-02-20,1
Kenya,0.557629743029,37.5830886816,Lamprotornis superbus,Superb Starling,2015-02-20,25
Kenya,0.557629743029,37.5830886816,Actitis hypoleucos,Common Sandpiper,2015-02-20,1
Kenya,0.557629743029,37.5830886816,Pycnonotus tricolor,Dark-capped Bulbul,2015-02-20,25
Kenya,0.557629743029,37.5830886816,Halcyon leucocephala,Grey-headed Kingfisher,2015-02-20,2
Kenya,0.557629743029,37.5830886816,Dinemellia dinemelli,White-headed Buffalo Weaver,2015-02-20,50
Kenya,0.557629743029,37.5830886816,Pternistis leucoscepus,Yellow-necked Spurfowl,2015-02-20,5
Kenya,0.557629743029,37.5830886816,Plocepasser mahali,White-browed Sparrow-Weaver,2015-02-20,50
Kenya,0.557629743029,37.5830886816,Dicrurus adsimilis,Fork-tailed Drongo,2015-02-20,2
Kenya,-0.36679218,36.12020643,Platalea alba,African Spoonbill,2015-02-22,1
Kenya,-4.55550229,39.41828817,Pteropodidae indet.,Megabat unknown,2004-07-26,10
Kenya,-0.783895834821,36.2550544739,Hypolimnas misippus,Danaid Eggfly,2003-08-29,1
Kenya,-1.5049365892954,35.1799856210453,Eudorcas thomsonii,Thomson's Gazelle,2013-09-08,1
