country,latitude,longitude,scientific_name,vernacular_name,date,count
Lithuania,54.47496861,25.13807977,Cygnus cygnus,Whooper Swan,2015-03-11,40
Lithuania,54.66182995,25.25798673,Corvus cornix,Hooded Crow,2015-03-14,1
Lithuania,54.4749542,25.13807662,Cygnus cygnus,Whooper Swan,2015-03-14,12
Lithuania,54.47495371,25.13807751,Bucephala clangula,Common Goldeneye,2015-03-14,30
Lithuania,54.75026997,25.29422119,Corvus cornix,Hooded Crow,2015-03-02,2
Lithuania,54.72608503,25.28643139,Sitta europaea,Eurasian Nuthatch,2015-03-04,4
Lithuania,54.71524413,25.3110332,Mergus merganser,Common Merganser,2015-03-04,3
Lithuania,54.69126121,25.2422228,Mergus merganser,Common Merganser,2015-03-10,2
Lithuania,54.47170983,25.14449711,Lanius excubitor,Great Grey Shrike,2015-03-11,1
Lithuania,54.46954091,25.13439919,Bucephala clangula,Common Goldeneye,2015-03-11,3
Lithuania,54.46400195,25.12367597,Lanius excubitor,Great Grey Shrike,2015-03-11,1
Lithuania,55.27603007,21.46170217,Motacilla alba,White Wagtail,2015-03-10,1
Lithuania,55.40579973,21.2818335,Ardea cinerea,Grey Heron,2015-02-19,1
Lithuania,55.40596266,21.28176782,Haliaeetus albicilla,White-tailed Eagle,2015-02-19,15
Lithuania,55.72982726,21.08495207,Clangula hyemalis,Long-tailed Duck,2015-02-19,3
Lithuania,54.4516417639995,24.9848159369661,Cygnus cygnus,Whooper Swan,2015-03-03,13
Lithuania,54.58202,25.204095,Corvus cornix,Hooded Crow,2015-03-05,10
Lithuania,56.34,24.88,Dendrocopos leucotos leucotos,White-backed Woodpecker ssp leucotos,2015-03-07,1
Lithuania,56.35,24.83,Dendrocopos leucotos leucotos,White-backed Woodpecker ssp leucotos,2015-03-07,2
Lithuania,54.89,23.9,Corvus cornix,Hooded Crow,2015-03-04,1
Lithuania,54.89,23.9,Corvus frugilegus,Rook,2015-03-04,1
Lithuania,54.89,23.9,Coloeus monedula,Western Jackdaw,2015-03-04,3
Lithuania,54.89,23.9,Passer domesticus,House Sparrow,2015-03-04,1
Lithuania,54.92,23.87,Parus major,Great Tit,2015-03-04,1
Lithuania,54.96,23.92,Coloeus monedula,Western Jackdaw,2015-03-04,5
Lithuania,54.96,23.92,Corvus frugilegus,Rook,2015-03-04,6
Lithuania,54.96,23.94,Parus major,Great Tit,2015-03-04,1
Lithuania,54.96,23.94,Passer montanus,Eurasian Tree Sparrow,2015-03-04,1
Lithuania,54.96,23.94,Passer montanus,Eurasian Tree Sparrow,2015-03-03,20
