country,latitude,longitude,scientific_name,vernacular_name,date,count
Malaysia,5.9463651,116.04671037,Geopelia striata,Zebra Dove,2015-03-14,4
Malaysia,5.9463651,116.04671037,Passer montanus,Eurasian Tree Sparrow,2015-03-14,10
Malaysia,5.9463651,116.04671037,Tanygnathus lucionensis,Blue-naped Parrot,2015-03-14,20
Malaysia,5.94035697,116.04667546,Acridotheres cristatellus,Crested Myna,2015-03-14,2
Malaysia,5.94035697,116.04667546,Artamus leucorynchus,White-breasted Woodswallow,2015-03-14,4
Malaysia,5.96036896,116.05792388,Tringa brevipes,Grey-tailed Tattler,2015-03-14,8
Malaysia,5.96036896,116.05792388,Ardea alba,Great Egret,2015-03-14,20
Malaysia,5.96036896,116.05792388,Egretta sacra,Pacific Reef Heron,2015-03-14,1
Malaysia,6.0497074,116.7019873,Orthotomus sericeus,Rufous-tailed Tailorbird,2015-03-13,1
Malaysia,6.0497074,116.7019873,Dicrurus paradiseus,Greater Racket-tailed Drongo,2015-03-13,1
Malaysia,5.97681894043,116.099774949,Hemiprocne longipennis,Grey-rumped Treeswift,2015-03-13,4
Malaysia,6.0688605263,116.716464758,Nyctyornis amictus,Red-bearded Bee-eater,2015-03-13,2
Malaysia,5.9768708,116.0994148,Treron vernans,Pink-necked Green Pigeon,2015-03-11,1
Malaysia,5.9768708,116.0994148,Passer montanus,Eurasian Tree Sparrow,2015-03-11,10
Malaysia,5.9768708,116.0994148,Geopelia striata,Zebra Dove,2015-03-11,4
Malaysia,6.03946343,116.11519165,Collocalia affinis cyanoptila,Plume-toed Swiftlet ssp cyanoptila,2015-03-11,6
Malaysia,6.01241016,116.11394511,Butorides striata,Striated Heron,2015-03-11,1
Malaysia,6.0124101,116.11394512,Ardea alba,Great Egret,2015-03-11,6
Malaysia,5.9955025,116.10534188,Lonchura atricapilla,Chestnut Munia,2015-03-11,12
Malaysia,5.9955025,116.10534188,Artamus leucorynchus,White-breasted Woodswallow,2015-03-11,1
Malaysia,5.99113409,116.09864056,Geopelia striata,Zebra Dove,2015-03-11,1
Malaysia,5.99113409,116.09864056,Treron vernans,Pink-necked Green Pigeon,2015-03-11,1
Malaysia,5.99113409,116.09864056,Bubulcus coromandus,Eastern Cattle Egret,2015-03-11,4
Malaysia,5.99113409,116.09864056,Egretta sacra,Pacific Reef Heron,2015-03-11,1
Malaysia,5.99113409,116.09864056,Haliaeetus leucogaster,White-bellied Sea Eagle,2015-03-11,3
Malaysia,4.38778925678,102.401519269,Varanus nebulosus,Clouded Monitor,2015-02-15,1
Malaysia,3.71205589091,101.737082116,Callosciurus erythraeus,Pallas's Squirrel,2015-02-19,1
Malaysia,3.71205589091,101.737082116,Tamiops macclellandii,Himalayan Striped Squirrel,2015-02-19,1
Malaysia,4.38663393769,102.402806729,Cynopterus brachyotis,Lesser Short-nosed Fruit Bat,2015-02-20,1
Malaysia,3.58512219399,102.157689035,Elanus caeruleus,Black-winged Kite,2015-02-21,1
Malaysia,4.3870837301,102.398954742,Cyornis sumatrensis sumatrensis,Indochinese Blue Flycatcher ssp sumatrensis,1980-10-15,2
Malaysia,6.36538961719,99.665830279,Varanus salvator,Common Water Monitor,2014-12-01,2
Malaysia,6.36538961719,99.665830279,Varanus nebulosus,Clouded Monitor,2014-12-01,1
Malaysia,2.94522413299,101.693161012,Pitta sordida,Hooded Pitta,2015-02-17,1
Malaysia,3.3382106819,101.242346987,Trachypithecus cristatus,Silvery Lutung,2015-02-23,3
Malaysia,3.33786794163,101.242325529,Trachypithecus cristatus,Silvery Lutung,2015-02-22,5
Malaysia,3.34253743275,101.249413937,Tyto javanica javanica,Eastern Barn Owl ssp javanica,1984-04-21,5
Malaysia,3.34253743275,101.249413937,Tyto javanica javanica,Eastern Barn Owl ssp javanica,1983-03-21,3
Malaysia,3.34103828452,101.248419508,Tyto javanica javanica,Eastern Barn Owl ssp javanica,1983-01-09,3
Malaysia,3.35,102.1,Hydrornis irena,Malayan Banded Pitta,2015-02-16,1
Malaysia,3.41980119051,101.841323487,Polyplectron inopinatum,Mountain Peacock-Pheasant,2015-02-16,3
Malaysia,2.95126291497,101.411698165,Pitta megarhyncha,Mangrove Pitta,2015-02-17,1
Malaysia,2.95938888871,101.407763679,Leptoptilos javanicus,Lesser Adjutant,2015-02-17,1
Malaysia,3.71206659724,101.737039201,Pycnonotus flaviventris,Black-crested Bulbul,2015-02-20,2
Malaysia,3.3373534963,101.243277043,Spilornis cheela,Crested Serpent Eagle,2015-02-22,1
Malaysia,3.71206659724,101.737039201,Copsychus saularis,Oriental Magpie-Robin,2015-02-21,10
Malaysia,3.71208800989,101.737082116,Irena puella malayensis,Asian Fairy-bluebird ssp malayensis,2015-02-20,1
Malaysia,3.3376533942,101.242461652,Macaca fascicularis fascicularis,Common Long-tailed Macaque,2015-02-22,30
Malaysia,3.3376533942,101.242461652,Macaca fascicularis fascicularis,Common Long-tailed Macaque,2015-02-23,101
Malaysia,3.33731123948,101.242877897,Rhipidura javanica,Malaysian Pied Fantail,2015-02-23,2
Malaysia,3.33731123948,101.242877897,Pericrocotus divaricatus,Ashy Minivet,2015-02-23,3
Malaysia,3.33731123948,101.242877897,Picus vittatus,Laced Woodpecker,2015-02-23,1
Malaysia,3.33731123948,101.242877897,Psilopogon haemacephalus,Coppersmith Barbet,2015-02-23,2
Malaysia,3.35076371265,101.240474638,Treron vernans,Pink-necked Green Pigeon,2015-02-23,1
Malaysia,3.33778192184,101.242633313,Geopelia striata,Zebra Dove,2015-02-23,1
Malaysia,3.33778192184,101.242633313,Egretta garzetta,Little Egret,2015-02-23,1
Malaysia,3.33803897707,101.242461652,Geopelia striata,Zebra Dove,2015-02-23,2
Malaysia,3.33803897707,101.242461652,Butorides striata,Striated Heron,2015-02-23,2
Malaysia,3.33790567988,101.242507752,Varanus salvator,Common Water Monitor,2015-02-22,2
Malaysia,3.33790567988,101.242507752,Orthotomus ruficeps,Ashy Tailorbird,2015-02-22,3
Malaysia,3.33790567988,101.242507752,Pycnonotus plumosus,Olive-winged Bulbul,2015-02-22,1
Malaysia,3.33790567988,101.242507752,Pycnonotus goiavier,Yellow-vented Bulbul,2015-02-22,30
Malaysia,3.33790567988,101.242507752,Rhipidura javanica,Malaysian Pied Fantail,2015-02-22,3
Malaysia,3.33790567988,101.242507752,Chrysocolaptes guttacristatus,Greater Flameback,2015-02-22,1
Malaysia,3.33790567988,101.242507752,Collocalia affinis cyanoptila,Plume-toed Swiftlet ssp cyanoptila,2015-02-22,1
Malaysia,3.33790567988,101.242507752,Geopelia striata,Zebra Dove,2015-02-22,3
Malaysia,3.33790567988,101.242507752,Spilornis cheela malayensis,Crested Serpent Eagle ssp malayensis,2015-02-22,6
Malaysia,3.33790567988,101.242507752,Egretta garzetta,Little Egret,2015-02-22,1
Malaysia,3.71208278219,101.737025706,Arachnothera magna,Streaked Spiderhunter,2015-02-21,5
Malaysia,3.71208278219,101.737025706,Eumyias thalassinus,Verditer Flycatcher,2015-02-21,1
Malaysia,3.71208278219,101.737025706,Ficedula mugimaki,Mugimaki Flycatcher,2015-02-21,1
Malaysia,3.71208278219,101.737025706,Muscicapa dauurica,Asian Brown Flycatcher,2015-02-21,2
Malaysia,3.71208278219,101.737025706,Leiothrix argentauris tahanensis,Silver-eared Mesia ssp tahanensis,2015-02-21,4
Malaysia,3.71208278219,101.737025706,Alcippe peracensis,Mountain Fulvetta,2015-02-21,2
Malaysia,3.71208278219,101.737025706,Heterophasia picaoides,Long-tailed Sibia,2015-02-21,8
Malaysia,3.71208278219,101.737025706,Ixos mcclellandii peracensis,Mountain Bulbul ssp peracensis,2015-02-21,1
Malaysia,3.71208278219,101.737025706,Pycnonotus flaviventris caecilii,Black-crested Bulbul ssp caecilii,2015-02-21,2
Malaysia,3.71208278219,101.737025706,Rhipidura albicollis atrata,White-throated Fantail ssp atrata,2015-02-21,3
Malaysia,3.71208278219,101.737025706,Dicrurus remifer,Lesser Racket-tailed Drongo,2015-02-21,3
Malaysia,3.71208278219,101.737025706,Hemipus picatus,Bar-winged Flycatcher-shrike,2015-02-21,1
Malaysia,3.71208278219,101.737025706,Psilopogon pyrolophus,Fire-tufted Barbet,2015-02-21,2
Malaysia,3.71208278219,101.737025706,Phaenicophaeus tristis,Green-billed Malkoha,2015-02-21,2
