country,latitude,longitude,scientific_name,vernacular_name,date,count
Mauritania,19.8790394609,-16.3064716011,Chroicocephalus genei,Slender-billed Gull,2015-01-17,110
Mauritania,19.8790394609,-16.3064716011,Chroicocephalus cirrocephalus,Grey-headed Gull,2015-01-17,7
Mauritania,19.8944343935,-16.2956133485,Canis lupaster,African Golden Wolf,2015-01-16,10
Mauritania,19.9087960566,-16.3255655766,Tursiops truncatus,Common Bottlenose Dolphin,2015-01-16,5
Mauritania,16.540985296743,-15.8075031607532,Ardeola ralloides,Squacco Heron,2015-02-12,10
Mauritania,16.54190982574,-15.8073003593998,Centropus senegalensis,Senegal Coucal,2015-02-12,1
Mauritania,16.5436858993468,-15.807139709761,Sylvietta brachyura,Northern Crombec,2015-02-12,1
Mauritania,16.505142082024,-15.9850773790094,Elanus caeruleus,Black-winged Kite,2015-02-13,2
Mauritania,16.5077090186,-16.0265898453,Phacochoerus africanus,Common Warthog,2015-02-13,5
Mauritania,16.5097951314102,-16.0266955823768,Tyto alba,Western Barn Owl,2015-02-13,2
Mauritania,16.506508757,-16.2923946358,Canis adustus,Side-striped Jackal,2015-02-13,1
Mauritania,16.4252455601362,-16.32578447454,Spatula querquedula,Garganey,2015-02-13,51
Mauritania,16.4252113982006,-16.3258070312857,Glareola pratincola,Collared Pratincole,2015-02-13,8
Mauritania,16.425205365942,-16.3257995046475,Phalacrocorax carbo,Great Cormorant,2015-02-13,4
Mauritania,16.4252122579135,-16.3258040641019,Chroicocephalus cirrocephalus,Grey-headed Gull,2015-02-13,2
Mauritania,16.4252281586985,-16.3258042330842,Ardea alba,Great Egret,2015-02-13,1
Mauritania,16.4252298130111,-16.3258449889043,Threskiornis aethiopicus,African Sacred Ibis,2015-02-13,2
Mauritania,16.425178287944,-16.3258321166153,Ardea purpurea,Purple Heron,2015-02-13,4
Mauritania,16.4219843316356,-16.3274678850919,Haliaeetus vocifer,African Fish Eagle,2015-02-13,2
Mauritania,16.4190168944604,-16.3291457963281,Porphyrio madagascariensis,African Swamphen,2015-02-13,8
Mauritania,16.4181419623645,-16.3295602843965,Sarkidiornis melanotos,Knob-billed Duck,2015-02-13,3
Mauritania,16.4158293346201,-16.3320859837701,Amaurornis flavirostra,Black Crake,2015-02-13,1
Mauritania,16.4159926191903,-16.3323210739395,Mycteria ibis,Yellow-billed Stork,2015-02-13,41
Mauritania,16.4159963730839,-16.3323206155973,Vanellus spinosus,Spur-winged Lapwing,2015-02-13,2
Mauritania,16.4160126552604,-16.3323510367199,Merops persicus,Blue-cheeked Bee-eater,2015-02-13,2
Mauritania,16.416015198468,-16.3323286797482,Platalea leucorodia,Eurasian Spoonbill,2015-02-13,3
Mauritania,16.4159626559846,-16.3323195182974,Saxicola torquatus moptanus,African Stonechat ssp moptanus,2015-02-13,1
Mauritania,16.4088486335881,-16.3345513548798,Burhinus senegalensis,Senegal Thick-knee,2015-02-13,12
Mauritania,16.4088883633919,-16.3345059932723,Actophilornis africanus,African Jacana,2015-02-13,1
Mauritania,16.4089064332545,-16.3344992958776,Limosa limosa,Black-tailed Godwit,2015-02-13,1
Mauritania,16.38571564,-16.34044929,Dendrocygna viduata,White-faced Whistling Duck,2015-02-13,501
