country,latitude,longitude,scientific_name,vernacular_name,date,count
Mexico,20.5223772652,-87.1917057037,Pandion haliaetus,Western Osprey,2015-02-26,1
Mexico,20.5881168104,-87.1293067932,Trogon caligatus,Gartered Trogon,2015-02-20,1
Mexico,20.5881168104,-87.1293067932,Ramphastos sulfuratus,Keel-billed Toucan,2015-02-19,2
Mexico,19.5966661145,-90.2303695679,Mniotilta varia,Black-and-white Warbler,2015-02-14,1
Mexico,19.5968278327,-90.22813797,Tityra semifasciata,Masked Tityra,2015-02-14,1
Mexico,19.5968278327,-90.22813797,Melanerpes santacruzi dubius,Velasquez's Woodpecker ssp dubius,2015-02-14,1
Mexico,19.5968278327,-90.22813797,Trogon caligatus,Gartered Trogon,2015-02-14,1
Mexico,20.5223873132,-87.1923065186,Pandion haliaetus,Western Osprey,2015-03-04,3
Mexico,20.2144166013,-87.4290900864,Ctenosaura similis,Black Iguana,2003-12-04,25
Mexico,18.7819738139,-91.495744586,Pelecanus occidentalis,Brown Pelican,2015-02-08,1
Mexico,18.9631165889,-99.1123149544,Pyrocephalus obscurus,Vermilion Flycatcher,2015-03-01,3
Mexico,18.5429291333,-99.1982737184,Pyrocephalus obscurus,Vermilion Flycatcher,2015-03-01,3
Mexico,18.2710861096,-92.3785400391,Megaceryle torquata,Ringed Kingfisher,2015-02-05,1
Mexico,18.2710861096,-92.3785400391,Megaceryle alcyon,Belted Kingfisher,2015-02-05,1
Mexico,18.2476115342,-92.2164916992,Hydroprogne caspia,Caspian Tern,2015-02-05,6
Mexico,17.9212494186,-92.2576904297,Thraupis abbas,Yellow-winged Tanager,2015-02-05,1
Mexico,17.9852641487,-92.2467041016,Pyrocephalus obscurus,Vermilion Flycatcher,2015-02-05,2
Mexico,18.2893419178,-92.3895263672,Caracara cheriway,Northern Crested Caracara,2015-02-05,20
Mexico,18.0805899644,-92.1286010742,Busarellus nigricollis,Black-collared Hawk,2015-02-05,6
Mexico,18.0858118034,-92.1340942383,Botaurus pinnatus,Pinnated Bittern,2015-02-05,3
Mexico,18.2684779802,-92.3181152344,Plegadis falcinellus,Glossy Ibis,2015-02-05,9
Mexico,18.2684779802,-92.3181152344,Platalea ajaja,Roseate Spoonbill,2015-02-05,1
Mexico,18.050561376,-91.9404602051,Plegadis falcinellus,Glossy Ibis,2015-02-04,1
Mexico,18.050561376,-91.9404602051,Anhinga anhinga,Anhinga,2015-02-04,1
Mexico,18.050561376,-91.9404602051,Agelaius phoeniceus,Red-winged Blackbird,2015-02-04,1
Mexico,18.050561376,-91.9404602051,Sporophila morelleti,Morelet's Seedeater,2015-02-04,1
Mexico,18.050561376,-91.9404602051,Pyrocephalus obscurus,Vermilion Flycatcher,2015-02-04,1
Mexico,18.050561376,-91.9404602051,Tyrannus savana,Fork-tailed Flycatcher,2015-02-04,3
Mexico,18.050561376,-91.9404602051,Melanerpes santacruzi,Velasquez's Woodpecker,2015-02-04,1
Mexico,18.050561376,-91.9404602051,Megaceryle alcyon,Belted Kingfisher,2015-02-04,1
Mexico,19.3006632834,-99.1808329895,Turdus migratorius,American Robin,2015-02-22,7
Mexico,19.3006632834,-99.1808329895,Pyrocephalus obscurus,Vermilion Flycatcher,2015-02-22,2
Mexico,19.2923492791,-99.1993613541,Pyrocephalus obscurus,Vermilion Flycatcher,2015-02-22,1
Mexico,17.5472290931,-92.9557999398,Charidotella sexpunctata,Golden Tortoise Beetle,2015-01-03,1
Mexico,18.059701055,-91.9761657715,Crotophaga sulcirostris,Groove-billed Ani,2015-02-04,20
Mexico,18.059701055,-91.9761657715,Caracara cheriway,Northern Crested Caracara,2015-02-04,16
Mexico,18.2564963821,-92.1038818359,Pandion haliaetus,Western Osprey,2015-02-04,1
Mexico,18.050561376,-91.9692993164,Herpetotheres cachinnans,Laughing Falcon,2015-02-04,3
Mexico,18.050561376,-91.9692993164,Busarellus nigricollis,Black-collared Hawk,2015-02-04,2
Mexico,18.050561376,-91.9692993164,Dendrocygna autumnalis,Black-bellied Whistling Duck,2015-02-04,30
Mexico,18.050561376,-91.9692993164,Mycteria americana,Wood Stork,2015-02-04,20
Mexico,18.050561376,-91.9692993164,Butorides virescens,Green Heron,2015-02-04,15
Mexico,18.050561376,-91.9692993164,Ardea herodias,Great Blue Heron,2015-02-04,1
Mexico,17.7414929132,-91.7825317383,Passer domesticus,House Sparrow,2015-02-03,1
Mexico,17.7375689339,-91.5380859375,Sporophila morelleti,Morelet's Seedeater,2015-02-03,1
Mexico,17.6433676823,-91.5696716309,Volatinia jacarina,Blue-black Grassquit,2015-02-03,1
Mexico,17.7114068765,-91.5490722656,Melanerpes santacruzi,Velasquez's Woodpecker,2015-02-03,1
Mexico,17.7114068765,-91.5490722656,Megaceryle alcyon,Belted Kingfisher,2015-02-03,1
Mexico,17.7114068765,-91.5490722656,Megaceryle torquata,Ringed Kingfisher,2015-02-03,1
Mexico,17.7114068765,-91.5490722656,Falco sparverius,American Kestrel,2015-02-03,1
Mexico,17.7070325351,-91.6867446899,Aramus guarauna,Limpkin,2015-02-03,6
Mexico,17.7238343298,-91.5476989746,Spatula discors,Blue-winged Teal,2015-02-03,1
Mexico,17.7468882442,-91.7602157593,Thraupis episcopus,Blue-grey Tanager,2015-02-03,1
Mexico,17.7468882442,-91.7602157593,Melanerpes santacruzi,Velasquez's Woodpecker,2015-02-03,2
Mexico,17.7468882442,-91.7602157593,Pelecanus erythrorhynchos,American White Pelican,2015-02-03,200
Mexico,17.7437818613,-91.7729187012,Sporophila morelleti,Morelet's Seedeater,2015-02-02,1
Mexico,17.7437818613,-91.7729187012,Thraupis episcopus,Blue-grey Tanager,2015-02-02,1
Mexico,17.7424738945,-91.7914581299,Pyrocephalus obscurus,Vermilion Flycatcher,2015-02-02,1
Mexico,18.2293513384,-91.4651298523,Megaceryle torquata,Ringed Kingfisher,2015-02-02,1
Mexico,18.2298404758,-91.4661598206,Caracara cheriway,Northern Crested Caracara,2015-02-02,1
Mexico,18.2298146615,-91.4664745348,Dendrocygna autumnalis,Black-bellied Whistling Duck,2015-02-02,1
Mexico,19.2914382207,-99.096243158,Turdus migratorius,American Robin,2015-02-08,1
Mexico,19.2914382207,-99.096243158,Pyrocephalus obscurus,Vermilion Flycatcher,2015-02-08,12
