country,latitude,longitude,scientific_name,vernacular_name,date,count
Morocco,31.4608511101,-7.40710713131,Phoenicurus moussieri,Moussier's Redstart,2015-03-12,2
Morocco,31.46,-7.41,Sylvia deserticola,Tristram's Warbler,2015-03-12,1
Morocco,31.46,-7.41,Alectoris barbara,Barbary Partridge,2015-03-12,1
Morocco,31.3639818737,-7.39086248451,Falco tinnunculus,Common Kestrel,2015-03-12,1
Morocco,31.3370937904,-7.38701326762,Buteo rufinus,Long-legged Buzzard,2015-03-12,1
Morocco,31.3204067101,-7.37817600095,Oenanthe leucura,Black Wheatear,2015-03-12,1
Morocco,31.02,-7.23,Calandrella brachydactyla,Greater Short-toed Lark,2015-03-12,1
Morocco,31.02,-7.23,Ammomanes deserti,Desert Lark,2015-03-12,1
Morocco,31.02,-7.23,Galerida theklae,Thekla's Lark,2015-03-12,1
Morocco,30.9873013192,-7.13343916132,Ciconia ciconia,White Stork,2015-03-12,6
Morocco,30.937962203,-6.96379267505,Ciconia ciconia,White Stork,2015-03-12,2
Morocco,30.9311621544,-6.95081560297,Bubulcus ibis,Western Cattle Egret,2015-03-12,10
Morocco,30.9239182635,-6.87204340989,Galerida macrorhyncha,Maghreb Lark,2015-03-12,2
Morocco,30.9237710033,-6.871656214,Motacilla alba,White Wagtail,2015-03-12,1
Morocco,30.9237407556,-6.87157102433,Tadorna ferruginea,Ruddy Shelduck,2015-03-12,2
Morocco,30.9234876181,-6.87143939783,Actitis hypoleucos,Common Sandpiper,2015-03-12,1
Morocco,30.9235057392,-6.87142533005,Circus aeruginosus,Western Marsh Harrier,2015-03-12,1
Morocco,30.9234734049,-6.87145076429,Egretta garzetta,Little Egret,2015-03-12,3
Morocco,30.9234812007,-6.87144487594,Charadrius dubius,Little Ringed Plover,2015-03-12,2
Morocco,30.9227863468,-6.8711063251,Charadrius alexandrinus,Kentish Plover,2015-03-12,17
Morocco,30.9225658622,-6.87114063267,Himantopus himantopus,Black-winged Stilt,2015-03-12,1
Morocco,30.9225310405,-6.87120670496,Oenanthe leucopyga,White-crowned Wheatear,2015-03-12,1
Morocco,31.0156409872,-6.59482067238,Oenanthe leucopyga,White-crowned Wheatear,2015-03-12,1
Morocco,31.2076360293,-6.15069831631,Ciconia ciconia,White Stork,2015-03-12,1
Morocco,31.31,-5.89,Calandrella brachydactyla,Greater Short-toed Lark,2015-03-13,1
Morocco,31.31,-5.89,Pterocles orientalis,Black-bellied Sandgrouse,2015-03-13,2
Morocco,31.31,-5.89,Galerida theklae,Thekla's Lark,2015-03-13,1
Morocco,31.31,-5.89,Calandrella brachydactyla,Greater Short-toed Lark,2015-03-13,3
Morocco,31.31,-5.89,Eremophila bilopha,Temminck's Lark,2015-03-13,1
Morocco,31.31,-5.89,Pterocles orientalis,Black-bellied Sandgrouse,2015-03-13,3
Morocco,31.3,-5.89,Pterocles orientalis,Black-bellied Sandgrouse,2015-03-13,3
Morocco,31.3,-5.89,Eremophila bilopha,Temminck's Lark,2015-03-13,3
Morocco,31.3,-5.89,Pterocles orientalis,Black-bellied Sandgrouse,2015-03-13,2
Morocco,31.31,-5.89,Ammomanes deserti,Desert Lark,2015-03-13,1
Morocco,31.31,-5.89,Oenanthe deserti,Desert Wheatear,2015-03-13,4
Morocco,31.34,-5.91,Oenanthe deserti,Desert Wheatear,2015-03-13,2
Morocco,31.36,-5.99,Emberiza sahari,House Bunting,2015-03-13,1
Morocco,31.3664927823091,-5.96032036167546,Oenanthe leucopyga,White-crowned Wheatear,2015-03-13,1
Morocco,31.3634206827961,-5.91389085688024,Oenanthe deserti,Desert Wheatear,2015-03-13,2
Morocco,31.3500275001942,-5.90598315096054,Calandrella brachydactyla,Greater Short-toed Lark,2015-03-13,1
Morocco,31.3679718047715,-5.90200705568714,Upupa epops,Eurasian Hoopoe,2015-03-13,1
Morocco,31.5251530703816,-5.53490912381354,Bubulcus ibis,Western Cattle Egret,2015-03-13,6
Morocco,31.5763424871167,-5.58309024405992,Emberiza sahari,House Bunting,2015-03-13,1
Morocco,31.5766279543952,-5.58283251784017,Monticola solitarius,Blue Rock Thrush,2015-03-13,1
Morocco,31.5767711551842,-5.5826980499091,Emberiza sahari,House Bunting,2015-03-13,1
Morocco,31.5855068181643,-5.5905005542029,Ptyonoprogne rupestris,Eurasian Crag Martin,2015-03-13,3
