country,latitude,longitude,scientific_name,vernacular_name,date,count
Myanmar,21.1923942701,94.8983003944,Passer montanus,Eurasian Tree Sparrow,2015-03-13,1
Myanmar,21.3699605075,95.1935613155,Tadorna ferruginea,Ruddy Shelduck,2015-03-11,2
Myanmar,21.2013722395,94.8914372921,Tadorna ferruginea,Ruddy Shelduck,2015-03-11,90
Myanmar,21.2170555717,94.9422490597,Tadorna ferruginea,Ruddy Shelduck,2015-03-11,2
Myanmar,21.2237764898,94.9631917477,Tadorna ferruginea,Ruddy Shelduck,2015-03-11,6
Myanmar,21.2823315226,95.0112569332,Tadorna ferruginea,Ruddy Shelduck,2015-03-11,100
Myanmar,21.291608598,95.0469624996,Tadorna ferruginea,Ruddy Shelduck,2015-03-11,60
Myanmar,21.4834189417,95.2977007627,Tadorna ferruginea,Ruddy Shelduck,2015-03-11,4
Myanmar,21.5081757546,95.3313463926,Ceryle rudis,Pied Kingfisher,2015-03-11,1
Myanmar,21.5350041855,95.3414744139,Tadorna ferruginea,Ruddy Shelduck,2015-03-11,25
Myanmar,21.5532063697,95.3368395567,Tadorna ferruginea,Ruddy Shelduck,2015-03-11,90
Myanmar,21.905620132,95.5531328917,Milvus migrans,Black Kite,2015-03-11,3
Myanmar,21.9164499014,95.7639330626,Ardea alba,Great Egret,2015-03-11,1
Myanmar,21.9025940199,95.8725947142,Anastomus oscitans,Asian Openbill,2015-03-11,2
Myanmar,21.8794978904,95.9009188414,Anastomus oscitans,Asian Openbill,2015-03-11,100
Myanmar,21.8681886318,95.98852247,Motacilla alba,White Wagtail,2015-03-11,1
Myanmar,21.9718223188,96.0560920089,Acridotheres tristis,Common Myna,2015-03-11,1
Myanmar,21.1775688455,94.8753262684,Argya gularis,White-throated Babbler,2015-03-12,1
Myanmar,21.1764879117,94.8576883972,Saxicola caprata,Pied Bush Chat,2015-03-12,1
Myanmar,21.1764879117,94.8576883972,Motacilla alba,White Wagtail,2015-03-12,1
Myanmar,21.1726064893,94.8650624603,Upupa epops,Eurasian Hoopoe,2015-03-12,1
Myanmar,21.1726064893,94.8650624603,Argya gularis,White-throated Babbler,2015-03-12,1
Myanmar,21.1775789279,94.8753673397,Passer domesticus,House Sparrow,2015-03-12,1
Myanmar,21.1775789279,94.8753673397,Spilopelia chinensis,Spotted Dove,2015-03-12,1
Myanmar,21.1875927816,94.8913336918,Acridotheres tristis,Common Myna,2015-03-12,1
Myanmar,21.18,94.89,Corvus splendens,House Crow,2015-03-12,1
Myanmar,21.1875927816,94.8913336918,Aegithina tiphia,Common Iora,2015-03-12,1
Myanmar,21.1875927816,94.8913336918,Passer domesticus,House Sparrow,2015-03-12,1
Myanmar,21.1875927816,94.8913336918,Pycnonotus blanfordi,Ayeyarwady Bulbul,2015-03-12,1
Myanmar,21.1875927816,94.8913336918,Upupa epops,Eurasian Hoopoe,2015-03-12,1
Myanmar,21.1875927816,94.8913336918,Argya gularis,White-throated Babbler,2015-03-12,1
Myanmar,16.7687001651,96.1719462454,Spilopelia chinensis,Spotted Dove,2015-01-12,1
Myanmar,20.5214319543,96.8941543554,Egretta garzetta,Little Egret,2015-01-10,1
Myanmar,20.5656560324,96.8985076854,Microcarbo niger,Little Cormorant,2015-01-10,2
Myanmar,20.52271809,96.89758758,Ardeola ralloides,Squacco Heron,2015-01-09,1
Myanmar,21.89291986,96.0600475967,Microcarbo niger,Little Cormorant,2015-03-09,1
Myanmar,21.89291986,96.0600475967,Milvus migrans,Black Kite,2015-03-09,1
Myanmar,21.89291986,96.0600475967,Egretta garzetta,Little Egret,2015-03-09,1
Myanmar,21.89,96.05,Corvus splendens,House Crow,2015-03-09,1
Myanmar,21.8943932068,96.0516361892,Spilopelia chinensis,Spotted Dove,2015-03-09,1
Myanmar,21.8943932068,96.0516361892,Acridotheres tristis,Common Myna,2015-03-09,1
Myanmar,21.8943932068,96.0516361892,Argya gularis,White-throated Babbler,2015-03-09,2
Myanmar,21.9929337554,96.1079552025,Argya gularis,White-throated Babbler,2015-03-08,1
Myanmar,21.9929337554,96.1079552025,Pycnonotus blanfordi,Ayeyarwady Bulbul,2015-03-08,1
