country,latitude,longitude,scientific_name,vernacular_name,date,count
Namibia,-23.89467739,17.32939437,Kobus leche,Southern Lechwe,2015-02-06,1
Namibia,-22.8838931756,14.4369689841,Haematopus moquini,African Oystercatcher,2015-02-02,1
Namibia,-22.8838931756,14.4369689841,Arctocephalus pusillus pusillus,Cape Fur Seal,2015-02-02,1
Namibia,-23.0099755573,14.6192870289,Felis silvestris cafra,Southern African wildcat,2015-02-02,1
Namibia,-19.2327,18.4988,Turtur chalcospilos,Emerald-spotted Wood Dove,2015-02-27,10
Namibia,-17.874,19.8315,Laniarius bicolor,Swamp Boubou,2015-02-27,1
Namibia,-22.9344919689,14.4699279685,Charadrius marginatus marginatus,White-fronted Plover ssp marginatus,2015-02-01,1
Namibia,-22.9344919689,14.4699279685,Chroicocephalus hartlaubii,Hartlaub's Gull,2015-01-31,1
Namibia,-22.9344919689,14.4699279685,Sternula balaenarum,Damara Tern,2015-01-31,1
Namibia,-17.8735,19.8324,Anastomus lamelligerus,African Openbill,2015-02-27,1
Namibia,-17.8735,19.8325,Bubulcus ibis,Western Cattle Egret,2015-02-27,50
Namibia,-17.8742,19.8313,Tyto alba,Western Barn Owl,2015-02-27,2
Namibia,-17.8736,19.8324,Tyto alba,Western Barn Owl,2015-02-26,1
Namibia,-17.8826,19.8311,Cisticola juncidis,Zitting Cisticola,2015-02-26,1
Namibia,-17.8825,19.831,Merops pusillus,Little Bee-eater,2015-02-26,2
Namibia,-17.8788,19.8044,Vidua paradisaea,Long-tailed Paradise Whydah,2015-02-26,1
Namibia,-17.8896,19.8017,Calidris minuta,Little Stint,2015-02-26,5
Namibia,-17.8935,19.8034,Calidris minuta,Little Stint,2015-02-26,4
Namibia,-19.6723842066,15.5496092141,Muscicapa striata,Spotted Flycatcher,2015-01-28,1
Namibia,-18.8137,16.979,Dendroperdix sephaena,Crested Francolin,2015-02-25,1
Namibia,-18.82,16.9468,Turtur chalcospilos,Emerald-spotted Wood Dove,2015-02-25,1
Namibia,-18.8276,16.9509,Aquila rapax,Tawny Eagle,2015-02-25,1
Namibia,-18.8277,16.9509,Tachybaptus ruficollis,Little Grebe,2015-02-25,12
Namibia,-18.8277,16.9509,Spatula smithii,Cape Shoveler,2015-02-25,10
Namibia,-18.8277,16.9509,Ardea cinerea,Grey Heron,2015-02-25,3
Namibia,-18.8277,16.9509,Leptoptilos crumenifer,Marabou Stork,2015-02-25,1
Namibia,-18.8188,16.929,Vanellus armatus,Blacksmith Lapwing,2015-02-25,4
Namibia,-18.8191,16.929,Tachybaptus ruficollis,Little Grebe,2015-02-25,6
Namibia,-18.819,16.9292,Anas erythrorhyncha,Red-billed Teal,2015-02-25,3
Namibia,-18.8191,16.9292,Amaurornis flavirostra,Black Crake,2015-02-25,3
Namibia,-18.8191,16.9292,Gallinula chloropus,Common Moorhen,2015-02-25,1
