country,latitude,longitude,scientific_name,vernacular_name,date,count
Nepal,27.5744851,84.4955751,Hierococcyx varius,Common Hawk-Cuckoo,2015-03-04,2
Nepal,27.58336971,84.46612042,Pernis ptilorhynchus,Crested Honey Buzzard,2015-03-03,1
Nepal,27.71566483,85.31016929,Psittacula krameri,Rose-ringed Parakeet,2015-03-09,1
Nepal,27.71521614,85.30936637,Copsychus saularis,Oriental Magpie-Robin,2015-03-08,1
Nepal,27.71509526,85.3093624,Pycnonotus cafer,Red-vented Bulbul,2015-03-08,1
Nepal,27.71544634,85.30938413,Milvus migrans,Black Kite,2015-03-07,50
Nepal,27.74287503,85.36320586,Coracina macei,Large Cuckooshrike,2015-03-06,1
Nepal,27.74290018,85.36324992,Milvus migrans,Black Kite,2015-03-06,3
Nepal,27.9288912741,85.5205607414,Cecropis daurica,Red-rumped Swallow,2011-07-18,1
Nepal,28.2186487354,83.9513987303,Halcyon smyrnensis,White-throated Kingfisher,2011-08-04,1
Nepal,27.7041806009,85.361495018,Milvus migrans,Black Kite,2011-07-14,1
Nepal,27.7041806,85.36149502,Acridotheres tristis,Common Myna,2011-07-24,1
Nepal,27.71662256,85.30402783,Milvus migrans,Black Kite,2015-03-04,2
Nepal,27.57440267,84.4953379,Psilopogon lineatus,Lineated Barbet,2015-03-04,1
Nepal,27.57443442,84.49581373,Pycnonotus jocosus,Red-whiskered Bulbul,2015-03-04,2
Nepal,27.57444175,84.49582007,Copsychus saularis,Oriental Magpie-Robin,2015-03-04,1
Nepal,27.57439835,84.49577145,Sitta frontalis,Velvet-fronted Nuthatch,2015-03-04,2
Nepal,27.57437154,84.49568673,Pycnonotus jocosus,Red-whiskered Bulbul,2015-03-04,1
Nepal,27.57435485,84.49574147,Parus cinereus planorum,Cinereous Tit ssp planorum,2015-03-04,1
Nepal,27.57466649,84.4956071,Spilopelia chinensis,Spotted Dove,2015-03-04,2
Nepal,27.5744851,84.4955751,Sitta cinnamoventris,Chestnut-bellied Nuthatch,2015-03-04,2
Nepal,27.5748324,84.4952766,Dicrurus macrocercus,Black Drongo,2015-03-02,1
Nepal,27.5748324,84.4952766,Dicrurus hottentottus,Hair-crested Drongo,2015-03-02,1
Nepal,27.57489364,84.49556341,Milvus migrans,Black Kite,2015-03-02,1
Nepal,27.57486253,84.49552697,Halcyon smyrnensis,White-throated Kingfisher,2015-03-02,1
Nepal,27.5748898,84.49555553,Alcedo atthis,Common Kingfisher,2015-03-02,1
Nepal,27.57489164,84.49556546,Urocissa erythroryncha,Red-billed Blue Magpie,2015-03-02,1
Nepal,27.57486583,84.49553288,Pelargopsis capensis,Stork-billed Kingfisher,2015-03-02,1
Nepal,27.59225296,84.47398215,Pelargopsis capensis,Stork-billed Kingfisher,2015-03-03,2
Nepal,27.59368574,84.46889138,Haliaeetus ichthyaetus,Grey-headed Fish Eagle,2015-03-03,1
Nepal,27.58336971,84.46612042,Merops orientalis,Green Bee-eater,2015-03-03,1
Nepal,27.58334774,84.46612848,Butorides striata,Striated Heron,2015-03-03,1
Nepal,27.57928734,84.47541061,Haliaeetus humilis,Lesser Fish Eagle,2015-03-03,1
Nepal,27.57370014,84.50423268,Dinopium shorii,Himalayan Flameback,2015-03-03,2
Nepal,27.5736999,84.50423295,Dendrocitta vagabunda,Rufous Treepie,2015-03-03,2
Nepal,27.57371243,84.50423302,Hierococcyx varius,Common Hawk-Cuckoo,2015-03-03,1
Nepal,27.57321408,84.50447423,Oriolus xanthornus,Black-hooded Oriole,2015-03-03,1
Nepal,27.57336984,84.49493737,Anastomus oscitans,Asian Openbill,2015-03-03,6
Nepal,27.5749158,84.49552564,Ceryle rudis,Pied Kingfisher,2015-03-03,1
Nepal,27.57491269,84.495541,Anthus rufulus,Paddyfield Pipit,2015-03-03,1
Nepal,27.57491625,84.49553642,Motacilla alba,White Wagtail,2015-03-03,1
Nepal,27.57491573,84.49553492,Motacilla maderaspatensis,White-browed Wagtail,2015-03-03,1
Nepal,27.57491565,84.49555065,Coracias affinis,Indochinese Roller,2015-03-03,1
Nepal,27.57491476,84.49555368,Dicrurus macrocercus,Black Drongo,2015-03-03,1
Nepal,27.57491297,84.4955555,Pycnonotus cafer,Red-vented Bulbul,2015-03-03,3
Nepal,27.57491321,84.49555346,Copsychus saularis,Oriental Magpie-Robin,2015-03-03,1
Nepal,27.57490368,84.49549637,Spilornis cheela,Crested Serpent Eagle,2015-03-03,1
Nepal,27.57490692,84.49549777,Milvus migrans,Black Kite,2015-03-03,2
Nepal,27.57493922,84.49554607,Butorides striata,Striated Heron,2015-03-03,1
Nepal,27.57500472,84.49570304,Vanellus duvaucelii,River Lapwing,2015-03-03,1
Nepal,27.57511622,84.4958871,Tringa nebularia,Common Greenshank,2015-03-03,1
Nepal,27.57491835,84.49544198,Charadrius dubius,Little Ringed Plover,2015-03-03,1
Nepal,27.57502059,84.49552462,Egretta garzetta,Little Egret,2015-03-03,1
Nepal,27.57502049,84.49552465,Tadorna ferruginea,Ruddy Shelduck,2015-03-03,4
Nepal,27.57493557,84.49549831,Pseudibis papillosa,Red-naped Ibis,2015-03-03,3
Nepal,27.5732305008963,84.4929414242506,Gallus gallus,Red Junglefowl,2015-03-01,1
Nepal,27.6127528,84.4922065,Leptoptilos javanicus,Lesser Adjutant,2015-03-02,1
Nepal,27.61295635,84.48962839,Coracias affinis,Indochinese Roller,2015-03-02,1
Nepal,27.61492606,84.4728425,Haliaeetus ichthyaetus,Grey-headed Fish Eagle,2015-03-02,1
Nepal,27.6148985,84.47283234,Netta rufina,Red-crested Pochard,2015-03-02,1
Nepal,27.61489939,84.47282828,Ciconia nigra,Black Stork,2015-03-02,2
Nepal,27.61489981,84.47282736,Egretta garzetta,Little Egret,2015-03-02,1
Nepal,27.61488062,84.47279587,Treron phoenicopterus,Yellow-footed Green Pigeon,2015-03-02,2
Nepal,27.61495755,84.44533777,Spilornis cheela,Crested Serpent Eagle,2015-03-02,1
Nepal,27.61691068,84.43724281,Metopidius indicus,Bronze-winged Jacana,2015-03-02,1
Nepal,27.61688476,84.43724548,Coracina macei,Large Cuckooshrike,2015-03-02,1
Nepal,27.62175833,84.46233251,Argya striata,Jungle Babbler,2015-03-02,7
Nepal,27.6126501,84.4925399,Falco amurensis,Amur Falcon,2015-03-02,1
Nepal,27.57459817,84.49547533,Parus cinereus planorum,Cinereous Tit ssp planorum,2015-03-01,1
Nepal,27.57497895,84.49543676,Motacilla maderaspatensis,White-browed Wagtail,2015-03-01,1
Nepal,27.57497512,84.4954428,Motacilla alba,White Wagtail,2015-03-01,1
Nepal,27.57497471,84.49544641,Pycnonotus jocosus,Red-whiskered Bulbul,2015-03-01,1
Nepal,27.5747476,84.4953196,Pycnonotus cafer,Red-vented Bulbul,2015-03-01,1
Nepal,27.57497399,84.49544866,Copsychus saularis,Oriental Magpie-Robin,2015-03-01,1
Nepal,27.57497602,84.49544815,Oriolus xanthornus,Black-hooded Oriole,2015-03-01,1
Nepal,27.57497544,84.49544957,Dendrocitta vagabunda,Rufous Treepie,2015-03-01,1
Nepal,27.5746983,84.4953539,Vanellus duvaucelii,River Lapwing,2015-03-01,2
Nepal,27.57497479,84.49544967,Tringa nebularia,Common Greenshank,2015-03-01,1
Nepal,27.57497475,84.49544964,Spilopelia chinensis,Spotted Dove,2015-03-01,1
Nepal,27.5745272,84.4954383,Psittacula krameri,Rose-ringed Parakeet,2015-03-01,1
Nepal,27.5751853,84.49558188,Pavo cristatus,Indian Peafowl,2015-03-01,5
Nepal,27.5745269,84.4954381,Mergus merganser,Common Merganser,2015-03-01,1
Nepal,27.58345438,84.46603868,Sturnia malabarica,Chestnut-tailed Starling,2015-03-01,1
Nepal,27.58341748,84.46604503,Hierococcyx varius,Common Hawk-Cuckoo,2015-03-01,1
Nepal,27.58339926,84.46605053,Motacilla alba,White Wagtail,2015-03-01,1
Nepal,27.58339911,84.46604782,Egretta garzetta,Little Egret,2015-03-01,1
Nepal,27.5833991,84.466046,Ardeola grayii,Indian Pond Heron,2015-03-01,1
Nepal,27.58339876,84.46604621,Tadorna ferruginea,Ruddy Shelduck,2015-03-01,2
Nepal,27.57365306,84.49437832,Tadorna ferruginea,Ruddy Shelduck,2015-03-01,16
Nepal,27.57365331,84.49437966,Ardea alba,Great Egret,2015-03-01,1
Nepal,27.5745,84.4948,Halcyon smyrnensis,White-throated Kingfisher,2015-03-01,1
Nepal,27.5745,84.4948,Pelargopsis capensis,Stork-billed Kingfisher,2015-03-01,1
Nepal,27.5745,84.4948,Alcedo atthis,Common Kingfisher,2015-03-01,1
Nepal,27.5745,84.4948,Ceryle rudis,Pied Kingfisher,2015-03-01,1
Nepal,27.5745,84.4948,Psilopogon lineatus,Lineated Barbet,2015-03-01,1
Nepal,27.74232444,85.36347693,Milvus migrans,Black Kite,2015-02-19,5
Nepal,27.74145488,85.36359041,Milvus migrans,Black Kite,2015-02-22,2
Nepal,27.74300697,85.36371713,Milvus migrans,Black Kite,2015-02-28,2
Nepal,27.75270864,85.06463459,Phoenicurus fuliginosus,Plumbeous Water Redstart,2015-02-28,1
Nepal,27.57449444,84.4935733,Tadorna ferruginea,Ruddy Shelduck,2015-02-28,4
Nepal,27.57449254,84.49356731,Egretta garzetta,Little Egret,2015-02-28,5
Nepal,27.4972273481,84.3896483816,Muntiacus vaginalis,Northern Red Muntjac,2012-02-23,1
Nepal,27.5932990459,84.4822168348,Gallus gallus,Red Junglefowl,2013-10-22,20
Nepal,27.5904426502,84.454507826,Alcedo atthis bengalensis,Common Kingfisher ssp bengalensis,2013-10-22,2
