country,latitude,longitude,scientific_name,vernacular_name,date,count
New Caledonia,-21.7115231658,165.829997063,Hirundo neoxena,Welcome Swallow,2015-03-04,2
New Caledonia,-21.7115231658,165.829997063,Hirundo neoxena,Welcome Swallow,2015-03-03,3
New Caledonia,-21.7880149699,165.855724812,Tyto javanica delicatula,Eastern Barn Owl ssp delicatula,2015-02-28,1
New Caledonia,-21.68901431,165.777683258,Aplonis striata,Striated Starling,2015-02-22,2
New Caledonia,-22.2434238528,166.226005554,Pandion cristatus,Eastern Osprey,2015-02-14,8
New Caledonia,-22.0073779708,165.935103893,Sternula nereis,Fairy Tern,2015-02-28,36
New Caledonia,-22.0072586057,165.935382843,Sternula nereis,Fairy Tern,2015-02-28,66
New Caledonia,-21.6889395405,165.77732116,Drepanoptila holosericea,Cloven-feathered Dove,2015-02-14,1
New Caledonia,-22.2085140147,166.993925571,Microcarbo melanoleucos,Little Pied Cormorant,2015-01-31,2
New Caledonia,-22.2085140147,166.993925571,Egretta novaehollandiae,White-faced Heron,2015-01-31,3
New Caledonia,-22.2085140147,166.993925571,Pandion cristatus,Eastern Osprey,2015-01-31,2
New Caledonia,-21.6695529781,165.776824951,Eunymphicus cornutus,Horned Parakeet,2015-02-08,2
