country,latitude,longitude,scientific_name,vernacular_name,date,count
New Zealand,-42.4698926076,173.867826462,Daption capense,Cape Petrel,2015-02-18,1
New Zealand,-42.4698926076,173.867826462,Physeter macrocephalus,Sperm Whale,2015-02-18,3
New Zealand,-42.4698926076,173.867826462,Thalassarche cauta steadi,White-capped Albatross,2015-02-18,1
New Zealand,-42.4698926076,173.867826462,Thalassarche melanophris,Black-browed Albatross,2015-02-18,1
New Zealand,-42.4698926076,173.867826462,Macronectes giganteus,Southern Giant Petrel,2015-02-18,1
New Zealand,-42.4698926076,173.867826462,Macronectes halli,Northern Giant Petrel,2015-02-18,1
New Zealand,-42.4698926076,173.867826462,Procellaria westlandica,Westland Petrel,2015-02-18,1
New Zealand,-45.1115567965,170.976248235,Eudyptula minor,Little Penguin,2015-02-17,15
New Zealand,-45.7354491883,170.610238016,Phocarctos hookeri,New Zealand Sea Lion,2015-02-16,1
New Zealand,-45.7354491883,170.610238016,Megadyptes antipodes,Yellow-eyed Penguin,2015-02-16,5
New Zealand,-45.7750039526,170.728154629,Leucocarbo chalconotus,Otago Shag,2015-02-15,1
New Zealand,-45.7750039526,170.728154629,Diomedea sanfordi,Northern Royal Albatross,2015-02-15,15
New Zealand,-46.4464276818,169.809094371,Ardenna grisea,Sooty Shearwater,2015-02-15,50
New Zealand,-46.4464276818,169.809094371,Arctocephalus forsteri,New Zealand Fur Seal,2015-02-15,10
New Zealand,-46.4464276818,169.809094371,Platalea regia,Royal Spoonbill,2015-02-15,50
New Zealand,-44.652981139,167.89948225,Ardea alba modesta,Great Egret ssp modesta,2015-02-14,1
New Zealand,-44.652981139,167.89948225,Arctocephalus forsteri,New Zealand Fur Seal,2015-02-12,10
New Zealand,-45.1683129919,167.899503708,Petroica macrocephala macrocephala,South Island Tomtit,2015-02-12,1
New Zealand,-43.9462740877,169.279189194,Petroica australis australis,South Island Robin ssp australis,2015-02-12,1
New Zealand,-43.9462740877,169.279189194,Acanthisitta chloris chloris,Rifleman ssp chloris,2015-02-12,1
New Zealand,-43.8759437021,168.973417282,Phalacrocorax punctatus,Spotted Shag,2015-02-12,1
New Zealand,-43.8759437021,168.973417282,Cephalorhynchus hectori,Hector's Dolphin,2015-02-12,2
New Zealand,-43.4420653697,169.970056415,Hirundo neoxena,Welcome Swallow,2015-02-11,10
New Zealand,-42.1142201183,171.330378284,Sterna striata,White-fronted Tern,2015-02-10,10
New Zealand,-42.1142201183,171.330378284,Gallirallus australis,Weka,2015-02-10,1
New Zealand,-40.9806404728,173.037186563,Circus approximans,Swamp Harrier,2015-02-09,1
New Zealand,-40.9806404728,173.037186563,Anthornis melanura,New Zealand Bellbird,2015-02-09,1
New Zealand,-41.0358237876,173.023796976,Phalacrocorax punctatus punctatus,Spotted Shag ssp punctatus,2015-02-09,10
New Zealand,-40.5013291584,172.679902932,Arctocephalus forsteri,New Zealand Fur Seal,2015-02-08,5
New Zealand,-41.3079643935,174.743160009,Anas chlorotis,Brown Teal,2015-02-05,1
New Zealand,-40.8444403299,172.792056799,Gallirallus australis australis,Weka ssp australis,2015-02-07,1
New Zealand,-41.3063697493,174.738294482,Apteryx owenii,Little Spotted Kiwi,2015-02-05,1
