country,latitude,longitude,scientific_name,vernacular_name,date,count
Nicaragua,11.1336840006,-84.7749094393,Eresia clio,Clio Crescent,2010-02-09,1
Nicaragua,11.2636381,-85.8792980275,Calocitta formosa,White-throated Magpie-Jay,2015-01-09,1
Nicaragua,11.262493,-85.880095,Fregata magnificens,Magnificent Frigatebird,2015-01-09,1
Nicaragua,11.20431004,-85.83588928,Cathartes aura,Turkey Vulture,2015-01-08,20
Nicaragua,11.9335321092,-86.054019034,Eumomota superciliosa,Turquoise-browed Motmot,2015-01-04,5
Nicaragua,11.9335321092,-86.054019034,Melanerpes santacruzi santacruzi,Velasquez's Woodpecker ssp santacruzi,2015-01-04,1
Nicaragua,11.93353211,-86.05401903,Campylorhynchus capistratus,Rufous-backed Wren,2015-01-04,1
Nicaragua,11.9335321092,-86.054019034,Actitis macularius,Spotted Sandpiper,2015-01-03,1
Nicaragua,11.9335321092,-86.054019034,Fregata magnificens,Magnificent Frigatebird,2015-01-03,1
Nicaragua,11.9335321092,-86.054019034,Pandion haliaetus,Western Osprey,2015-01-03,4
Nicaragua,11.9335321092,-86.054019034,Ardea alba egretta,American Great Egret,2015-01-03,1
Nicaragua,11.4800246486,-85.5285644531,Calocitta formosa,White-throated Magpie-Jay,2013-08-10,1
