country,latitude,longitude,scientific_name,vernacular_name,date,count
Norway,70.06774804,29.74774047,Polysticta stelleri,Steller's Eider,2015-03-11,25
Norway,70.06771129,29.74787839,Somateria spectabilis,King Eider,2015-03-11,15
Norway,70.06772608,29.74794082,Somateria mollissima,Common Eider,2015-03-11,100
Norway,70.06773034,29.74796524,Clangula hyemalis,Long-tailed Duck,2015-03-11,18
Norway,70.06770941,29.74789805,Corvus corax,Northern Raven,2015-03-11,3
Norway,70.0943589,29.55768199,Clangula hyemalis,Long-tailed Duck,2015-03-11,34
Norway,70.0943464,29.55763012,Somateria mollissima,Common Eider,2015-03-11,50
Norway,70.09432581,29.55760325,Somateria spectabilis,King Eider,2015-03-11,8
Norway,69.43382524,29.84432612,Poecile cinctus,Grey-headed Chickadee,2015-03-11,2
Norway,69.43375387,29.84434481,Pinicola enucleator,Pine Grosbeak,2015-03-11,1
Norway,69.43375911,29.8444365,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-11,2
Norway,69.43601393,29.84935363,Surnia ulula,Northern Hawk-Owl,2015-03-11,1
Norway,69.17728419,29.20564631,Poecile cinctus,Grey-headed Chickadee,2015-03-11,6
Norway,69.40746785,29.79544386,Pinicola enucleator,Pine Grosbeak,2015-03-11,5
Norway,69.40430649,29.79272046,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-12,2
Norway,69.4,29.75,Lyrurus tetrix,Black Grouse,2015-03-12,1
Norway,69.40778818,29.78718616,Chloris chloris,European Greenfinch,2015-03-12,6
Norway,69.41507371,29.77574181,Pinicola enucleator,Pine Grosbeak,2015-03-12,5
Norway,69.41556202,29.7677906,Acanthis hornemanni,Arctic Redpoll,2015-03-12,2
Norway,69.40731744,29.79551072,Perisoreus infaustus,Siberian Jay,2015-03-12,2
Norway,69.42656163,29.87137891,Surnia ulula,Northern Hawk-Owl,2015-03-12,1
Norway,69.50070093,30.108399,Pyrrhula pyrrhula,Eurasian Bullfinch,2015-03-12,3
Norway,60.5811337345,4.95748042886,Corvus cornix,Hooded Crow,2009-04-28,1
Norway,70.0677736,29.7482927,Haliaeetus albicilla,White-tailed Eagle,2015-03-10,3
Norway,70.06783979,29.74740385,Clangula hyemalis,Long-tailed Duck,2015-03-10,16
Norway,70.06781168,29.74749717,Polysticta stelleri,Steller's Eider,2015-03-10,20
Norway,70.06781173,29.74749524,Somateria spectabilis,King Eider,2015-03-10,16
Norway,70.06767627,29.7482193,Lepus timidus,Mountain Hare,2015-03-10,2
Norway,70.26652077,30.86606088,Haliaeetus albicilla,White-tailed Eagle,2015-03-10,2
Norway,70.37837945,31.11626869,Rissa tridactyla,Black-legged Kittiwake,2015-03-10,100
Norway,70.38006204,31.11882959,Cepphus grylle,Black Guillemot,2015-03-10,20
Norway,70.38004509,31.1188027,Uria aalge,Common Murre,2015-03-10,100
Norway,70.38004144,31.11882792,Alca torda,Razorbill,2015-03-10,100
Norway,70.38004131,31.11882811,Larus hyperboreus,Glaucous Gull,2015-03-10,14
Norway,70.37993252,31.11852196,Larus glaucoides,Iceland Gull,2015-03-10,8
Norway,70.37956281,31.11781561,Somateria spectabilis,King Eider,2015-03-10,1
Norway,70.37851854,31.11655549,Corvus corax,Northern Raven,2015-03-10,4
Norway,70.37803883,31.11642272,Haliaeetus albicilla,White-tailed Eagle,2015-03-10,1
Norway,70.26633418,30.80195492,Falco rusticolus,Gyrfalcon,2015-03-10,1
Norway,70.26633399,30.80200461,Haliaeetus albicilla,White-tailed Eagle,2015-03-10,2
Norway,70.17505287,28.72663861,Haliaeetus albicilla,White-tailed Eagle,2015-03-09,3
Norway,70.06767768,29.74952168,Somateria mollissima,Common Eider,2015-03-09,80
Norway,70.06768015,29.74951897,Polysticta stelleri,Steller's Eider,2015-03-09,35
Norway,60.341,5.3549,Corvus cornix,Hooded Crow,2015-03-08,1
Norway,60.8000538913,8.9912045002,Loxia curvirostra,Red Crossbill,2015-03-08,7
