country,latitude,longitude,scientific_name,vernacular_name,date,count
Oman,24.3801303806,56.7377188057,Ichthyaetus hemprichii,Sooty Gull,2015-03-13,3
Oman,24.3574402801935,56.688188196001,Motacilla citreola,Citrine Wagtail,2015-03-13,1
Oman,24.3555828612449,56.6874398540775,Upupa epops,Eurasian Hoopoe,2015-03-13,1
Oman,24.3566346550016,56.6877200224319,Vanellus leucurus,White-tailed Lapwing,2015-03-13,3
Oman,24.3555828612449,56.6874398540775,Himantopus himantopus,Black-winged Stilt,2015-03-13,50
Oman,24.3800958728118,56.7375994473696,Thalasseus sandvicensis,Sandwich Tern,2015-03-13,1
Oman,24.3573016638655,56.6880809664822,Pycnonotus xanthopygos,White-spectacled Bulbul,2015-03-13,2
Oman,23.7979094474,57.5867566466,Ichthyaetus hemprichii,Sooty Gull,2015-03-07,6
Oman,23.8041783522,57.5672454201,Cinnyris asiaticus,Purple Sunbird,2015-03-04,2
Oman,23.804551364799998,57.5669289194,Acridotheres tristis,Common Myna,2015-03-06,1
Oman,17.79030045,53.10177792,Aquila chrysaetos homeyeri,Golden Eagle ssp homeyeri,2015-02-10,1
Oman,20.6282002832,58.8668632472,Bubulcus coromandus,Eastern Cattle Egret,2014-03-15,1
Oman,17.0120517008181,54.1766403615475,Threskiornis aethiopicus,African Sacred Ibis,2015-02-26,1
Oman,17.0426377239,54.4261550895,Rhyothemis semihyalina,Phantom Flutterer,2014-11-25,25
Oman,19.4539459799,54.6201324323,Orthetrum sabina,Slender Skimmer,2014-11-25,1
Oman,23.2532069534,57.5157165388,Trithemis arteriosa,Red-veined Dropwing,2014-11-21,5
Oman,17.0991914834,54.4523262973,Chamaeleo arabicus,Arabian Chameleon,2014-11-27,1
Oman,17.040861084,54.1200327869,Anthus campestris,Tawny Pipit,2015-02-24,5
Oman,16.9852994276,53.9513978362,Ciconia abdimii,Abdim's Stork,2015-01-26,200
Oman,17.0315906262,54.4371137023,Limosa limosa,Black-tailed Godwit,2015-01-24,2
Oman,17.0866423682286,54.2808116599917,Tchagra senegalus,Black-crowned Tchagra,2015-02-26,1
Oman,17.0883607609567,54.2801313847303,Oenanthe melanura,Blackstart,2015-02-26,3
Oman,17.0894250540653,54.2808824032545,Cinnyris osea,Palestine Sunbird,2015-02-26,2
Oman,17.0900336308622,54.2808582633734,Sylvia leucomelaena,Arabian Warbler,2015-02-26,1
Oman,17.0910392684176,54.2805293574929,Cinnyris habessinicus,Shining Sunbird,2015-02-26,3
Oman,17.0912232181,54.2805407569,Pycnonotus xanthopygos,White-spectacled Bulbul,2015-02-26,30
Oman,17.0913449965413,54.2805571854115,Terpsiphone viridis,African Paradise Flycatcher,2015-02-26,1
Oman,17.0929367615924,54.2802396789193,Terpsiphone viridis,African Paradise Flycatcher,2015-02-26,1
Oman,17.0927627481,54.2801518366,Treron waalia,Bruce's Green Pigeon,2015-02-26,4
Oman,17.0919952279584,54.2801655828953,Upupa epops,Eurasian Hoopoe,2015-02-26,1
Oman,17.09170338,54.28018014,Euodice cantans,African Silverbill,2015-02-26,1
Oman,17.0966913119797,54.2818188294768,Circaetus gallicus,Short-toed Snake Eagle,2015-02-26,1
Oman,17.11396455,54.55798113,Aquila heliaca,Eastern Imperial Eagle,2015-02-25,2
Oman,17.0406559279,54.364650249,Milvus aegyptius,Yellow-billed Kite,2015-02-25,1
Oman,17.0547603,54.35899175,Aquila fasciata,Bonelli's Eagle,2015-02-25,1
Oman,17.05476037,54.35899154,Aquila nipalensis,Steppe Eagle,2015-02-25,2
Oman,17.03242383,54.1887861,Pandion haliaetus,Western Osprey,2015-02-25,2
Oman,17.03242468,54.18878462,Clanga clanga,Greater Spotted Eagle,2015-02-25,1
Oman,17.0120247699517,54.176766090095,Pluvialis fulva,Pacific Golden Plover,2015-02-25,451
Oman,17.0120382353854,54.1769712790847,Calidris minuta,Little Stint,2015-02-25,75
Oman,17.0120382353854,54.1769712790847,Tringa nebularia,Common Greenshank,2015-02-25,5
Oman,17.0120382353854,54.1769712790847,Numenius arquata,Eurasian Curlew,2015-02-25,22
Oman,17,54.15,Charadrius asiaticus,Caspian Plover,2015-02-25,3
Oman,17.0122177744,54.1769615561,Threskiornis aethiopicus,African Sacred Ibis,2015-02-25,1
Oman,17.0120154723898,54.1769048944116,Gelochelidon nilotica,Gull-billed Tern,2015-02-25,10
Oman,17.0120154723898,54.1769048944116,Hydroprogne caspia,Caspian Tern,2015-02-25,2
Oman,17.012243102221,54.1769685968757,Spatula querquedula,Garganey,2015-02-25,5
Oman,17.012243102221,54.1769685968757,Phoenicopterus roseus,Greater Flamingo,2015-02-25,22
Oman,17.0119167258418,54.1764298081398,Ardeola ralloides,Squacco Heron,2015-02-25,4
Oman,17.0126281486716,54.17858697474,Pandion haliaetus,Western Osprey,2015-02-25,1
Oman,17.0120513802126,54.1769836843014,Limosa limosa,Black-tailed Godwit,2015-02-25,6
Oman,17.0121257606806,54.1769981011748,Platalea leucorodia,Eurasian Spoonbill,2015-02-25,1
Oman,17.0407465811919,54.1187324747443,Anthus richardi,Richard's Pipit,2015-02-25,1
Oman,17.0411495201044,54.1203733161092,Bubulcus ibis,Western Cattle Egret,2015-02-25,22
Oman,17.0417540871218,54.122228063643,Chlidonias leucopterus,White-winged Tern,2015-02-25,3
Oman,17.0430452767279,54.1214421764016,Pterocles exustus,Chestnut-bellied Sandgrouse,2015-02-25,100
Oman,17.0464292,54.12478703,Pycnonotus xanthopygos,White-spectacled Bulbul,2015-02-25,1
Oman,17.04642125,54.1247963,Euodice cantans,African Silverbill,2015-02-25,14
Oman,17.04641179,54.12480465,Acridotheres tristis,Common Myna,2015-02-25,6
Oman,17.04654437,54.1248779,Prinia gracilis,Graceful Prinia,2015-02-25,2
Oman,17.04663679,54.12500621,Spilopelia senegalensis,Laughing Dove,2015-02-25,8
Oman,17.04665866,54.12500664,Ploceus galbula,Rüppell's Weaver,2015-02-25,2
Oman,17.0482461673661,54.1254202276468,Ardeola ralloides,Squacco Heron,2015-02-25,1
Oman,17.0482461673661,54.1254202276468,Ardea cinerea,Grey Heron,2015-02-25,1
Oman,17.0456154483557,54.1247661039233,Lanius excubitor aucheri,Levant Grey Shrike,2015-02-25,1
Oman,17.0488401335245,54.1255446150899,Circus pygargus,Montagu's Harrier,2015-02-25,1
Oman,17.099606516267,54.4486639648676,Otus pamelae,Arabian Scops Owl,2015-02-24,1
Oman,17.1019509521717,54.4502213224769,Otus pamelae,Arabian Scops Owl,2015-02-24,1
Oman,17.0962631765635,54.4527999311686,Otus pamelae,Arabian Scops Owl,2015-02-24,1
Oman,17.09781264,54.28081934,Otus pamelae,Arabian Scops Owl,2015-02-24,1
Oman,17.1020913097545,54.2850123345852,Otus pamelae,Arabian Scops Owl,2015-02-24,1
Oman,17.1039800382608,54.2858421429992,Otus pamelae,Arabian Scops Owl,2015-02-24,1
Oman,17.1028155275644,54.285746589303,Otus pamelae,Arabian Scops Owl,2015-02-24,1
Oman,17.1034535418942,54.2844929918647,Otus pamelae,Arabian Scops Owl,2015-02-24,1
Oman,16.8838635266852,53.781086280942,Ardeola ralloides,Squacco Heron,2015-02-24,1
Oman,16.8788284447132,53.7823640182614,Phalacrocorax nigrogularis,Socotra Cormorant,2015-02-24,7
Oman,16.8925721,53.77366678,Sylvia leucomelaena,Arabian Warbler,2015-02-24,1
Oman,16.89225485,53.77353156,Ammomanes deserti,Desert Lark,2015-02-24,2
Oman,16.89498102,53.77421071,Emberiza striolata,Striolated Bunting,2015-02-24,12
Oman,16.8959784216998,53.7734838947654,Emberiza striolata,Striolated Bunting,2015-02-24,19
Oman,16.8954766842132,53.7737725675106,Porzana pusilla,Baillon's Crake,2015-02-24,1
Oman,16.8953634402097,53.7738168239594,Motacilla citreola,Citrine Wagtail,2015-02-24,1
Oman,16.895582870455,53.7745634838939,Aquila fasciata,Bonelli's Eagle,2015-02-24,1
Oman,17.040309021246,54.1188545152545,Anthus richardi,Richard's Pipit,2015-02-24,4
