country,latitude,longitude,scientific_name,vernacular_name,date,count
Panama,9.144128,-79.73247,Quiscalus mexicanus,Great-tailed Grackle,2015-02-12,1
Panama,9.144128,-79.73247,Dacnis cayana,Blue Dacnis,2015-02-12,3
Panama,9.144128,-79.73247,Tangara larvata,Golden-hooded Tanager,2015-02-12,1
Panama,9.144128,-79.73247,Tangara inornata,Plain-colored Tanager,2015-02-12,5
Panama,9.144128,-79.73247,Thraupis palmarum,Palm Tanager,2015-02-12,5
Panama,9.144128,-79.73247,Thraupis episcopus,Blue-grey Tanager,2015-02-12,3
Panama,9.144128,-79.73247,Ramphocelus dimidiatus,Crimson-backed Tanager,2015-02-12,2
Panama,9.144128,-79.73247,Tachyphonus luctuosus,White-shouldered Tanager,2015-02-12,2
Panama,9.144128,-79.73247,Protonotaria citrea,Prothonotary Warbler,2015-02-12,1
Panama,9.144128,-79.73247,Mimus gilvus,Tropical Mockingbird,2015-02-12,1
Panama,9.144128,-79.73247,Tachycineta albilinea,Mangrove Swallow,2015-02-12,50
Panama,9.144128,-79.73247,Tyrannus melancholicus,Tropical Kingbird,2015-02-12,5
Panama,9.144128,-79.73247,Pitangus sulphuratus,Great Kiskadee,2015-02-12,2
Panama,9.144128,-79.73247,Todirostrum cinereum,Common Tody-Flycatcher,2015-02-12,1
Panama,9.144128,-79.73247,Xiphorhynchus susurrans,Cocoa Woodcreeper,2015-02-12,3
Panama,9.144128,-79.73247,Notharchus pectoralis,Black-breasted Puffbird,2015-02-12,1
Panama,9.144128,-79.73247,Melanerpes rubricapillus,Red-crowned Woodpecker,2015-02-12,4
Panama,9.144128,-79.73247,Baryphthengus martii,Rufous Motmot,2015-02-12,1
Panama,9.144128,-79.73247,Amazilia tzacatl,Rufous-tailed Hummingbird,2015-02-12,1
Panama,9.144128,-79.73247,Brotogeris jugularis,Orange-chinned Parakeet,2015-02-12,10
Panama,9.144128,-79.73247,Patagioenas cayennensis,Pale-vented Pigeon,2015-02-12,2
Panama,9.144128,-79.73247,Jacana jacana,Wattled Jacana,2015-02-12,15
Panama,9.144128,-79.73247,Vanellus chilensis cayennensis,Southern Lapwing ssp cayennensis,2015-02-12,2
Panama,9.144128,-79.73247,Gallinula galeata,Common Gallinule,2015-02-12,10
