country,latitude,longitude,scientific_name,vernacular_name,date,count
Peru,-12.1067939066,-77.0586597201,Pyrocephalus obscurus,Vermilion Flycatcher,2015-03-06,1
Peru,-12.2251811135,-76.9872611404,Haematopus palliatus,American Oystercatcher,2015-03-08,10
Peru,-12.2244366392,-76.9873684287,Thalasseus elegans,Elegant Tern,2015-03-08,4
Peru,-12.2196302738,-76.9862419009,Pyrocephalus obscurus,Vermilion Flycatcher,2015-03-08,1
Peru,-12.2266399098,-76.9840263963,Larus belcheri,Belcher's Gull,2015-03-08,20
Peru,-12.25,-77,Charadrius vociferus,Killdeer,2015-03-08,3
Peru,-12.2119215567,-76.9906603574,Parabuteo unicinctus,Harris's Hawk,2015-03-08,2
Peru,-12.2003457373,-76.9951340677,Spatula cyanoptera,Cinnamon Teal,2015-03-08,2
Peru,-12.2114284495,-76.9904377878,Troglodytes aedon,House Wren,2015-03-08,1
Peru,-12.2195306591,-76.9907265543,Falco sparverius,American Kestrel,2015-03-08,1
Peru,-12.2191252271,-76.9914722085,Burhinus superciliaris,Peruvian Thick-knee,2015-03-08,3
Peru,-12.2164095536,-76.9926344633,Mimus longicaudatus,Long-tailed Mockingbird,2015-03-08,1
Peru,-12.2235608306,-76.9893246174,Himantopus mexicanus,Black-necked Stilt,2015-03-08,10
Peru,-12.2243787062,-76.9888686419,Rynchops niger,Black Skimmer,2015-03-08,100
Peru,-12.2243787062,-76.9888686419,Chroicocephalus cirrocephalus,Grey-headed Gull,2015-03-08,1
Peru,-12.2244101629,-76.9884663105,Larus dominicanus,Kelp Gull,2015-03-08,1
Peru,-12.2238911268,-76.9885414124,Tringa flavipes,Lesser Yellowlegs,2015-03-08,5
Peru,-12.2238911268,-76.9885414124,Phalaropus tricolor,Wilson's Phalarope,2015-03-08,1
Peru,-12.2238911268,-76.9885414124,Egretta caerulea,Little Blue Heron,2015-03-08,1
Peru,-12.2243682207,-76.9872807742,Platalea ajaja,Roseate Spoonbill,2015-03-08,1
Peru,-12.2251756083,-76.986508298,Podiceps major,Great Grebe,2015-03-08,1
Peru,-12.2257942543,-76.9853817702,Leucophaeus pipixcan,Franklin's Gull,2015-03-08,1
Peru,-12.2252039187,-76.9864724637,Gallinula galeata,Common Gallinule,2015-03-08,1
Peru,-12.2251824241,-76.9862365365,Nyctanassa violacea,Yellow-crowned Night Heron,2015-03-08,1
Peru,-12.2241548395,-76.9862204433,Thalasseus acuflavidus acuflavidus,Cabot's Tern ssp acuflavidus,2015-03-08,50
Peru,-12.2241548395,-76.9862204433,Himantopus mexicanus,Black-necked Stilt,2015-03-08,10
Peru,-12.223814058,-76.9864725709,Plegadis ridgwayi,Puna Ibis,2015-03-08,35
Peru,-12.2229437524,-76.9871270299,Pardirallus sanguinolentus,Plumbeous Rail,2015-03-08,1
Peru,-12.2204957408,-76.986629051,Columbina cruziana,Croaking Ground Dove,2015-03-08,1
Peru,-12.2199347541,-76.9856902778,Actitis macularius,Spotted Sandpiper,2015-03-08,1
Peru,-12.2197512534,-76.9855883539,Ardea alba egretta,American Great Egret,2015-03-08,1
Peru,-12.2195887242,-76.9860201895,Calidris minutilla,Least Sandpiper,2015-03-08,50
