country,latitude,longitude,scientific_name,vernacular_name,date,count
Poland,52.2138,21.0356,Aix galericulata,Mandarin Duck,2015-03-11,1
Poland,53.1208293805,22.7926540366,Grus grus,Common Crane,2015-03-10,10
Poland,53.1181705482,22.7942562099,Alces alces,Elk,2015-03-10,1
Poland,53.01,22.93,Spinulum annotinum,Interrupted Clubmoss,2015-03-10,50
Poland,52.2147,21.0293,Mergus merganser,Common Merganser,2015-03-10,2
Poland,52.2147,21.0303,Sciurus vulgaris,Eurasian Red Squirrel,2015-03-10,4
Poland,52.2504,21.0106,Corvus cornix,Hooded Crow,2015-03-09,2
Poland,53.0098379063,22.9287385932,Aglais urticae,Small Tortoiseshell,2015-03-10,1
Poland,52.4075,16.9567,Corvus cornix,Hooded Crow,2015-03-08,1
Poland,54.2,22.8,Leucorrhinia caudalis,Lilypad Whiteface,2014-07-14,1
Poland,54.2252522757,22.8098206222,Sympetrum sanguineum,Ruddy Darter,2014-07-14,1
Poland,54.2252522757,22.8098206222,Orthetrum cancellatum,Black-tailed Skimmer,2014-07-14,1
Poland,54.2252522757,22.8098206222,Speyeria aglaja,Dark Green Fritillary,2014-07-14,1
Poland,54.2240480189,22.8105930984,Thymelicus sylvestris,Small Skipper,2014-07-14,1
Poland,54.2,22.8,Lycaena virgaureae,Scarce Copper,2014-07-14,1
Poland,54.2,22.8,Coenonympha glycerion,Chestnut Heath,2014-07-14,2
Poland,54.2,22.8,Coenonympha arcania,Pearly Heath,2014-07-14,1
Poland,54.2240480189,22.8105930984,Fabriciana adippe,High Brown Fritillary,2014-07-14,1
Poland,54.2240480189,22.8105930984,Orthetrum cancellatum,Black-tailed Skimmer,2014-07-14,1
Poland,54.222843727,22.8113333881,Aphantopus hyperantus,Ringlet,2014-07-14,1
Poland,54.2227935474,22.8106789291,Cygnus olor,Mute Swan,2014-07-14,10
Poland,54.2227935474,22.8114943206,Speyeria aglaja,Dark Green Fritillary,2014-07-14,1
Poland,54.2227935474,22.8114943206,Pieris napi,Green-veined White,2014-07-14,1
Poland,50.4581191898836,18.7557981535792,Grus grus,Common Crane,2015-03-06,2
Poland,52.1728473551,20.9673786155,Corvus cornix,Hooded Crow,2015-03-06,2
Poland,54.0690969167,23.0827333778,Chrysochraon dispar,Large Golden Grasshopper,2014-07-13,1
Poland,54.0965498294,23.0637507141,Thymelicus lineola,Essex Skipper,2014-07-13,1
Poland,54.0692228321,23.0852010101,Motacilla alba,White Wagtail,2014-07-12,1
Poland,54.10092817,21.6224965453,Phalacrocorax carbo sinensis,Great Cormorant ssp sinensis,2014-07-10,1000
Poland,53.6457696846,21.5751387924,Aphantopus hyperantus,Ringlet,2014-07-09,1
Poland,53.6,21.55,Lycaena virgaureae,Scarce Copper,2014-07-09,5
Poland,53.6467490814,21.5763618797,Polygonia c-album,Comma Butterfly,2014-07-09,1
Poland,53.646087673,21.576018557,Ciconia ciconia,White Stork,2014-07-09,1
Poland,52.9923546957,22.8854566815,Corvus frugilegus,Rook,2015-03-05,1
Poland,53.0305415518,22.8726911536,Capreolus capreolus,European Roe Deer,2015-03-02,10
Poland,53.0297930894,22.8551387778,Grus grus,Common Crane,2015-03-02,2
Poland,52.7024,23.8331,Dendrocoptes medius,Middle Spotted Woodpecker,2015-02-27,1
Poland,52.7102,23.8062,Dendrocoptes medius,Middle Spotted Woodpecker,2015-02-27,1
Poland,52.7075,23.819,Dryocopus martius,Black Woodpecker,2015-02-27,1
Poland,53.1016549771,22.7934265128,Grus grus,Common Crane,2015-02-26,2
Poland,52.9841243711,22.9879760725,Cygnus cygnus,Whooper Swan,2015-02-20,5
Poland,52.980262489,22.9692935935,Capreolus capreolus,European Roe Deer,2015-02-26,10
Poland,52.9818300209,22.9706668845,Alces alces,Elk,2015-02-26,4
Poland,53.2242,22.5751,Grus grus,Common Crane,2015-02-24,2
Poland,53.065,22.8094,Grus grus,Common Crane,2015-02-24,2
Poland,52.7988,23.9064,Dryocopus martius,Black Woodpecker,2015-02-23,1
Poland,52.7876,23.7616,Dryocopus martius,Black Woodpecker,2015-02-23,1
Poland,53.6351542265,22.6007652283,Papilio machaon,Swallowtail,2008-05-10,1
