country,latitude,longitude,scientific_name,vernacular_name,date,count
Portugal,39.5810561232,-8.47328335047,Anas platyrhynchos,Mallard,2015-03-14,2
Portugal,40.948657511,-7.08640962839,Lycaena phlaeas,Small Copper,2015-03-09,1
Portugal,40.948657511,-7.08640962839,Zerynthia rumina,Spanish Festoon,2015-03-09,1
Portugal,38.7139444257,-9.13940861821,Columba livia domestica,Feral Pigeon,2015-03-11,1
Portugal,40.93763176,-7.09464595,Ptyonoprogne rupestris,Eurasian Crag Martin,2015-03-06,10
Portugal,40.8897033681,-6.93901017308,Malpolon monspessulanus,Montpellier Snake,2015-03-08,1
Portugal,40.9262233255,-7.09507852793,Neophron percnopterus,Egyptian Vulture,2015-03-09,1
Portugal,40.9318981902,-7.09563709795,Acanthodactylus erythrurus,Fringe-fingered Lizard,2015-03-09,1
Portugal,40.9302768139,-7.08633854985,Timon lepidus,Ocellated Lizard,2015-03-09,1
Portugal,40.93763176,-7.09464595,Acanthodactylus erythrurus,Fringe-fingered Lizard,2015-03-06,3
Portugal,39.9243687352,-7.18717753887,Saxicola rubicola,European Stonechat,2015-02-28,1
Portugal,40.88952946,-6.95869526,Galerida cristata,Crested Lark,2015-03-05,3
Portugal,40.88959696,-6.95831546,Saxicola rubicola,European Stonechat,2015-03-05,1
Portugal,40.93790872,-7.08612135,Emberiza cia,Rock Bunting,2015-03-06,1
Portugal,40.93792391,-7.08624501,Sylvia melanocephala,Sardinian Warbler,2015-03-06,1
Portugal,40.93584142,-7.09522042,Sylvia melanocephala,Sardinian Warbler,2015-03-06,1
Portugal,37.0850319293,-8.13148140907,Hieraaetus pennatus,Booted Eagle,2015-03-12,2
Portugal,37.0850319293,-8.13148140907,Ploceus melanocephalus,Black-headed Weaver,2015-03-12,1
Portugal,37.05,-8.15,Porphyrio porphyrio,Western Swamphen,2015-03-12,4
Portugal,37.0982496339,-8.20924736559,Lanius senator,Woodchat Shrike,2015-03-14,2
Portugal,40.93175027809495,-8.55234798628992,Crocothemis erythraea,Broad Scarlet,2012-09-15,1
Portugal,37.0922823451,-7.64624118456,Ichthyaetus audouinii,Audouin's Gull,2015-03-13,3
Portugal,37.7064164572,-7.91074275796,Elanus caeruleus,Black-winged Kite,2015-03-12,3
Portugal,37.7163905204,-7.9188823665,Aquila adalberti,Spanish Imperial Eagle,2015-03-12,1
Portugal,37.7008236718,-7.91905402788,Otis tarda,Great Bustard,2015-03-12,17
Portugal,40.6871149901,-8.59112977992,Falco peregrinus,Peregrine Falcon,2015-03-13,1
Portugal,39.5812037252,-8.45845341682,Borago officinalis,Borage,2015-03-13,1
Portugal,40.6863022503,-8.58318328879,Milvus migrans,Black Kite,2015-03-13,353
Portugal,40.720929088,-8.58996391384,Ardea purpurea,Purple Heron,2015-03-13,1
Portugal,39.5790895963,-8.47066347531,Anas platyrhynchos,Mallard,2015-03-12,2
Portugal,38.7638842787,-9.2523765564,Turdus merula,Common Blackbird,2015-03-12,2
Portugal,38.7638842787,-9.2523765564,Motacilla alba,White Wagtail,2015-03-12,2
Portugal,38.7638842787,-9.2523765564,Anas platyrhynchos,Mallard,2015-03-12,4
Portugal,38.7638842787,-9.2523765564,Passer domesticus,House Sparrow,2015-03-12,15
Portugal,38.7638842787,-9.2523765564,Phoenicurus ochruros,Black Redstart,2015-03-12,1
Portugal,38.7638842787,-9.2523765564,Bubulcus ibis,Western Cattle Egret,2015-03-12,1
Portugal,38.7638842787,-9.2523765564,Columba livia,Rock Dove,2015-03-12,20
Portugal,37.15,-8.6,Ophrys speculum,Mirror Bee Orchid,2015-03-11,4
Portugal,37.1550060354,-8.59604358717,Serinus serinus,European Serin,2015-03-11,1
Portugal,37.1550060354,-8.59604358717,Emberiza calandra,Corn Bunting,2015-03-11,1
Portugal,37.1536777794,-8.59713792845,Pelophylax perezi,Perez' Water Frog,2015-03-11,1
Portugal,37.1497897883,-8.59754562422,Carduelis carduelis,European Goldfinch,2015-03-11,1
Portugal,37.1497897883,-8.59754562422,Saxicola rubicola,European Stonechat,2015-03-11,1
Portugal,37.1497897883,-8.59754562422,Cisticola juncidis,Zitting Cisticola,2015-03-11,1
Portugal,37.1525433277,-8.59567880674,Elanus caeruleus,Black-winged Kite,2015-03-11,2
Portugal,37.1515171757,-8.59632253691,Falco tinnunculus,Common Kestrel,2015-03-11,1
Portugal,37.152081561,-8.59681606336,Athene noctua,Little Owl,2015-03-11,1
Portugal,40.29,-7.13,Primula vulgaris,Primrose,2015-03-13,1
Portugal,40.96198758859944,-8.627885219938058,Aeshna isoceles,Green-eyed Hawker,2012-04-28,1
Portugal,37.0870286798,-8.44227075533,Tachymarptis melba,Alpine Swift,2015-03-12,14
Portugal,37.7374791,-25.6751585,Carduelis carduelis,European Goldfinch,2014-09-19,1
Portugal,37.7376597980037,-25.6756402552128,Erithacus rubecula,European Robin,2014-09-19,1
Portugal,39.4593476,-31.1309851,Colias crocea,Clouded Yellow,2014-09-19,6
Portugal,39.4499651854858,-31.1465751752257,Regulus regulus inermis,Goldcrest ssp inermis,2014-09-19,1
Portugal,39.4402384897694,-31.2237324379385,Sylvia atricapilla gularis,Eurasian Blackcap ssp gularis,2014-09-19,1
Portugal,39.4383696606383,-31.223221058026,Sympetrum fonscolombii,Red-veined Darter,2014-09-19,1
Portugal,39.4287188630551,-31.2358395941555,Mustela putorius,Western Polecat,2014-09-19,1
Portugal,39.4313907623291,-31.2464817613363,Serinus canaria,Atlantic Canary,2014-09-19,1
Portugal,39.4367153663188,-31.2583034299314,Fringilla coelebs moreletti,Azores Chaffinch,2014-09-19,1
Portugal,39.4572123885155,-31.2642272561789,Arenaria interpres,Ruddy Turnstone,2014-09-19,1
Portugal,39.4590328121558,-31.2614355795085,Motacilla cinerea,Grey Wagtail,2014-09-19,2
Portugal,39.4591947086155,-31.2585440743715,Serinus canaria,Atlantic Canary,2014-09-19,2
Portugal,39.458792754449,-31.2569078430533,Regulus regulus inermis,Goldcrest ssp inermis,2014-09-19,1
Portugal,39.5202328171581,-31.2080473825335,Serinus canaria,Atlantic Canary,2014-09-20,2
Portugal,39.5199371874332,-31.2070450745523,Sterna hirundo,Common Tern,2014-09-20,1
Portugal,39.5176235726103,-31.2318295240402,Anax imperator,Blue Emperor,2014-09-20,1
Portugal,39.5197042962536,-31.2356032244861,Arenaria interpres,Ruddy Turnstone,2014-09-20,2
Portugal,39.5195993548259,-31.2359157018363,Calidris subruficollis,Buff-breasted Sandpiper,2014-09-20,1
Portugal,39.3783794157207,-31.1834030784667,Larus michahellis atlantis,Atlantic Yellow-legged Gull,2014-09-20,24
Portugal,39.445320982486,-31.2181539461017,Aix sponsa,Wood Duck,2014-09-21,1
Portugal,39.445320982486,-31.2181539461017,Anas rubripes,American Black Duck,2014-09-21,2
Portugal,39.4453313760459,-31.2179787643254,Anas rubripes,American Black Duck,2014-09-21,1
Portugal,39.4402218936,-31.2575801555,Sylvia nisoria,Barred Warbler,2014-09-21,1
Portugal,39.4499874813482,-31.2660418543965,Sterna hirundo,Common Tern,2014-09-21,2
Portugal,39.4516246346757,-31.2649912666529,Arenaria interpres,Ruddy Turnstone,2014-09-21,1
Portugal,39.378748848103,-31.1666590534151,Larus michahellis atlantis,Atlantic Yellow-legged Gull,2014-09-21,8
Portugal,39.5235730474815,-31.2093957792968,Calidris canutus,Red Knot,2014-09-22,1
Portugal,39.5231459476054,-31.209179777652,Calidris alba,Sanderling,2014-09-22,1
Portugal,39.5231459476054,-31.209179777652,Arenaria interpres,Ruddy Turnstone,2014-09-22,1
Portugal,39.5231459476054,-31.209179777652,Charadrius semipalmatus,Semipalmated Plover,2014-09-22,1
Portugal,39.5197102474049,-31.2356205750257,Calidris subruficollis,Buff-breasted Sandpiper,2014-09-22,1
Portugal,39.4453726150095,-31.2180342525244,Aix sponsa,Wood Duck,2014-09-22,1
Portugal,39.4453726150095,-31.2180342525244,Anas rubripes,American Black Duck,2014-09-22,3
Portugal,39.4411524525,-31.2577866856,Sylvia nisoria,Barred Warbler,2014-09-23,1
Portugal,38.7040735781193,-27.0455610752106,Calidris ferruginea,Curlew Sandpiper,2014-09-23,1
Portugal,38.7040620949119,-27.0456173177809,Pluvialis squatarola,Grey Plover,2014-09-23,1
Portugal,38.704050318338,-27.0456353388727,Spatula discors,Blue-winged Teal,2014-09-23,4
Portugal,38.704050318338,-27.0456353388727,Limnodromus griseus,Short-billed Dowitcher,2014-09-23,1
Portugal,38.7040057266131,-27.0456537790596,Calidris pugnax,Ruff,2014-09-23,1
Portugal,38.7040558923036,-27.0455932617187,Calidris ferruginea,Curlew Sandpiper,2014-09-23,1
Portugal,37.7374827302992,-25.6755600403994,Psittacula krameri,Rose-ringed Parakeet,2014-09-24,4
