country,latitude,longitude,scientific_name,vernacular_name,date,count
Senegal,16.3327749517,-16.2741279611,Phalaropus fulicarius,Red Phalarope,2010-02-24,1
Senegal,16.382534728,-16.2720680246,Spatula discors,Blue-winged Teal,2010-02-24,2
Senegal,16.4097373604,-16.2985020876,Ceryle rudis,Pied Kingfisher,2004-02-26,2
Senegal,16.4097373604,-16.2985020876,Chlidonias hybrida,Whiskered Tern,2004-02-26,4
Senegal,16.4097373604,-16.2985020876,Calidris pugnax,Ruff,2004-02-26,1
Senegal,16.4097373604,-16.2985020876,Actitis hypoleucos,Common Sandpiper,2004-02-26,3
Senegal,16.4097373604,-16.2985020876,Himantopus himantopus,Black-winged Stilt,2004-02-26,7
Senegal,16.4097373604,-16.2985020876,Dendrocygna viduata,White-faced Whistling Duck,2004-02-26,730
Senegal,16.4097373604,-16.2985020876,Ardea cinerea,Grey Heron,2004-02-26,6
Senegal,16.4097373604,-16.2985020876,Egretta ardesiaca,Black Heron,2004-02-26,1
Senegal,16.4097373604,-16.2985020876,Egretta garzetta,Little Egret,2004-02-26,3
Senegal,16.4097373604,-16.2985020876,Ardeola ralloides,Squacco Heron,2004-02-26,1
Senegal,16.4097373604,-16.2985020876,Microcarbo africanus,Reed Cormorant,2004-02-26,65
Senegal,16.4097373604,-16.2985020876,Phalacrocorax lucidus,White-breasted Cormorant,2004-02-26,56
Senegal,16.4097373604,-16.2985020876,Pelecanus onocrotalus,Great White Pelican,2004-02-26,650
Senegal,16.4089153006,-16.2995615602,Burhinus senegalensis,Senegal Thick-knee,2004-02-17,3
Senegal,16.4089153006,-16.2995615602,Calidris pugnax,Ruff,2004-02-17,2
Senegal,16.4089153006,-16.2995615602,Vanellus spinosus,Spur-winged Lapwing,2004-02-17,3
Senegal,16.4089153006,-16.2995615602,Himantopus himantopus,Black-winged Stilt,2004-02-17,6
Senegal,16.4089153006,-16.2995615602,Amaurornis flavirostra,Black Crake,2004-02-17,2
Senegal,16.4089153006,-16.2995615602,Dendrocygna viduata,White-faced Whistling Duck,2004-02-17,1450
Senegal,16.4089153006,-16.2995615602,Platalea alba,African Spoonbill,2004-02-17,3
Senegal,16.4089153006,-16.2995615602,Ardea cinerea,Grey Heron,2004-02-17,9
Senegal,16.4089153006,-16.2995615602,Egretta ardesiaca,Black Heron,2004-02-17,4
Senegal,16.4089153006,-16.2995615602,Egretta garzetta,Little Egret,2004-02-17,1
Senegal,16.4089153006,-16.2995615602,Ardea alba,Great Egret,2004-02-17,1
Senegal,16.4089153006,-16.2995615602,Ardeola ralloides,Squacco Heron,2004-02-17,2
Senegal,16.4089153006,-16.2995615602,Anhinga rufa,African Darter,2004-02-17,10
Senegal,16.4089153006,-16.2995615602,Microcarbo africanus,Reed Cormorant,2004-02-17,50
Senegal,16.4089153006,-16.2995615602,Phalacrocorax lucidus,White-breasted Cormorant,2004-02-17,85
Senegal,16.4089153006,-16.2995615602,Pelecanus onocrotalus,Great White Pelican,2004-02-17,70
Senegal,16.4089153006,-16.2995615602,Burhinus senegalensis,Senegal Thick-knee,2004-02-14,22
Senegal,16.4089153006,-16.2995615602,Calidris pugnax,Ruff,2004-02-14,12
Senegal,16.4089153006,-16.2995615602,Himantopus himantopus,Black-winged Stilt,2004-02-14,18
Senegal,16.4089153006,-16.2995615602,Dendrocygna viduata,White-faced Whistling Duck,2004-02-14,1800
Senegal,16.4089153006,-16.2995615602,Ardea purpurea,Purple Heron,2004-02-14,1
Senegal,16.4089153006,-16.2995615602,Ardea cinerea,Grey Heron,2004-02-14,6
Senegal,16.4089153006,-16.2995615602,Egretta garzetta,Little Egret,2004-02-14,1
Senegal,16.4089153006,-16.2995615602,Ardea alba,Great Egret,2004-02-14,2
Senegal,16.4089153006,-16.2995615602,Nycticorax nycticorax,Black-crowned Night Heron,2004-02-14,5
Senegal,16.4089153006,-16.2995615602,Microcarbo africanus,Reed Cormorant,2004-02-14,33
Senegal,16.4089153006,-16.2995615602,Pelecanus onocrotalus,Great White Pelican,2004-02-14,206
Senegal,13.8880650129569,-16.3706420872296,Laniarius barbarus,Yellow-crowned Gonolek,2015-02-23,1
Senegal,13.8881367066545,-16.3705928009803,Glaucidium perlatum,Pearl-spotted Owlet,2015-02-23,1
Senegal,15.9108945729924,-16.5066185259222,Euodice cantans,African Silverbill,2015-02-23,2
Senegal,15.9108945729924,-16.5066185259222,Sternula albifrons,Little Tern,2015-02-23,1
Senegal,15.9110711356351,-16.5065953158891,Ploceus cucullatus,Village Weaver,2015-02-23,1
Senegal,15.9110203539422,-16.5066785348684,Motacilla flava,Western Yellow Wagtail,2015-02-23,1
