country,latitude,longitude,scientific_name,vernacular_name,date,count
Slovakia,48.1,17.1,Castor fiber,Eurasian Beaver,2015-03-06,1
Slovakia,48.10747532,17.12782818,Helix pomatia,Escargot,2015-03-06,1
Slovakia,48.10850887,17.12749822,Helix pomatia,Escargot,2015-03-06,1
Slovakia,48.1336386,17.13713669,Talpa europaea,Common Mole,2015-03-06,1
Slovakia,48.0334,17.1983,Cygnus olor,Mute Swan,2015-03-03,2
Slovakia,48,17.15,Castor fiber,Eurasian Beaver,2015-03-03,1
Slovakia,48.2662828761,16.9306477904,Cygnus olor,Mute Swan,2015-03-01,50
Slovakia,48.2352,16.945,Cygnus olor,Mute Swan,2015-03-01,2
Slovakia,48.27029834,16.94476729,Lamium purpureum,Red Dead-nettle,2015-03-01,1
Slovakia,48.1822,17.0987,Sciurus vulgaris,Eurasian Red Squirrel,2015-02-27,1
Slovakia,48.1534,17.0997,Sciurus vulgaris,Eurasian Red Squirrel,2015-02-27,1
Slovakia,48.0500223288,17.1522475407,Eranthis hyemalis,Winter Aconite,2015-02-26,200
Slovakia,48.12052437,17.09998154,Corvus frugilegus,Rook,2015-02-26,1
Slovakia,48,17.15,Castor fiber,Eurasian Beaver,2015-02-26,1
Slovakia,49.3,19.2,Canis lupus,Wolf,2015-02-15,1
Slovakia,49.3,19.1,Canis lupus,Wolf,2015-02-19,1
Slovakia,48.1,17.05,Castor fiber,Eurasian Beaver,2015-02-07,1
