country,latitude,longitude,scientific_name,vernacular_name,date,count
Slovenia,45.5401185454,13.6704826425,Phalacrocorax carbo,Great Cormorant,2015-03-11,2
Slovenia,45.5230909278,13.5690307582,Larus michahellis,Yellow-legged Gull,2015-03-13,30
Slovenia,45.4776587785,13.5905456473,Egretta garzetta,Little Egret,2015-03-12,30
Slovenia,45.4776587785,13.5905456473,Anas platyrhynchos,Mallard,2015-03-12,100
Slovenia,45.4776587785,13.5905456473,Cygnus olor,Mute Swan,2015-03-12,31
Slovenia,45.4786216899,13.5950088484,Emberiza cirlus,Cirl Bunting,2015-03-12,10
Slovenia,45.4786216899,13.5950088484,Phalacrocorax carbo,Great Cormorant,2015-03-12,25
Slovenia,45.4786216899,13.5950088484,Motacilla alba,White Wagtail,2015-03-12,35
Slovenia,45.771039924,14.484436959,Strix uralensis,Ural Owl,2015-02-16,1
Slovenia,45.7563741215,14.4703282043,Strix uralensis,Ural Owl,2015-02-18,1
Slovenia,46.4586587381,13.7388753891,Corvus cornix,Hooded Crow,2013-07-03,1
Slovenia,46.268781949,13.9482888579,Muscicapa striata,Spotted Flycatcher,2013-07-03,1
Slovenia,46.268781949,13.9482888579,Motacilla alba,White Wagtail,2013-07-02,1
Slovenia,46.268781949,13.9482888579,Buteo buteo,Common Buzzard,2013-07-02,1
Slovenia,46.2781380469,13.8877451979,Aromia moschata,Musk beetle,2014-09-06,1
Slovenia,46.2955928485,13.8438624144,Calopteryx virgo,Beautiful Demoiselle,2014-08-31,1
Slovenia,46.28361034,13.8446080685,Larus michahellis,Yellow-legged Gull,2014-09-05,1
Slovenia,46.2797211376,13.8434852287,Parnassia palustris,Grass-of-Parnassus,2014-08-30,1
