country,latitude,longitude,scientific_name,vernacular_name,date,count
South Africa,-34.1977673408,18.4538412453,Spheniscus demersus,African Penguin,2015-02-21,10
South Africa,-34.2103193954,18.4620669363,Bostrychia hagedash,Hadada Ibis,2015-02-21,1
South Africa,-34.3131421031,18.4491742013,Melaenornis silens,Fiscal Flycatcher,2015-02-21,3
South Africa,-34.3131421031,18.4491742013,Emberiza capensis,Cape Bunting,2015-02-21,1
South Africa,-34.356502205,18.4719516283,Thalasseus bergii,Greater Crested Tern,2015-02-21,8
South Africa,-34.3505145871,18.4837962627,Corvus albicollis,White-necked Raven,2015-02-21,1
South Africa,-34.35699023,18.4768727301,Ptyonoprogne fuligula,Rock Martin,2015-02-21,2
South Africa,-34.3578405029,18.4775593756,Phalacrocorax capensis,Cape Cormorant,2015-02-21,50
South Africa,-34.1921228978,18.4331632377,Chroicocephalus hartlaubii,Hartlaub's Gull,2015-02-21,6
South Africa,-34.0470135932,18.3592417717,Larus dominicanus vetula,Cape Gull,2015-02-20,1
South Africa,-34.0774434702,18.3569563153,Onychognathus morio,Red-winged Starling,2015-02-20,2
South Africa,-34.0669923116,18.3707750558,Columba guinea,Speckled Pigeon,2015-02-20,4
South Africa,-34.0666901331,18.3710861921,Promerops cafer,Cape Sugarbird,2015-02-20,2
South Africa,-33.8573213412,18.4965708731,Plegadis falcinellus,Glossy Ibis,2015-02-20,1
South Africa,-33.8596377851,18.498673725,Ardea intermedia,Intermediate Egret,2015-02-20,1
South Africa,-33.1138134949,18.1308871867,Prinia maculosa,Karoo Prinia,2015-02-20,1
South Africa,-33.1138134949,18.1308871867,Dendropicos fuscescens,Cardinal Woodpecker,2015-02-20,1
South Africa,-22.6748869495,31.0785198212,Cinnyris talatala,White-bellied Sunbird,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Buphagus erythrorynchus,Red-billed Oxpecker,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Crithagra mozambica,Yellow-fronted Canary,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Passer diffusus,Southern Grey-headed Sparrow,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Buphagus africanus,Yellow-billed Oxpecker,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Terpsiphone viridis,African Paradise Flycatcher,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Cercotrichas leucophrys,White-browed Scrub Robin,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Melaniparus niger,Southern Black Tit,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Dicrurus adsimilis,Fork-tailed Drongo,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Dendropicos fuscescens,Cardinal Woodpecker,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Turdus libonyana,Kurrichane Thrush,2015-03-01,1
South Africa,-22.6748869495,31.0785198212,Oriolus larvatus,Black-headed Oriole,2015-03-01,1
South Africa,-23.0974572977,31.4905071259,Pinarocorys nigricans,Dusky Lark,2015-03-01,1
South Africa,-22.6993985773,31.0160082579,Campethera bennettii,Bennett's Woodpecker,2015-03-01,1
South Africa,-22.6993985773,31.0160082579,Tockus leucomelas,Southern Yellow-billed Hornbill,2015-03-01,1
