country,latitude,longitude,scientific_name,vernacular_name,date,count
Spain,28.3998577366,-13.8704716048,Neophron percnopterus majorensis,Egyptian Vulture ssp majorensis,2015-03-11,2
Spain,28.4027842754,-13.8664767904,Vanessa cardui,Painted Lady,2015-03-12,1
Spain,28.3908925374,-13.8615200675,Anthus berthelotii,Berthelot's Pipit,2015-03-12,1
Spain,28.3917608681,-13.8590095199,Arenaria interpres,Ruddy Turnstone,2015-03-12,1
Spain,28.3917608681,-13.8591168082,Charadrius hiaticula,Common Ringed Plover,2015-03-12,2
Spain,28.3918174981,-13.8591382659,Actitis hypoleucos,Common Sandpiper,2015-03-12,1
Spain,28.3918403065,-13.8596244169,Numenius phaeopus,Eurasian Whimbrel,2015-03-12,1
Spain,28.12490366,-17.206620276,Regulus regulus teneriffae,Goldcrest ssp teneriffae,2010-12-16,1
Spain,28.3440457578,-16.5848627687,Cyanistes teneriffae teneriffae,African Blue Tit ssp teneriffae,2010-12-21,4
Spain,28.190209964,-16.6656012833,Cyanistes teneriffae teneriffae,African Blue Tit ssp teneriffae,2010-12-21,8
Spain,28.5435082912,-16.2242853642,Cyanistes teneriffae teneriffae,African Blue Tit ssp teneriffae,2010-12-17,1
Spain,28.1251313391,-17.2074075043,Cyanistes teneriffae,African Blue Tit,2010-12-16,2
Spain,28.3047771236,-16.8407676369,Cyanistes teneriffae teneriffae,African Blue Tit ssp teneriffae,2010-12-14,1
Spain,28.318813062,-16.8089459091,Cyanistes teneriffae teneriffae,African Blue Tit ssp teneriffae,2010-12-14,2
Spain,28.3432903484,-16.9188299775,Corvus corax canariensis,Northern Raven ssp canariensis,2010-12-14,2
Spain,28.3033971024,-16.8324843049,Corvus corax canariensis,Northern Raven ssp canariensis,2010-12-14,2
Spain,28.0658451362,-16.6925092041,Lanius excubitor koenigi,Canary Island Desert Grey Shrike,2010-12-23,1
Spain,28.0057666339,-16.6761571169,Lanius excubitor koenigi,Canary Island Desert Grey Shrike,2010-12-22,2
Spain,28.0057666339,-16.6761571169,Lanius excubitor koenigi,Canary Island Desert Grey Shrike,2010-12-20,2
Spain,28.0057666339,-16.6761571169,Lanius excubitor koenigi,Canary Island Desert Grey Shrike,2010-12-18,2
Spain,28.1913260884,-16.6656515747,Dendrocopos major canariensis,Tenerife Great Spotted Woodpecker,2010-12-21,2
Spain,28.003949084,-16.688374579,Upupa epops,Eurasian Hoopoe,2010-12-18,1
Spain,28.3486074608,-16.5887187794,Columba bollii,Bolle's Pigeon,2010-12-21,1
Spain,28.3926697554,-16.6095023789,Columba junoniae,Laurel Pigeon,2010-12-21,1
Spain,28.3187354373,-16.8093663454,Columba livia,Rock Dove,2010-12-23,10
Spain,28.3187354373,-16.8093663454,Columba livia,Rock Dove,2010-12-14,40
Spain,28.2999952368,-16.814172864,Columba livia,Rock Dove,2010-12-14,6
Spain,28.0460740183,-16.7151242495,Thalasseus sandvicensis,Sandwich Tern,2010-12-15,7
Spain,28.0069791062,-16.6825085878,Larus fuscus,Lesser Black-backed Gull,2010-12-20,2
Spain,28.0069791062,-16.6825085878,Larus fuscus,Lesser Black-backed Gull,2010-12-18,2
Spain,28.3360114562,-13.8846676983,Vanessa cardui,Painted Lady,2015-03-10,1
Spain,28.3595353189,-13.8853736222,Tadorna ferruginea,Ruddy Shelduck,2015-02-28,2
Spain,28.3603871222,-13.881854564,Upupa epops,Eurasian Hoopoe,2015-02-28,1
Spain,28.35156664,-13.88061002,Corvus corax canariensis,Northern Raven ssp canariensis,2015-02-28,2
Spain,28.3559475994,-13.8778634382,Passer hispaniolensis,Spanish Sparrow,2015-02-28,1
Spain,28.3578358878,-13.8803954436,Lanius excubitor koenigi,Canary Island Desert Grey Shrike,2015-02-28,1
Spain,28.361990004,-13.8838715864,Sylvia conspicillata,Spectacled Warbler,2015-02-28,1
Spain,28.3555279096,-16.7773528397,Cyanistes teneriffae,African Blue Tit,2015-03-14,1
Spain,28.3611214295,-13.8862319304,Buteo buteo,Common Buzzard,2015-02-28,1
Spain,28.35915767,-13.88674691,Neophron percnopterus majorensis,Egyptian Vulture ssp majorensis,2015-02-28,1
Spain,28.373267567,-16.7644893005,Phylloscopus canariensis,Canary Islands Chiffchaff,2015-03-14,1
Spain,28.3733147669,-16.7633520439,Sylvia atricapilla,Eurasian Blackcap,2015-03-14,2
Spain,28.3792993985,-16.7623827606,Larus michahellis,Yellow-legged Gull,2015-03-14,12
Spain,28.3933388949,-13.8620705916,Bubulcus ibis,Western Cattle Egret,2015-02-28,1
Spain,28.3791861251,-16.7245528847,Columba livia,Rock Dove,2015-03-14,4
Spain,28.3648182964,-16.7174718529,Phylloscopus canariensis,Canary Islands Chiffchaff,2015-03-14,1
Spain,28.3648182964,-16.7174718529,Serinus canaria,Atlantic Canary,2015-03-14,4
Spain,37.3832,-5.9897,Chloris chloris,European Greenfinch,2015-03-13,1
Spain,37.453,-5.7634,Delichon urbicum,Common House Martin,2015-03-14,1
Spain,37.4579,-5.7463,Upupa epops,Eurasian Hoopoe,2015-03-14,1
Spain,37.4726,-5.6323,Upupa epops,Eurasian Hoopoe,2015-03-14,1
Spain,28.6062831758,-13.9261220771,Sylvia conspicillata,Spectacled Warbler,2015-03-02,1
Spain,28.6066137621,-13.9260540164,Anthus berthelotii,Berthelot's Pipit,2015-03-02,1
Spain,28.60530449,-13.92503478,Corvus corax canariensis,Northern Raven ssp canariensis,2015-03-02,1
Spain,28.6053986857,-13.9256355918,Upupa epops,Eurasian Hoopoe,2015-03-02,2
Spain,40.8004174793,0.659980766941,Phoenicurus ochruros,Black Redstart,2015-03-14,1
Spain,40.8004174793,0.659980766941,Upupa epops,Eurasian Hoopoe,2015-03-14,1
Spain,40.8004174793,0.659980766941,Sturnus unicolor,Spotless Starling,2015-03-14,1
Spain,40.8004174793,0.659980766941,Carduelis carduelis,European Goldfinch,2015-03-14,1
Spain,40.8004174793,0.659980766941,Sylvia melanocephala,Sardinian Warbler,2015-03-14,1
Spain,40.8004174793,0.659980766941,Sylvia melanocephala,Sardinian Warbler,2015-03-13,1
Spain,40.8004174793,0.659980766941,Upupa epops,Eurasian Hoopoe,2015-03-13,1
Spain,40.8004174793,0.659980766941,Circaetus gallicus,Short-toed Snake Eagle,2015-03-13,1
Spain,40.8004174793,0.659980766941,Bubulcus ibis,Western Cattle Egret,2015-03-13,1
Spain,40.8004174793,0.659980766941,Carduelis carduelis,European Goldfinch,2015-03-13,1
Spain,28.0070187718,-16.6832394898,Tringa nebularia,Common Greenshank,2010-12-20,8
Spain,28.0070187718,-16.6832394898,Tringa nebularia,Common Greenshank,2010-12-20,3
Spain,28.0070187718,-16.6832394898,Tringa nebularia,Common Greenshank,2010-12-18,5
Spain,28.0070187718,-16.6832394898,Actitis hypoleucos,Common Sandpiper,2010-12-18,1
Spain,28.0070187718,-16.6832394898,Actitis hypoleucos,Common Sandpiper,2010-12-20,1
Spain,28.0070187718,-16.6832394898,Actitis hypoleucos,Common Sandpiper,2010-12-22,1
Spain,28.0525860892,-16.6390192509,Falco tinnunculus canariensis,Common Kestrel ssp canariensis,2010-12-13,1
Spain,28.318643055,-16.8093106896,Buteo buteo insularum,Common Buzzard ssp insularum,2010-12-21,1
Spain,28.3441032985,-16.5852282196,Buteo buteo insularum,Common Buzzard ssp insularum,2010-12-21,1
Spain,28.3926836916,-16.6091749817,Buteo buteo insularum,Common Buzzard ssp insularum,2010-12-21,1
Spain,28.3160920317,-16.8039026856,Buteo buteo insularum,Common Buzzard ssp insularum,2010-12-14,8
Spain,36.1013703512,-5.79368546605,Monticola solitarius,Blue Rock Thrush,2003-09-14,3
Spain,36.1013703512,-5.79368546605,Gyps fulvus,Griffon Vulture,2003-09-14,10
Spain,38.18757156,-0.79097281,Ichthyaetus melanocephalus,Mediterranean Gull,2015-03-13,9
Spain,38.18764416,-0.79097775,Bubulcus ibis,Western Cattle Egret,2015-03-13,45
Spain,38.20462335,-0.76433487,Phylloscopus collybita,Common Chiffchaff,2015-03-13,1
Spain,38.2,-0.8,Porphyrio porphyrio,Western Swamphen,2015-03-13,1
Spain,38.20462237,-0.76433551,Ciconia ciconia,White Stork,2015-03-13,2
Spain,38.20462781,-0.76430745,Clanga clanga,Greater Spotted Eagle,2015-03-13,1
Spain,38.2045992,-0.76432439,Cettia cetti,Cetti's Warbler,2015-03-13,3
Spain,38.2046736,-0.76406694,Plegadis falcinellus,Glossy Ibis,2015-03-13,1
Spain,38.20393821,-0.7636317,Circus aeruginosus,Western Marsh Harrier,2015-03-13,1
Spain,38.20283204,-0.76284363,Rallus aquaticus,Water Rail,2015-03-13,2
Spain,38.19230951,-0.75541557,Hieraaetus pennatus,Booted Eagle,2015-03-13,1
Spain,38.18978955,-0.75369185,Hieraaetus pennatus,Booted Eagle,2015-03-13,1
Spain,38.18956933,-0.75250848,Netta rufina,Red-crested Pochard,2015-03-13,1
Spain,38.18956904,-0.75250836,Oxyura leucocephala,White-headed Duck,2015-03-13,8
Spain,38.18955603,-0.7524605,Clanga clanga,Greater Spotted Eagle,2015-03-13,1
Spain,38.15,-0.8,Porphyrio porphyrio,Western Swamphen,2015-03-13,1
Spain,38.16765665,-0.73831983,Fulica cristata,Red-knobbed Coot,2015-03-13,3
Spain,38.166918,-0.73782753,Hieraaetus pennatus,Booted Eagle,2015-03-13,1
Spain,38.17157035,-0.72566711,Oxyura leucocephala,White-headed Duck,2015-03-13,40
Spain,38.17156865,-0.72566444,Phoenicopterus roseus,Greater Flamingo,2015-03-13,420
Spain,38.17156782,-0.72566562,Podiceps nigricollis,Black-necked Grebe,2015-03-13,31
Spain,38.19128538,-0.7546875,Pandion haliaetus,Western Osprey,2015-03-13,1
Spain,38.03833307,-0.89587981,Lanius meridionalis,Iberian Grey Shrike,2015-03-13,2
Spain,38.03698532,-0.88841281,Picus sharpei,Iberian Green Woodpecker,2015-03-13,1
Spain,36.5679766134,-4.89087536931,Regulus ignicapilla,Common Firecrest,2003-09-13,5
Spain,28.3716151142,-16.7189021409,Falco tinnunculus,Common Kestrel,2015-03-13,1
Spain,36.5789359571,-4.88450914621,Regulus ignicapilla,Common Firecrest,2003-09-13,3
Spain,28.3065337835,-16.8404383957,Corvus corax,Northern Raven,2015-03-13,2
Spain,28.3777321435,-16.7243094742,Larus michahellis,Yellow-legged Gull,2015-03-13,6
Spain,28.3718416772,-16.8681617081,Buteo buteo,Common Buzzard,2015-03-13,1
Spain,28.3412890776,-16.9231362641,Larus michahellis,Yellow-legged Gull,2015-03-13,2
Spain,28.3050227212,-16.8401024491,Phylloscopus canariensis,Canary Islands Chiffchaff,2015-03-13,1
Spain,28.2960109543,-16.8166636303,Cyanistes teneriffae,African Blue Tit,2015-03-13,2
Spain,36.9683932906122,-3.05310101303822,Colias crocea,Clouded Yellow,2015-03-10,2
Spain,36.973301963837,-3.05134181012575,Pieris rapae,Small White,2015-03-10,1
Spain,36.9778564148116,-3.05044449253957,Colotis evagore,Desert Orange-tip,2015-03-10,1
Spain,36.9778560295386,-3.05044727668237,Colias crocea,Clouded Yellow,2015-03-10,1
Spain,36.9816609936481,-3.05071487678842,Colotis evagore,Desert Orange-tip,2015-03-10,1
Spain,36.9887512021034,-3.04894836395271,Glaucopsyche melanops,Black-eyed Blue,2015-03-10,1
Spain,36.996063984795,-3.04351027038425,Lycaena phlaeas,Small Copper,2015-03-10,1
