country,latitude,longitude,scientific_name,vernacular_name,date,count
Sri Lanka,6.9419337711,79.847946167,Egretta garzetta,Little Egret,2015-03-10,5
Sri Lanka,6.94,79.84,Corvus splendens,House Crow,2015-03-10,100
Sri Lanka,6.9419337711,79.847946167,Pelecanus philippensis,Spot-billed Pelican,2015-03-10,100
Sri Lanka,7.9239,80.7632,Chloropsis jerdoni,Jerdon's Leafbird,2001-11-05,1
Sri Lanka,6.4391737611,80.4184001684,Iduna rama,Sykes's Warbler,2015-02-27,1
Sri Lanka,6.42872252518,80.414264201699993,Hypothymis azurea,Black-naped Monarch,2015-02-25,1
Sri Lanka,6.42872252518,80.414264201699993,Zoothera imbricata,Sri Lanka Thrush,2015-02-25,1
Sri Lanka,6.43185838076,80.414199829,Batrachostomus moniliger,Sri Lanka Frogmouth,2015-02-25,2
Sri Lanka,6.42368891142,80.4167175291,Phaenicophaeus pyrrhocephalus,Red-faced Malkoha,2015-02-25,2
Sri Lanka,6.43167927059,80.4152297969,Accipiter trivirgatus,Crested Goshawk,2015-02-25,1
Sri Lanka,6.43088535781,80.4143142698,Sturnornis albofrontatus,White-faced Starling,2015-02-26,5
Sri Lanka,6.43504823377,80.4135560985,Zosterops ceylonensis,Sri Lanka White-eye,2015-02-26,2
Sri Lanka,6.43161725743,80.415046513,Phylloscopus magnirostris,Large-billed Leaf Warbler,2015-02-26,1
Sri Lanka,6.44357715344,80.4175043102,Lophotriorchis kienerii,Rufous-bellied Eagle,2015-02-26,1
Sri Lanka,6.44405192586,80.416020154700007,Nisaetus cirrhatus ceylanensis,Changeable Hawk-Eagle ssp ceylanensis,2015-02-27,1
Sri Lanka,6.44450111139,80.4150366779,Lonchura kelaarti,Black-throated Munia,2015-02-27,5
Sri Lanka,6.44430494826,80.4155158988,Gomphidia pearsoni,Rivulet Tiger,2015-02-26,1
Sri Lanka,6.98491168929,80.4029560085,Acisoma panorpoides,Grizzled Pintail,2015-02-16,1
Sri Lanka,6.29020546468,81.3012599944,Crocothemis servilia,Oriental Scarlet,2015-02-19,1
Sri Lanka,6.29438867606,81.2701320639,Rhyothemis variegata,Variegated Flutterer,2015-02-21,1
Sri Lanka,6.44418270151,80.4155409335,Neurobasis chinensis,Common Green Metalwing,2015-02-26,2
Sri Lanka,6.43924661242,80.4183518885,Orthetrum sabina,Slender Skimmer,2015-02-26,1
Sri Lanka,6.44458782116,80.4149132966,Trithemis festiva,Indigo Dropwing,2015-02-26,1
Sri Lanka,6.44458782116,80.4149132966,Orthetrum luzonicum,Marsh Skimmer,2015-02-26,1
Sri Lanka,6.44458782116,80.4149132966,Neurothemis tullia,Pied paddy skimmer,2015-02-26,2
Sri Lanka,6.43892154155,80.4728485225,Trithemis festiva,Indigo Dropwing,2015-02-04,1
Sri Lanka,6.41708702053,80.4948211787,Trithemis festiva,Indigo Dropwing,2015-02-04,1
Sri Lanka,6.41708702,80.49482118,Diplacodes trivialis,Chalky Percher,2015-02-04,1
Sri Lanka,6.40215029425,80.4955283809,Orthetrum sabina,Slender Skimmer,2015-02-04,1
Sri Lanka,6.25694333253,81.3101028325,Brachythemis contaminata,Asian Amberwing,2015-02-08,1
Sri Lanka,6.40215029425,80.4955283809,Neurothemis tullia,Pied paddy skimmer,2015-02-04,1
Sri Lanka,7.95052184071,80.7638025284,Tephrodornis affinis,Sri Lanka Woodshrike,2001-11-07,1
Sri Lanka,8.34314198984,80.443611145,Urothemis signata,Scarlet Basker,2014-07-22,2
Sri Lanka,8.34484043268,80.4427528381,Anastomus oscitans,Asian Openbill,2014-07-22,1
Sri Lanka,8.34484043268,80.4427528381,Ardeola grayii,Indian Pond Heron,2014-07-22,1
Sri Lanka,8.34331183446,80.4981994629,Trithemis aurora,Crimson Dropwing,2014-07-22,4
Sri Lanka,8.6180545042,81.2177449465,Brachythemis contaminata,Asian Amberwing,2014-07-22,8
Sri Lanka,8.61889251149,81.2180185318,Acridotheres tristis,Common Myna,2014-07-20,1
Sri Lanka,8.61889251149,81.2180185318,Merops orientalis,Green Bee-eater,2014-07-20,1
Sri Lanka,8.61896676522,81.2178790569,Merops orientalis,Green Bee-eater,2014-07-19,1
Sri Lanka,8.61896676522,81.2178790569,Upupa epops,Eurasian Hoopoe,2014-07-20,1
Sri Lanka,8.61896676522,81.2178790569,Vanellus indicus,Red-wattled Lapwing,2014-07-19,4
Sri Lanka,8.61896676522,81.2178790569,Neurothemis tullia,Pied paddy skimmer,2014-07-19,1
Sri Lanka,7.95723723397,80.7440185547,Ratufa macroura,Grizzled Giant Squirrel,2015-01-27,1
Sri Lanka,7.893989182,80.9589385986,Semnopithecus priam,Tufted Grey Langur,2014-07-17,12
Sri Lanka,7.91779335263,80.9692382812,Ratufa macroura,Grizzled Giant Squirrel,2014-07-17,1
Sri Lanka,7.91779335263,80.9692382812,Junonia atlites,Gray pansy,2014-07-17,1
Sri Lanka,7.91779335263,80.9692382812,Haliaeetus ichthyaetus,Grey-headed Fish Eagle,2014-07-17,1
Sri Lanka,7.91779335263,80.9692382812,Ardea purpurea,Purple Heron,2014-07-17,1
Sri Lanka,7.91779335263,80.9692382812,Haliastur indus,Brahminy Kite,2014-07-17,1
Sri Lanka,7.92289406753,80.9774780273,Hydrophasianus chirurgus,Pheasant-tailed Jacana,2014-07-17,6
Sri Lanka,7.92663455164,80.9791946411,Chrysocolaptes stricklandi,Crimson-backed Flameback,2014-07-17,1
Sri Lanka,6.94551221951,80.7900238037,Cinnyris lotenius,Loten's Sunbird,2014-07-14,1
Sri Lanka,6.46951556033,81.566619873,Axis axis,Chital,2014-07-12,12
Sri Lanka,6.46951556033,81.566619873,Threskiornis melanocephalus,Black-headed Ibis,2014-07-12,4
Sri Lanka,6.46951556033,81.566619873,Terpsiphone paradisi,Indian Paradise Flycatcher,2014-07-12,1
Sri Lanka,6.4344,80.4185,Varanus salvator,Common Water Monitor,2001-11-14,1
Sri Lanka,6.43437728582,80.418548584,Hypsipetes ganeesa humii,Square-tailed Bulbul ssp humii,2001-11-14,1
Sri Lanka,6.48588984466,80.8497619629,Pelecanus philippensis,Spot-billed Pelican,2014-07-11,4
Sri Lanka,6.48588984466,80.8497619629,Mycteria leucocephala,Painted Stork,2014-07-11,51
Sri Lanka,6.45245844989,80.902633667,Leptoptilos javanicus,Lesser Adjutant,2001-11-13,2
Sri Lanka,6.48588984466,80.8497619629,Platalea leucorodia,Eurasian Spoonbill,2014-07-11,2
Sri Lanka,6.48588984466,80.8497619629,Vanellus malabaricus,Yellow-wattled Lapwing,2014-07-11,1
Sri Lanka,6.48725434436,80.855255127,Nisaetus cirrhatus,Changeable Hawk-Eagle,2014-07-11,1
Sri Lanka,6.48725434436,80.855255127,Anthracoceros coronatus,Malabar Pied Hornbill,2014-07-11,1
Sri Lanka,6.46678646131,80.8374023438,Varanus bengalensis,Bengal Monitor,2014-07-11,1
Sri Lanka,6.46678646131,80.8374023438,Bubalus bubalis,Domesticated Water Buffalo,2014-07-11,1
Sri Lanka,6.46678646131,80.8374023438,Himantopus himantopus,Black-winged Stilt,2014-07-11,1
Sri Lanka,6.46269278517,80.8689880371,Canis aureus,Golden Jackal,2014-07-11,4
Sri Lanka,6.46269278517,80.8689880371,Mirafra affinis,Jerdon's Bush Lark,2014-07-11,1
Sri Lanka,6.46269278517,80.8689880371,Merops orientalis,Green Bee-eater,2014-07-11,1
Sri Lanka,6.46269278517,80.8689880371,Ciconia episcopus episcopus,Woolly-necked Stork ssp episcopus,2014-07-11,1
Sri Lanka,6.46269278517,80.8689880371,Halcyon smyrnensis,White-throated Kingfisher,2014-07-11,1
Sri Lanka,6.46269278517,80.8689880371,Pavo cristatus,Indian Peafowl,2014-07-11,1
Sri Lanka,6.46269278517,80.8689880371,Nisaetus cirrhatus,Changeable Hawk-Eagle,2014-07-11,1
Sri Lanka,6.12109731023,81.1246347427,Eudynamys scolopaceus,Asian Koel,2001-11-12,1
Sri Lanka,6.513861349,81.2741088867,Merops orientalis,Green Bee-eater,2001-11-11,1
Sri Lanka,6.85416810116,80.7769775391,Corvus culminatus,Indian Jungle Crow,2001-11-10,1
Sri Lanka,6.96962343522,80.7684803009,Parus cinereus mahrattarum,Cinereous Tit ssp mahrattarum,2001-11-09,1
Sri Lanka,7.29938621777,80.6423091888,Chrysocolaptes stricklandi,Crimson-backed Flameback,2001-11-08,1
Sri Lanka,7.27112047276,80.5958747864,Gracula indica,Southern Hill Myna,2001-11-07,1
Sri Lanka,7.27112047276,80.5958747864,Pericrocotus flammeus,Orange Minivet,2001-11-07,1
Sri Lanka,7.27112047276,80.5958747864,Corvus culminatus,Indian Jungle Crow,2001-11-07,1
Sri Lanka,7.95052184071,80.7638025284,Pericrocotus flammeus,Orange Minivet,2001-11-06,1
Sri Lanka,7.95039433218,80.7635450363,Semnopithecus priam,Tufted Grey Langur,2001-11-04,5
Sri Lanka,7.23501946516,79.8403716087,Corvus culminatus,Indian Jungle Crow,2001-11-03,1
Sri Lanka,7.23,79.84,Corvus splendens,House Crow,2001-11-03,1
Sri Lanka,6.39104810771,80.4885864258,Gallus lafayettii,Sri Lanka Junglefowl,2014-07-10,1
Sri Lanka,6.39104810771,80.4885864258,Batrachostomus moniliger,Sri Lanka Frogmouth,2014-07-10,1
Sri Lanka,6.38968334943,80.1500701904,Neurothemis tullia,Pied paddy skimmer,2014-07-09,1
Sri Lanka,6.38968334943,80.1500701904,Orthetrum sabina,Slender Skimmer,2014-07-09,1
Sri Lanka,6.38968334943,80.1500701904,Orthetrum luzonicum,Marsh Skimmer,2014-07-09,1
Sri Lanka,6.38968334943,80.1500701904,Spilopelia chinensis,Spotted Dove,2014-07-09,1
Sri Lanka,6.77814825983,79.8881149292,Amaurornis phoenicurus,White-breasted Waterhen,2014-07-08,1
Sri Lanka,6.77814825983,79.8881149292,Microcarbo niger,Little Cormorant,2014-07-08,11
Sri Lanka,6.77814825983,79.8881149292,Varanus salvator,Common Water Monitor,2014-07-08,1
Sri Lanka,6.89,79.86,Corvus splendens,House Crow,2014-07-07,1
Sri Lanka,6.21783528942615,81.3244379404932,Cinnyris asiaticus,Purple Sunbird,2015-02-08,2
Sri Lanka,6.21771752368659,81.3241073582321,Eudynamys scolopaceus,Asian Koel,2015-02-08,1
Sri Lanka,6.21793968603015,81.3189132604748,Chlidonias hybrida,Whiskered Tern,2015-02-08,6
Sri Lanka,6.21352791320533,81.3115018978715,Ducula aenea,Green Imperial Pigeon,2015-02-08,2
Sri Lanka,6.21324473060668,81.3110006600618,Bubulcus coromandus,Eastern Cattle Egret,2015-02-08,10
Sri Lanka,6.2127859890461,81.31023212336,Threskiornis melanocephalus,Black-headed Ibis,2015-02-08,5
Sri Lanka,6.21261357329786,81.3095376826823,Halcyon smyrnensis,White-throated Kingfisher,2015-02-08,1
Sri Lanka,6.21212050784379,81.3079879526049,Microcarbo niger,Little Cormorant,2015-02-08,4
Sri Lanka,6.21555511839688,81.2948721181601,Alcedo atthis,Common Kingfisher,2015-02-08,1
Sri Lanka,6.19729153811932,81.281900703907,Ixobrychus sinensis,Yellow Bittern,2015-02-08,2
Sri Lanka,6.19729262776673,81.2818917352706,Gallus lafayettii,Sri Lanka Junglefowl,2015-02-08,1
Sri Lanka,6.19729262776673,81.2818917352706,Tringa totanus,Common Redshank,2015-02-08,2
Sri Lanka,6.19729262776673,81.2818917352706,Tringa glareola,Wood Sandpiper,2015-02-08,2
Sri Lanka,6.19729262776673,81.2818917352706,Actitis hypoleucos,Common Sandpiper,2015-02-08,1
Sri Lanka,6.19726936798543,81.2818551901728,Ardea purpurea,Purple Heron,2015-02-08,2
Sri Lanka,6.19410360697657,81.2755847722292,Pluvialis fulva,Pacific Golden Plover,2015-02-08,80
Sri Lanka,6.19437119923532,81.2755293678492,Anthus rufulus rufulus,Paddyfield Pipit ssp rufulus,2015-02-08,7
Sri Lanka,6.19477353058755,81.2752198241651,Merops orientalis,Green Bee-eater,2015-02-08,5
Sri Lanka,6.19462491944432,81.2748850509524,Merops philippinus,Blue-tailed Bee-eater,2015-02-08,35
Sri Lanka,6.19344110134989,81.2733359076083,Charadrius mongolus,Lesser Sand Plover,2015-02-08,1
Sri Lanka,6.19325799867511,81.2731004599482,Calidris minuta,Little Stint,2015-02-08,55
Sri Lanka,6.19287310168147,81.2726729828864,Motacilla flava,Western Yellow Wagtail,2015-02-08,1
Sri Lanka,6.18976974394172,81.2667420320213,Coracias benghalensis indicus,Indian Roller ssp indicus,2015-02-08,2
Sri Lanka,6.18981802370399,81.2609109934419,Limosa limosa,Black-tailed Godwit,2015-02-08,3
Sri Lanka,6.19016876444221,81.2608148530126,Himantopus himantopus,Black-winged Stilt,2015-02-08,120
Sri Lanka,6.19043204002082,81.2607409246266,Ardea cinerea,Grey Heron,2015-02-08,2
Sri Lanka,6.19355647824705,81.2587206345052,Anhinga melanogaster,Oriental Darter,2015-02-08,2
Sri Lanka,6.20031451340765,81.2508456688374,Haliaeetus leucogaster,White-bellied Sea Eagle,2015-02-08,1
Sri Lanka,6.20096264407039,81.2502567563206,Accipiter badius,Shikra,2015-02-08,1
Sri Lanka,6.20221871417016,81.2468330841512,Esacus recurvirostris,Great Stone-curlew,2015-02-08,19
Sri Lanka,6.20221871417016,81.2468330841512,Calidris minuta,Little Stint,2015-02-08,500
Sri Lanka,6.20221871417016,81.2468330841512,Calidris ferruginea,Curlew Sandpiper,2015-02-08,1
Sri Lanka,6.20221871417016,81.2468330841512,Charadrius alexandrinus,Kentish Plover,2015-02-08,50
Sri Lanka,6.20221871417016,81.2468330841512,Tringa stagnatilis,Marsh Sandpiper,2015-02-08,15
Sri Lanka,6.20221871417016,81.2468330841512,Arenaria interpres interpres,Ruddy Turnstone ssp interpres,2015-02-08,7
