country,latitude,longitude,scientific_name,vernacular_name,date,count
Suriname,5.90595164553,-55.0660514832,Brachymesia herbida,Tawny Pennant,2015-02-13,1
Suriname,5.90595164553,-55.0660514832,Brachymesia furcata,Red-tailed Pennant,2015-02-13,1
Suriname,5.90595164553,-55.0660514832,Erythemis plebeja,Pin-tailed Pondhawk,2015-02-13,1
Suriname,5.90637852091,-55.0684118271,Erythemis plebeja,Pin-tailed Pondhawk,2015-02-13,1
Suriname,5.90650658347,-55.0697422028,Erythemis plebeja,Pin-tailed Pondhawk,2015-02-13,1
Suriname,5.90650658347,-55.0717163086,Erythemis plebeja,Pin-tailed Pondhawk,2015-02-13,1
Suriname,5.79772818541,-55.1201248169,Erythemis vesiculosa,Great Pondhawk,2015-02-12,1
Suriname,5.79883827564,-55.1185798645,Erythemis attala,Black Pondhawk,2015-02-12,1
Suriname,5.79883827564,-55.1185798645,Erythemis vesiculosa,Great Pondhawk,2015-02-12,1
Suriname,5.79883827564,-55.1185798645,Erythrodiplax umbrata,Band-winged Dragonlet,2015-02-12,1
Suriname,5.79922253713,-55.1183652878,Erythemis vesiculosa,Great Pondhawk,2015-02-12,1
Suriname,5.82328105427,-55.153352022200004,Leucophaeus atricilla,Laughing Gull,2015-02-22,50
Suriname,5.82413493127,-55.1561307907,Egretta thula,Snowy Egret,2015-02-22,1
Suriname,5.81779486361,-55.1908493042,Coereba flaveola minima,Bananaquit ssp minima,2015-02-22,1
Suriname,5.82481803193,-55.1545858383,Passer domesticus,House Sparrow,2015-02-22,5
Suriname,5.81779486361,-55.1908493042,Forpus passerinus cyanochlorus,Green-rumped Parrotlet ssp cyanochlorus,2015-02-22,2
Suriname,5.8167648627,-55.1903933287,Mimus gilvus,Tropical Mockingbird,2015-02-22,1
Suriname,5.81786957862,-55.1910853386,Progne chalybea,Grey-breasted Martin,2015-02-22,2
Suriname,5.81691962979,-55.1907634735,Tachyphonus rufus,White-lined Tanager,2015-02-23,2
Suriname,5.81691962979,-55.1907634735,Todirostrum cinereum cinereum,Common Tody-Flycatcher ssp cinereum,2015-02-22,1
Suriname,5.52782707,-55.0528121,Erythrodiplax umbrata,Band-winged Dragonlet,2015-02-12,15
Suriname,5.37163782078,-55.1721382141,Erythrodiplax umbrata,Band-winged Dragonlet,2015-02-11,1
Suriname,5.37163782078,-55.1721382141,Erythrodiplax umbrata,Band-winged Dragonlet,2015-02-12,1
Suriname,5.3757395873,-55.1728248596,Erythrodiplax laurentia,Silver-clouded Dragonlet,2015-02-11,1
Suriname,5.81662076915,-55.1905167103,Troglodytes aedon,House Wren,2015-02-22,1
Suriname,5.81662076915,-55.1905167103,Fluvicola pica,Pied Water Tyrant,2015-02-22,1
Suriname,5.82492476634,-55.1524615288,Columbina talpacoti,Ruddy Ground Dove,2015-02-22,1
Suriname,5.81646066518,-55.1904630661,Turdus leucomelas albiventer,Pale-breasted Thrush ssp albiventer,2015-02-22,1
Suriname,5.45563304391,-55.1975011826,Pitangus sulphuratus,Great Kiskadee,2015-02-21,1
Suriname,4.71467096217,-56.2093444169,Saimiri sciureus,Common Squirrel Monkey,2015-02-26,9
Suriname,5.79963339977,-55.1167594828,Saimiri sciureus,Common Squirrel Monkey,2015-02-26,4
Suriname,5.7997081172,-55.1173120178,Sapajus apella,Black-capped Capuchin,2015-02-26,1
Suriname,5.7997081172,-55.1173120178,Bradypus tridactylus,Pale-throated Three-toed Sloth,2015-02-24,1
Suriname,4.9486643956,-55.1721918583,Saguinus midas,Golden-handed Tamarin,2015-02-19,8
Suriname,4.9486643956,-55.1721918583,Sciurillus pusillus,Neotropical Pygmy Squirrel,2015-02-19,1
Suriname,4.40439142234,-57.222532779,Leopardus pardalis,Ocelot,2015-02-15,1
Suriname,5.89812909579,-55.096886158,Sotalia guianensis,Guyana Dolphin,2015-02-13,3
Suriname,4.94856251756,-55.1808641106,Dasyprocta leporina,Red-rumped Agouti,2014-05-18,1
Suriname,4.94856251756,-55.1808641106,Saguinus midas,Golden-handed Tamarin,2014-05-18,1
Suriname,4.94856251756,-55.1808641106,Sapajus apella apella,Guianan Brown Capuchin,2014-05-18,2
Suriname,4.94888,-55.18041,Alouatta macconnelli,Guianan Red Howler Monkey,2014-05-18,3
Suriname,4.94948,-55.18037,Ameerega trivittata,Three-striped Poison Frog,2014-05-18,1
Suriname,4.94896886055,-55.1810180023,Ameiva ameiva,Giant Ameiva,2014-05-17,1
Suriname,4.94896886055,-55.1810180023,Ameerega trivittata,Three-striped Poison Frog,2014-05-17,1
