country,latitude,longitude,scientific_name,vernacular_name,date,count
Swaziland,-26.1381889715,31.0901713371,Prinia hypoxantha,Drakensberg Prinia,2015-02-21,1
Swaziland,-26.1381889715,31.0901713371,Amblyospiza albifrons,Thick-billed Weaver,2015-02-21,1
Swaziland,-26.1381889715,31.0901713371,Sagittarius serpentarius,Secretarybird,2015-02-21,1
Swaziland,-26.13822605,31.09005278,Ardea melanocephala,Black-headed Heron,2015-02-21,1
Swaziland,-26.1381889715,31.0901713371,Hirundo atrocaerulea,Blue Swallow,2015-02-21,1
Swaziland,-26.1381889715,31.0901713371,Riparia cincta,Banded Martin,2015-02-20,1
Swaziland,-26.1381889715,31.0901713371,Streptopelia capicola,Ring-necked Dove,2015-02-20,1
Swaziland,-26.1381889715,31.0901713371,Euplectes progne,Long-tailed Widowbird,2015-02-20,1
Swaziland,-26.1381889715,31.0901713371,Campicoloides bifasciatus,Buff-streaked Chat,2015-02-20,1
Swaziland,-26.1381889715,31.0901713371,Buteo rufofuscus,Jackal Buzzard,2015-02-20,1
Swaziland,-26.1381889715,31.0901713371,Hirundo atrocaerulea,Blue Swallow,2015-02-20,5
Swaziland,-26.1381889715,31.0901713371,Vidua macroura,Pin-tailed Whydah,2015-02-20,1
Swaziland,-26.1381889715,31.0901713371,Saxicola torquatus,African Stonechat,2015-02-20,1
Swaziland,-26.1381889715,31.0901713371,Lanius collaris,Southern Fiscal,2015-02-20,1
