country,latitude,longitude,scientific_name,vernacular_name,date,count
Sweden,56.2456465837,16.4342312515,Circus cyaneus,Hen Harrier,2013-06-05,1
Sweden,58.466100272,15.554139046,Passer montanus,Eurasian Tree Sparrow,2014-09-15,1
Sweden,59.3177,18.0897,Larus fuscus,Lesser Black-backed Gull,2015-02-24,3
Sweden,56.6475208159,16.3283161819,Certhia familiaris familiaris,Eurasian Treecreeper ssp familiaris,1983-08-26,1
Sweden,56.6475208159,16.3283161819,Certhia familiaris familiaris,Eurasian Treecreeper ssp familiaris,1983-08-25,1
Sweden,56.646057938,16.4630274475,Hydroprogne caspia,Caspian Tern,1983-08-22,2
Sweden,56.5,16.6,Natrix natrix,European Grass Snake,1983-08-19,1
Sweden,56.2479274581,16.4198693633,Circus pygargus,Montagu's Harrier,1983-08-15,1
Sweden,56.2462106675,16.4163503051,Circus pygargus,Montagu's Harrier,1983-08-13,2
Sweden,59.3215962637,18.0747556684,Larus argentatus argentatus,Scandinavian Herring Gull,2015-02-21,1
Sweden,56.2689047927,14.5105221123,Sitta europaea europaea,Eurasian Nuthatch ssp europaea,1983-08-08,1
Sweden,56.2689047927,14.5105221123,Dendrocopos major major,Great Spotted Woodpecker ssp major,1983-08-08,1
Sweden,56.2689047927,14.5105221123,Dendrocopos major major,Great Spotted Woodpecker ssp major,1983-08-07,1
Sweden,56.2689047927,14.5105221123,Sitta europaea europaea,Eurasian Nuthatch ssp europaea,1983-08-07,1
Sweden,55.38335917,12.8185183,Accipiter nisus,Eurasian Sparrowhawk,2014-09-26,1
Sweden,55.38333881,12.815238,Falco columbarius,Merlin,2014-09-26,1
Sweden,55.38329753,12.81513419,Lanius excubitor,Great Grey Shrike,2014-09-26,1
Sweden,55.39937909,12.86625326,Haliaeetus albicilla,White-tailed Eagle,2014-09-26,3
Sweden,55.38175737,12.81402546,Loxia curvirostra,Red Crossbill,2014-09-27,1
Sweden,55.38175127,12.81391821,Accipiter nisus,Eurasian Sparrowhawk,2014-09-27,1
Sweden,55.38385067,12.82028329,Circus cyaneus,Hen Harrier,2014-09-27,1
Sweden,55.39968949,12.86585064,Haliaeetus albicilla,White-tailed Eagle,2014-09-27,1
Sweden,55.4,12.85,Decticus verrucivorus,Wart-Biter,2014-09-28,1
Sweden,55.3781642,12.81029889,Mergus serrator,Red-breasted Merganser,2014-09-29,2
Sweden,55.37816967,12.81029375,Spatula clypeata,Northern Shoveler,2014-09-29,2
Sweden,55.37817058,12.81028112,Lanius excubitor,Great Grey Shrike,2014-09-29,1
Sweden,55.37813322,12.81021461,Dryocopus martius,Black Woodpecker,2014-09-29,1
Sweden,55.37814427,12.81021978,Passer montanus,Eurasian Tree Sparrow,2014-09-29,1
Sweden,57.9419414893,13.404808268,Alces alces,Elk,2014-02-26,1
Sweden,57.9461438829,13.4262873977,Capreolus capreolus,European Roe Deer,2015-01-30,1
Sweden,57.9419414893,13.4055378288,Alces alces,Elk,2015-01-25,2
Sweden,57.9486350403,13.4515160881,Emberiza citrinella,Yellowhammer,2015-01-24,4
